排名,詞彙,出現次數
1,寄張無頗,4
2,張無頗羞,1
3,無頗羞解,1
4,頗羞解明,1
5,羞解明璫,1
6,解明璫尋,1
7,明璫尋漢,1
8,璫尋漢渚,1
9,尋漢渚但,1
10,漢渚但憑,1
11,渚但憑春,1
12,但憑春夢,1
13,憑春夢訪,1
14,春夢訪天,1
15,夢訪天涯,1
16,訪天涯寄,1
17,天涯寄張,1
18,涯寄張無,1
19,張無頗紅,1
20,無頗紅樓,1
21,頗紅樓日,1
22,紅樓日暮,1
23,樓日暮鶯,1
24,日暮鶯飛,1
25,暮鶯飛去,1
26,鶯飛去愁,1
27,飛去愁殺,1
28,去愁殺深,1
29,愁殺深宮,1
30,殺深宮落,1
31,深宮落砌,1
32,宮落砌花,1
33,落砌花寄,1
34,砌花寄張,1
35,花寄張無,1
36,張無頗燕,1
37,無頗燕語,1
38,頗燕語春,1
39,燕語春泥,1
40,語春泥墮,1
41,春泥墮錦,1
42,泥墮錦筵,1
43,墮錦筵情,1
44,錦筵情愁,1
45,筵情愁無,1
46,情愁無意,1
47,愁無意整,1
48,無意整花,1
49,意整花鈿,1
50,整花鈿寄,1
51,花鈿寄張,1
52,鈿寄張無,1
53,張無頗寒,1
54,無頗寒閨,1
55,頗寒閨欹,1
56,寒閨欹枕,1
57,閨欹枕不,1
58,欹枕不成,1
59,枕不成夢,1
60,不成夢香,1
61,成夢香炷,1
62,夢香炷金,1
63,香炷金爐,1
64,炷金爐自,1
65,金爐自褭,1
66,爐自褭煙,1
