排名,詞彙,出現次數
1,馬,4
2,著,3
3,騎,3
4,作,3
5,嘲,3
6,草,3
7,敘,2
8,可,2
9,笑,2
10,事,2
11,朱,2
12,綠,2
13,知,2
14,將,2
15,名,2
16,姓,2
17,里,2
18,台,2
19,胡,2
20,禦,2
21,史,2
22,武,2
23,懿,2
24,宗,2
25,賊,2
26,菶,2
27,桃,2
28,花,2
29,前,1
30,疑,1
31,逯,1
32,仁,1
33,傑,1
34,閻,1
35,微,1
36,吉,1
37,甫,1
38,驢,1
39,李,1
40,千,1
41,吳,1
42,棲,1
43,梧,1
44,左,1
45,右,1
46,長,1
47,弓,1
48,短,1
49,度,1
50,箭,1
51,蜀,1
52,臨,1
53,階,1
54,騙,1
55,去,1
56,七,1
57,百,1
58,隈,1
59,牆,1
60,獨,1
61,自,1
62,戰,1
63,忽,1
64,然,1
65,逢,1
66,豬,1
67,向,1
68,南,1
69,又,1
70,裹,1
71,頭,1
72,極,1
73,掠,1
74,鬢,1
75,不,1
76,未,1
77,見,1
78,面,1
79,皮,1
80,漫,1
81,杏,1
82,子,1
83,眼,1
84,孔,1
85,詠,1
86,靜,1
87,樂,1
88,縣,1
89,帶,1
90,錦,1
91,裙,1
92,銜,1
93,羅,1
94,定,1
95,幃,1
96,帽,1
97,底,1
98,儀,1
99,容,1
100,似,1
101,大,1
102,哥,1
