排名,詞彙,出現次數
1,隱隱飛,1
2,隱飛橋,1
3,飛橋隔,1
4,橋隔野,1
5,隔野煙,1
6,野煙石,1
7,煙石磯,1
8,石磯西,1
9,磯西畔,1
10,西畔問,1
11,畔問漁,1
12,問漁船,1
13,漁船桃,1
14,船桃花,1
15,桃花盡,1
16,花盡日,1
17,盡日隨,1
18,日隨流,1
19,隨流水,1
20,流水洞,1
21,水洞在,1
22,洞在清,1
23,在清溪,1
24,清溪何,1
25,溪何處,1
26,何處邊,1
27,處邊山,1
28,邊山光,1
29,山光物,1
30,光物態,1
31,物態弄,1
32,態弄春,1
33,弄春輝,1
34,春輝莫,1
35,輝莫為,1
36,莫為輕,1
37,為輕陰,1
38,輕陰便,1
39,陰便擬,1
40,便擬歸,1
41,擬歸縱,1
42,歸縱使,1
43,縱使晴,1
44,使晴明,1
45,晴明無,1
46,明無雨,1
47,無雨色,1
48,雨色入,1
49,色入雲,1
50,入雲深,1
51,雲深處,1
52,深處亦,1
53,處亦沾,1
54,亦沾衣,1
55,沾衣欲,1
56,衣欲尋,1
57,欲尋軒,1
58,尋軒檻,1
59,軒檻列,1
60,檻列清,1
61,列清尊,1
62,清尊江,1
63,尊江上,1
64,江上煙,1
65,上煙雲,1
66,煙雲向,1
67,雲向晚,1
68,向晚昏,1
69,晚昏須,1
70,昏須倩,1
71,須倩東,1
72,倩東風,1
73,東風吹,1
74,風吹散,1
75,吹散雨,1
76,散雨明,1
77,雨明朝,1
78,明朝卻,1
79,朝卻待,1
80,卻待入,1
81,待入華,1
82,入華園,1
83,華園情,1
84,園情知,1
85,情知海,1
86,知海上,1
87,海上三,1
88,上三年,1
89,三年別,1
90,年別不,1
91,別不寄,1
92,不寄雲,1
93,寄雲間,1
94,雲間一,1
95,間一紙,1
96,一紙書,1
97,紙書濯,1
98,書濯濯,1
99,濯濯煙,1
100,濯煙條,1
101,煙條拂,1
102,條拂地,1
103,拂地垂,1
104,地垂城,1
105,垂城邊,1
106,城邊樓,1
107,邊樓畔,1
108,樓畔結,1
109,畔結春,1
110,結春思,1
111,春思請,1
112,思請君,1
113,請君細,1
114,君細看,1
115,細看風,1
116,看風流,1
117,風流意,1
118,流意未,1
119,意未減,1
120,未減靈,1
121,減靈和,1
122,靈和殿,1
123,和殿裏,1
124,殿裏時,1
