排名,詞彙,出現次數
1,長安道中,2
2,洞庭阻風,2
3,春日旅泊,2
4,晚次湘源,2
5,秋晚過洞,2
6,題華嚴寺,2
7,春夕言懷,2
8,送容州中,2
9,贈韓道士,2
10,情江城子,2
11,寄人別夢,1
12,人別夢依,1
13,別夢依依,1
14,夢依依到,1
15,依依到謝,1
16,依到謝家,1
17,到謝家小,1
18,謝家小廊,1
19,家小廊回,1
20,小廊回合,1
21,廊回合曲,1
22,回合曲闌,1
23,合曲闌斜,1
24,曲闌斜寄,1
25,闌斜寄人,1
26,斜寄人多,1
27,寄人多情,1
28,人多情只,1
29,多情只有,1
30,情只有春,1
31,只有春庭,1
32,有春庭月,1
33,春庭月猶,1
34,庭月猶為,1
35,月猶為離,1
36,猶為離人,1
37,為離人照,1
38,離人照落,1
39,人照落花,1
40,照落花寄,1
41,落花寄人,1
42,花寄人酷,1
43,寄人酷憐,1
44,人酷憐風,1
45,酷憐風月,1
46,憐風月為,1
47,風月為多,1
48,月為多情,1
49,為多情還,1
50,多情還到,1
51,情還到春,1
52,還到春時,1
53,到春時別,1
54,春時別恨,1
55,時別恨生,1
56,別恨生寄,1
57,恨生寄人,1
58,生寄人倚,1
59,寄人倚柱,1
60,人倚柱尋,1
61,倚柱尋思,1
62,柱尋思倍,1
63,尋思倍惆,1
64,思倍惆悵,1
65,倍惆悵一,1
66,惆悵一場,1
67,悵一場春,1
68,一場春夢,1
69,場春夢不,1
70,春夢不分,1
71,夢不分明,1
72,不分明邊,1
73,分明邊上,1
74,明邊上戍,1
75,邊上戍樓,1
76,上戍樓吹,1
77,戍樓吹角,1
78,樓吹角起,1
79,吹角起征,1
80,角起征鴻,1
81,起征鴻獵,1
82,征鴻獵獵,1
83,鴻獵獵寒,1
84,獵獵寒旌,1
85,獵寒旌背,1
86,寒旌背晚,1
87,旌背晚風,1
88,背晚風千,1
89,晚風千里,1
90,風千里暮,1
91,千里暮煙,1
92,里暮煙愁,1
93,暮煙愁不,1
94,煙愁不盡,1
95,愁不盡一,1
96,不盡一川,1
97,盡一川秋,1
98,一川秋草,1
99,川秋草恨,1
100,秋草恨無,1
101,草恨無窮,1
102,恨無窮山,1
103,無窮山河,1
104,窮山河慘,1
105,山河慘澹,1
106,河慘澹關,1
107,慘澹關城,1
108,澹關城閉,1
109,關城閉人,1
110,城閉人物,1
111,閉人物蕭,1
112,人物蕭條,1
113,物蕭條市,1
114,蕭條市井,1
115,條市井空,1
116,市井空邊,1
117,井空邊上,1
118,空邊上只,1
119,邊上只此,1
120,上只此旅,1
121,只此旅魂,1
122,此旅魂招,1
123,旅魂招未,1
124,魂招未得,1
125,招未得更,1
126,未得更堪,1
127,得更堪回,1
128,更堪回首,1
129,堪回首夕,1
130,回首夕陽,1
131,首夕陽中,1
132,夕陽中長,1
133,陽中長安,1
134,中長安道,1
135,安道中客,1
136,道中客離,1
137,中客離孤,1
138,客離孤館,1
139,離孤館一,1
140,孤館一燈,1
141,館一燈殘,1
142,一燈殘牢,1
143,燈殘牢落,1
144,殘牢落星,1
145,牢落星河,1
146,落星河欲,1
147,星河欲曙,1
148,河欲曙天,1
149,欲曙天雞,1
150,曙天雞唱,1
151,天雞唱未,1
152,雞唱未沈,1
153,唱未沈函,1
154,未沈函穀,1
155,沈函穀月,1
156,函穀月雁,1
157,穀月雁聲,1
158,月雁聲新,1
159,雁聲新度,1
160,聲新度灞,1
161,新度灞陵,1
162,度灞陵煙,1
163,灞陵煙浮,1
164,陵煙浮生,1
165,煙浮生已,1
166,浮生已悟,1
167,生已悟莊,1
168,已悟莊周,1
169,悟莊周蝶,1
170,莊周蝶壯,1
171,周蝶壯志,1
172,蝶壯志仍,1
173,壯志仍輸,1
174,志仍輸祖,1
175,仍輸祖逖,1
176,輸祖逖鞭,1
177,祖逖鞭長,1
178,逖鞭長安,1
179,鞭長安道,1
180,安道中何,1
181,道中何事,1
182,中何事悠,1
183,何事悠悠,1
184,事悠悠策,1
185,悠悠策羸,1
186,悠策羸馬,1
187,策羸馬此,1
188,羸馬此中,1
189,馬此中辛,1
190,此中辛苦,1
191,中辛苦過,1
192,辛苦過流,1
193,苦過流年,1
194,過流年洞,1
195,流年洞庭,1
196,年洞庭阻,1
197,庭阻風空,1
198,阻風空江,1
199,風空江浩,1
200,空江浩蕩,1
201,江浩蕩景,1
202,浩蕩景蕭,1
203,蕩景蕭然,1
204,景蕭然盡,1
205,蕭然盡日,1
206,然盡日菰,1
207,盡日菰蒲,1
208,日菰蒲泊,1
209,菰蒲泊釣,1
210,蒲泊釣船,1
211,泊釣船青,1
212,釣船青草,1
213,船青草浪,1
214,青草浪高,1
215,草浪高三,1
216,浪高三月,1
217,高三月渡,1
218,三月渡綠,1
219,月渡綠楊,1
220,渡綠楊花,1
221,綠楊花撲,1
222,楊花撲一,1
223,花撲一溪,1
224,撲一溪煙,1
225,一溪煙情,1
226,溪煙情多,1
227,煙情多莫,1
228,情多莫舉,1
229,多莫舉傷,1
230,莫舉傷春,1
231,舉傷春目,1
232,傷春目愁,1
233,春目愁極,1
234,目愁極兼,1
235,愁極兼無,1
236,極兼無買,1
237,兼無買酒,1
238,無買酒錢,1
239,買酒錢洞,1
240,酒錢洞庭,1
241,錢洞庭阻,1
242,庭阻風猶,1
243,阻風猶有,1
244,風猶有漁,1
245,猶有漁人,1
246,有漁人數,1
247,漁人數家,1
248,人數家住,1
249,數家住不,1
250,家住不成,1
251,住不成村,1
252,不成村落,1
253,成村落夕,1
254,村落夕陽,1
255,落夕陽邊,1
256,夕陽邊春,1
257,陽邊春日,1
258,邊春日旅,1
259,日旅泊暖,1
260,旅泊暖風,1
261,泊暖風芳,1
262,暖風芳草,1
263,風芳草竟,1
264,芳草竟芊,1
265,草竟芊綿,1
266,竟芊綿多,1
267,芊綿多病,1
268,綿多病多,1
269,多病多愁,1
270,病多愁負,1
271,多愁負少,1
272,愁負少年,1
273,負少年弱,1
274,少年弱柳,1
275,年弱柳未,1
276,弱柳未勝,1
277,柳未勝寒,1
278,未勝寒食,1
279,勝寒食雨,1
280,寒食雨好,1
281,食雨好花,1
282,雨好花爭,1
283,好花爭奈,1
284,花爭奈夕,1
285,爭奈夕陽,1
286,奈夕陽天,1
287,夕陽天溪,1
288,陽天溪邊,1
289,天溪邊物,1
290,溪邊物色,1
291,邊物色堪,1
292,物色堪圖,1
293,色堪圖畫,1
294,堪圖畫林,1
295,圖畫林畔,1
296,畫林畔鶯,1
297,林畔鶯聲,1
298,畔鶯聲似,1
299,鶯聲似管,1
300,聲似管弦,1
301,似管弦春,1
302,管弦春日,1
303,弦春日旅,1
304,日旅泊獨,1
305,旅泊獨有,1
306,泊獨有離,1
307,獨有離人,1
308,有離人開,1
309,離人開淚,1
310,人開淚眼,1
311,開淚眼強,1
312,淚眼強憑,1
313,眼強憑杯,1
314,強憑杯酒,1
315,憑杯酒亦,1
316,杯酒亦潸,1
317,酒亦潸然,1
318,亦潸然晚,1
319,潸然晚次,1
320,然晚次湘,1
321,次湘源煙,1
322,湘源煙郭,1
323,源煙郭遙,1
324,煙郭遙聞,1
325,郭遙聞向,1
326,遙聞向晚,1
327,聞向晚雞,1
328,向晚雞水,1
329,晚雞水準,1
330,雞水準舟,1
331,水準舟靜,1
332,準舟靜浪,1
333,舟靜浪聲,1
334,靜浪聲齊,1
335,浪聲齊高,1
336,聲齊高林,1
337,齊高林帶,1
338,高林帶雨,1
339,林帶雨楊,1
340,帶雨楊梅,1
341,雨楊梅熟,1
342,楊梅熟曲,1
343,梅熟曲岸,1
344,熟曲岸籠,1
345,曲岸籠雲,1
346,岸籠雲謝,1
347,籠雲謝豹,1
348,雲謝豹啼,1
349,謝豹啼二,1
350,豹啼二女,1
351,啼二女廟,1
352,二女廟荒,1
353,女廟荒汀,1
354,廟荒汀樹,1
355,荒汀樹老,1
356,汀樹老九,1
357,樹老九疑,1
358,老九疑山,1
359,九疑山碧,1
360,疑山碧楚,1
361,山碧楚天,1
362,碧楚天低,1
363,楚天低晚,1
364,天低晚次,1
365,低晚次湘,1
366,次湘源湘,1
367,湘源湘南,1
368,源湘南自,1
369,湘南自古,1
370,南自古多,1
371,自古多離,1
372,古多離怨,1
373,多離怨莫,1
374,離怨莫動,1
375,怨莫動哀,1
376,莫動哀吟,1
377,動哀吟易,1
378,哀吟易慘,1
379,吟易慘淒,1
380,易慘淒惆,1
381,慘淒惆悵,1
382,淒惆悵吟,1
383,惆悵吟秋,1
384,悵吟秋風,1
385,吟秋風丹,1
386,秋風丹葉,1
387,風丹葉動,1
388,丹葉動荒,1
389,葉動荒城,1
390,動荒城慘,1
391,荒城慘澹,1
392,城慘澹雲,1
393,慘澹雲遮,1
394,澹雲遮日,1
395,雲遮日半,1
396,遮日半明,1
397,日半明晝,1
398,半明晝夢,1
399,明晝夢卻,1
400,晝夢卻因,1
401,夢卻因惆,1
402,卻因惆悵,1
403,因惆悵得,1
404,惆悵得晚,1
405,悵得晚愁,1
406,得晚愁多,1
407,晚愁多為,1
408,愁多為別,1
409,多為別離,1
410,為別離生,1
411,別離生江,1
412,離生江淹,1
413,生江淹彩,1
414,江淹彩筆,1
415,淹彩筆空,1
416,彩筆空留,1
417,筆空留恨,1
418,空留恨壯,1
419,留恨壯叟,1
420,恨壯叟玄,1
421,壯叟玄譚,1
422,叟玄譚未,1
423,玄譚未及,1
424,譚未及情,1
425,未及情惆,1
426,及情惆悵,1
427,情惆悵吟,1
428,惆悵吟千,1
429,悵吟千古,1
430,吟千古怨,1
431,千古怨魂,1
432,古怨魂銷,1
433,怨魂銷不,1
434,魂銷不得,1
435,銷不得一,1
436,不得一江,1
437,得一江寒,1
438,一江寒浪,1
439,江寒浪若,1
440,寒浪若為,1
441,浪若為平,1
442,若為平秋,1
443,為平秋晚,1
444,平秋晚過,1
445,晚過洞征,1
446,過洞征帆,1
447,洞征帆初,1
448,征帆初掛,1
449,帆初掛酒,1
450,初掛酒初,1
451,掛酒初酣,1
452,酒初酣暮,1
453,初酣暮景,1
454,酣暮景離,1
455,暮景離情,1
456,景離情兩,1
457,離情兩不,1
458,情兩不堪,1
459,兩不堪千,1
460,不堪千里,1
461,堪千里晚,1
462,千里晚霞,1
463,里晚霞雲,1
464,晚霞雲夢,1
465,霞雲夢北,1
466,雲夢北一,1
467,夢北一洲,1
468,北一洲霜,1
469,一洲霜橘,1
470,洲霜橘洞,1
471,霜橘洞庭,1
472,橘洞庭南,1
473,洞庭南溪,1
474,庭南溪風,1
475,南溪風送,1
476,溪風送雨,1
477,風送雨過,1
478,送雨過秋,1
479,雨過秋寺,1
480,過秋寺澗,1
481,秋寺澗石,1
482,寺澗石驚,1
483,澗石驚龍,1
484,石驚龍落,1
485,驚龍落夜,1
486,龍落夜潭,1
487,落夜潭秋,1
488,夜潭秋晚,1
489,潭秋晚過,1
490,晚過洞莫,1
491,過洞莫把,1
492,洞莫把羈,1
493,莫把羈魂,1
494,把羈魂吊,1
495,羈魂吊湘,1
496,魂吊湘魄,1
497,吊湘魄九,1
498,湘魄九疑,1
499,魄九疑愁,1
500,九疑愁絕,1
501,疑愁絕鎖,1
502,愁絕鎖煙,1
503,絕鎖煙嵐,1
504,鎖煙嵐題,1
505,煙嵐題華,1
506,嵐題華嚴,1
507,華嚴寺六,1
508,嚴寺六街,1
509,寺六街晴,1
510,六街晴色,1
511,街晴色動,1
512,晴色動秋,1
513,色動秋光,1
514,動秋光雨,1
515,秋光雨霽,1
516,光雨霽憑,1
517,雨霽憑高,1
518,霽憑高只,1
519,憑高只易,1
520,高只易傷,1
521,只易傷一,1
522,易傷一曲,1
523,傷一曲晚,1
524,一曲晚煙,1
525,曲晚煙浮,1
526,晚煙浮渭,1
527,煙浮渭水,1
528,浮渭水半,1
529,渭水半橋,1
530,水半橋斜,1
531,半橋斜日,1
532,橋斜日照,1
533,斜日照咸,1
534,日照咸陽,1
535,照咸陽休,1
536,咸陽休將,1
537,陽休將世,1
538,休將世路,1
539,將世路悲,1
540,世路悲塵,1
541,路悲塵事,1
542,悲塵事莫,1
543,塵事莫指,1
544,事莫指雲,1
545,莫指雲山,1
546,指雲山認,1
547,雲山認故,1
548,山認故鄉,1
549,認故鄉題,1
550,故鄉題華,1
551,鄉題華嚴,1
552,華嚴寺回,1
553,嚴寺回首,1
554,寺回首漢,1
555,回首漢宮,1
556,首漢宮樓,1
557,漢宮樓閣,1
558,宮樓閣暮,1
559,樓閣暮數,1
560,閣暮數聲,1
561,暮數聲鐘,1
562,數聲鐘鼓,1
563,聲鐘鼓自,1
564,鐘鼓自微,1
565,鼓自微茫,1
566,自微茫經,1
567,微茫經舊,1
568,茫經舊游,1
569,經舊游暫,1
570,舊游暫到,1
571,游暫到高,1
572,暫到高唐,1
573,到高唐曉,1
574,高唐曉又,1
575,唐曉又還,1
576,曉又還丁,1
577,又還丁香,1
578,還丁香結,1
579,丁香結夢,1
580,香結夢水,1
581,結夢水潺,1
582,夢水潺潺,1
583,水潺潺經,1
584,潺潺經舊,1
585,潺經舊游,1
586,經舊游不,1
587,舊游不知,1
588,游不知雲,1
589,不知雲雨,1
590,知雲雨歸,1
591,雲雨歸何,1
592,雨歸何處,1
593,歸何處歷,1
594,何處歷歷,1
595,處歷歷空,1
596,歷歷空留,1
597,歷空留十,1
598,空留十二,1
599,留十二山,1
600,十二山碧,1
601,二山碧戶,1
602,山碧戶碧,1
603,碧戶碧戶,1
604,戶碧戶扃,1
605,碧戶扃魚,1
606,戶扃魚鎖,1
607,扃魚鎖蘭,1
608,魚鎖蘭窗,1
609,鎖蘭窗掩,1
610,蘭窗掩鏡,1
611,窗掩鏡臺,1
612,掩鏡臺落,1
613,鏡臺落花,1
614,臺落花疑,1
615,落花疑悵,1
616,花疑悵望,1
617,疑悵望歸,1
618,悵望歸燕,1
619,望歸燕自,1
620,歸燕自裴,1
621,燕自裴回,1
622,自裴回碧,1
623,裴回碧戶,1
624,回碧戶詠,1
625,碧戶詠絮,1
626,戶詠絮知,1
627,詠絮知難,1
628,絮知難敵,1
629,知難敵傷,1
630,難敵傷春,1
631,敵傷春不,1
632,傷春不易,1
633,春不易裁,1
634,不易裁恨,1
635,易裁恨從,1
636,裁恨從芳,1
637,恨從芳草,1
638,從芳草起,1
639,芳草起愁,1
640,草起愁為,1
641,起愁為晚,1
642,愁為晚風,1
643,為晚風來,1
644,晚風來碧,1
645,風來碧戶,1
646,來碧戶衣,1
647,碧戶衣惹,1
648,戶衣惹湘,1
649,衣惹湘雲,1
650,惹湘雲薄,1
651,湘雲薄眉,1
652,雲薄眉分,1
653,薄眉分楚,1
654,眉分楚岫,1
655,分楚岫開,1
656,楚岫開香,1
657,岫開香濃,1
658,開香濃眠,1
659,香濃眠舊,1
660,濃眠舊枕,1
661,眠舊枕夢,1
662,舊枕夢好,1
663,枕夢好醉,1
664,夢好醉春,1
665,好醉春杯,1
666,醉春杯碧,1
667,春杯碧戶,1
668,杯碧戶小,1
669,碧戶小障,1
670,戶小障明,1
671,小障明金,1
672,障明金鳳,1
673,明金鳳幽,1
674,金鳳幽屏,1
675,鳳幽屏點,1
676,幽屏點翠,1
677,屏點翠苔,1
678,點翠苔寶,1
679,翠苔寶箏,1
680,苔寶箏橫,1
681,寶箏橫塞,1
682,箏橫塞雁,1
683,橫塞雁怨,1
684,塞雁怨笛,1
685,雁怨笛落,1
686,怨笛落江,1
687,笛落江梅,1
688,落江梅碧,1
689,江梅碧戶,1
690,梅碧戶卓,1
691,碧戶卓氏,1
692,戶卓氏仍,1
693,卓氏仍多,1
694,氏仍多酒,1
695,仍多酒相,1
696,多酒相如,1
697,酒相如正,1
698,相如正富,1
699,如正富才,1
700,正富才莫,1
701,富才莫教,1
702,才莫教琴,1
703,莫教琴上,1
704,教琴上意,1
705,琴上意翻,1
706,上意翻作,1
707,意翻作鶴,1
708,翻作鶴聲,1
709,作鶴聲哀,1
710,鶴聲哀芍,1
711,聲哀芍藥,1
712,哀芍藥香,1
713,芍藥香清,1
714,藥香清粉,1
715,香清粉澹,1
716,清粉澹怨,1
717,粉澹怨殘,1
718,澹怨殘春,1
719,怨殘春蝶,1
720,殘春蝶翅,1
721,春蝶翅蜂,1
