排名,詞彙,出現次數
1,春江花月,6
2,代答閨夢,3
3,空裏流霜,2
4,裏流霜不,2
5,流霜不覺,2
6,霜不覺飛,2
7,不覺飛汀,2
8,覺飛汀上,2
9,飛汀上白,2
10,汀上白沙,2
11,上白沙看,2
12,白沙看不,2
13,沙看不見,2
14,看不見江,2
15,不見江天,2
16,見江天一,2
17,江天一色,2
18,天一色無,2
19,一色無纖,2
20,色無纖塵,2
21,無纖塵皎,2
22,纖塵皎皎,2
23,塵皎皎空,2
24,皎皎空中,2
25,皎空中孤,2
26,空中孤月,2
27,中孤月輪,2
28,孤月輪江,2
29,月輪江畔,2
30,輪江畔何,2
31,江畔何人,2
32,畔何人初,2
33,何人初見,2
34,人初見月,2
35,初見月江,2
36,見月江月,2
37,月江月何,2
38,江月何年,2
39,月何年初,2
40,何年初照,2
41,年初照人,2
42,初照人春,2
43,照人春江,2
44,人春江花,2
45,江花月春,1
46,花月春江,1
47,月春江潮,1
48,春江潮水,1
49,江潮水連,1
50,潮水連海,1
51,水連海平,1
52,連海平海,1
53,海平海上,1
54,平海上明,1
55,海上明月,1
56,上明月共,1
57,明月共潮,1
58,月共潮生,1
59,共潮生灩,1
60,潮生灩灩,1
61,生灩灩隨,1
62,灩灩隨波,1
63,灩隨波千,1
64,隨波千萬,1
65,波千萬里,1
66,千萬里何,1
67,萬里何處,1
68,里何處春,1
69,何處春江,1
70,處春江無,1
71,春江無月,1
72,江無月明,1
73,無月明江,1
74,月明江流,1
75,明江流宛,1
76,江流宛轉,1
77,流宛轉繞,1
78,宛轉繞芳,1
79,轉繞芳甸,1
80,繞芳甸月,1
81,芳甸月照,1
82,甸月照花,1
83,月照花林,1
84,照花林皆,1
85,花林皆似,1
86,林皆似霰,1
87,皆似霰春,1
88,似霰春江,1
89,霰春江花,1
90,江花月空,1
91,花月空裏,1
92,月空裏流,1
93,江花月人,1
94,花月人生,1
95,月人生代,1
96,人生代代,1
97,生代代無,1
98,代代無窮,1
99,代無窮已,1
100,無窮已江,1
101,窮已江月,1
102,已江月年,1
103,江月年年,1
104,月年年只,1
105,年年只相,1
106,年只相似,1
107,只相似不,1
108,相似不知,1
109,似不知江,1
110,不知江月,1
111,知江月待,1
112,江月待何,1
113,月待何人,1
114,待何人但,1
115,何人但見,1
116,人但見長,1
117,但見長江,1
118,見長江送,1
119,長江送流,1
120,江送流水,1
121,送流水白,1
122,流水白雲,1
123,水白雲一,1
124,白雲一片,1
125,雲一片去,1
126,一片去悠,1
127,片去悠悠,1
128,去悠悠青,1
129,悠悠青楓,1
130,悠青楓浦,1
131,青楓浦上,1
132,楓浦上不,1
133,浦上不勝,1
134,上不勝愁,1
135,不勝愁春,1
136,勝愁春江,1
137,愁春江花,1
138,江花月誰,1
139,花月誰家,1
140,月誰家今,1
141,誰家今夜,1
142,家今夜扁,1
143,今夜扁舟,1
144,夜扁舟子,1
145,扁舟子何,1
146,舟子何處,1
147,子何處相,1
148,何處相思,1
149,處相思明,1
150,相思明月,1
151,思明月樓,1
152,明月樓可,1
153,月樓可憐,1
154,樓可憐樓,1
155,可憐樓上,1
156,憐樓上月,1
157,樓上月裴,1
158,上月裴回,1
159,月裴回應,1
160,裴回應照,1
161,回應照離,1
162,應照離人,1
163,照離人妝,1
164,離人妝鏡,1
165,人妝鏡臺,1
166,妝鏡臺玉,1
167,鏡臺玉戶,1
168,臺玉戶簾,1
169,玉戶簾中,1
170,戶簾中卷,1
171,簾中卷不,1
172,中卷不去,1
173,卷不去擣,1
174,不去擣衣,1
175,去擣衣砧,1
176,擣衣砧上,1
177,衣砧上拂,1
178,砧上拂還,1
179,上拂還來,1
180,拂還來春,1
181,還來春江,1
182,來春江花,1
183,江花月此,1
184,花月此時,1
185,月此時相,1
186,此時相望,1
187,時相望不,1
188,相望不相,1
189,望不相聞,1
190,不相聞願,1
191,相聞願逐,1
192,聞願逐月,1
193,願逐月華,1
194,逐月華流,1
195,月華流照,1
196,華流照君,1
197,流照君鴻,1
198,照君鴻雁,1
199,君鴻雁長,1
200,鴻雁長飛,1
201,雁長飛光,1
202,長飛光不,1
203,飛光不度,1
204,光不度魚,1
205,不度魚龍,1
206,度魚龍潛,1
207,魚龍潛躍,1
208,龍潛躍水,1
209,潛躍水成,1
210,躍水成文,1
211,水成文昨,1
212,成文昨夜,1
213,文昨夜閑,1
214,昨夜閑潭,1
215,夜閑潭夢,1
216,閑潭夢落,1
217,潭夢落花,1
218,夢落花可,1
219,落花可憐,1
220,花可憐春,1
221,可憐春半,1
222,憐春半不,1
223,春半不還,1
224,半不還家,1
225,不還家春,1
226,還家春江,1
227,家春江花,1
228,江花月江,1
229,花月江水,1
230,月江水流,1
231,江水流春,1
232,水流春去,1
233,流春去欲,1
234,春去欲盡,1
235,去欲盡江,1
236,欲盡江潭,1
