排名,詞彙,出現次數
1,十萬人家火燭,1
2,萬人家火燭光,1
3,人家火燭光門,1
4,家火燭光門門,1
5,火燭光門門開,1
6,燭光門門開處,1
7,光門門開處見,1
8,門門開處見紅,1
9,門開處見紅妝,1
10,開處見紅妝歌,1
11,處見紅妝歌鐘,1
12,見紅妝歌鐘喧,1
13,紅妝歌鐘喧夜,1
14,妝歌鐘喧夜更,1
15,歌鐘喧夜更漏,1
16,鐘喧夜更漏暗,1
17,喧夜更漏暗羅,1
18,夜更漏暗羅綺,1
19,更漏暗羅綺滿,1
20,漏暗羅綺滿街,1
21,暗羅綺滿街塵,1
22,羅綺滿街塵土,1
23,綺滿街塵土香,1
24,滿街塵土香星,1
25,街塵土香星宿,1
26,塵土香星宿別,1
27,土香星宿別從,1
28,香星宿別從天,1
29,星宿別從天畔,1
30,宿別從天畔出,1
31,別從天畔出蓮,1
32,從天畔出蓮花,1
33,天畔出蓮花不,1
34,畔出蓮花不向,1
35,出蓮花不向水,1
36,蓮花不向水中,1
37,花不向水中芳,1
38,不向水中芳寶,1
39,向水中芳寶釵,1
40,水中芳寶釵驟,1
41,中芳寶釵驟馬,1
42,芳寶釵驟馬多,1
43,寶釵驟馬多遺,1
44,釵驟馬多遺落,1
45,驟馬多遺落依,1
46,馬多遺落依舊,1
47,多遺落依舊明,1
48,遺落依舊明朝,1
49,落依舊明朝在,1
50,依舊明朝在路,1
51,舊明朝在路傍,1
52,明朝在路傍舍,1
53,朝在路傍舍寵,1
54,在路傍舍寵求,1
55,路傍舍寵求仙,1
56,傍舍寵求仙畏,1
57,舍寵求仙畏色,1
58,寵求仙畏色衰,1
59,求仙畏色衰辭,1
60,仙畏色衰辭天,1
61,畏色衰辭天素,1
62,色衰辭天素面,1
63,衰辭天素面立,1
64,辭天素面立階,1
65,天素面立階墀,1
66,素面立階墀金,1
67,面立階墀金丹,1
68,立階墀金丹擬,1
69,階墀金丹擬駐,1
70,墀金丹擬駐千,1
71,金丹擬駐千年,1
72,丹擬駐千年貌,1
73,擬駐千年貌玉,1
74,駐千年貌玉指,1
75,千年貌玉指休,1
76,年貌玉指休勻,1
77,貌玉指休勻八,1
78,玉指休勻八字,1
79,指休勻八字眉,1
80,休勻八字眉師,1
81,勻八字眉師主,1
82,八字眉師主與,1
83,字眉師主與收,1
84,眉師主與收珠,1
85,師主與收珠翠,1
86,主與收珠翠後,1
87,與收珠翠後君,1
88,收珠翠後君王,1
89,珠翠後君王看,1
90,翠後君王看戴,1
91,後君王看戴角,1
92,君王看戴角冠,1
93,王看戴角冠時,1
94,看戴角冠時從,1
95,戴角冠時從來,1
96,角冠時從來宮,1
97,冠時從來宮女,1
98,時從來宮女皆,1
99,從來宮女皆相,1
100,來宮女皆相妒,1
101,宮女皆相妒聞,1
102,女皆相妒聞向,1
103,皆相妒聞向瑤,1
104,相妒聞向瑤台,1
105,妒聞向瑤台盡,1
106,聞向瑤台盡淚,1
107,向瑤台盡淚垂,1
108,瑤台盡淚垂秦,1
109,台盡淚垂秦雲,1
110,盡淚垂秦雲寂,1
111,淚垂秦雲寂寂,1
112,垂秦雲寂寂僧,1
113,秦雲寂寂僧還,1
114,雲寂寂僧還定,1
115,寂寂僧還定盡,1
116,寂僧還定盡日,1
117,僧還定盡日無,1
118,還定盡日無人,1
119,定盡日無人鹿,1
120,盡日無人鹿繞,1
121,日無人鹿繞床,1
122,無人鹿繞床日,1
123,人鹿繞床日暮,1
124,鹿繞床日暮風,1
125,繞床日暮風吹,1
126,床日暮風吹官,1
127,日暮風吹官渡,1
128,暮風吹官渡柳,1
129,風吹官渡柳白,1
130,吹官渡柳白鴉,1
131,官渡柳白鴉飛,1
132,渡柳白鴉飛出,1
133,柳白鴉飛出石,1
134,白鴉飛出石頭,1
135,鴉飛出石頭牆,1
136,飛出石頭牆雙,1
137,出石頭牆雙雙,1
138,石頭牆雙雙白,1
139,頭牆雙雙白燕,1
140,牆雙雙白燕入,1
141,雙雙白燕入祠,1
142,雙白燕入祠堂,1
