排名,詞彙,出現次數
1,偶發陶,1
2,發陶匏,1
3,陶匏響,1
4,匏響皆,1
5,響皆蒙,1
6,皆蒙組,1
7,蒙組繡,1
8,組繡文,1
9,繡文清,1
10,文清秋,1
11,清秋將,1
12,秋將落,1
13,將落帽,1
14,落帽子,1
15,帽子夏,1
16,子夏正,1
17,夏正離,1
18,正離群,1
19,離群有,1
20,群有恨,1
21,有恨書,1
22,恨書燕,1
23,書燕雁,1
24,燕雁無,1
25,雁無聊,1
26,無聊賦,1
27,聊賦郢,1
28,賦郢雲,1
29,郢雲遍,1
30,雲遍看,1
31,遍看心,1
32,看心自,1
33,心自醉,1
34,自醉不,1
35,醉不是,1
36,不是酒,1
37,是酒能,1
38,酒能醺,1
39,能醺尋,1
40,醺尋疑,1
41,尋疑天,1
42,疑天意,1
43,天意喪,1
44,意喪斯,1
45,喪斯文,1
46,斯文故,1
47,文故選,1
48,故選茅,1
49,選茅峰,1
50,茅峰寄,1
51,峰寄白,1
52,寄白雲,1
53,白雲酒,1
54,雲酒後,1
55,酒後只,1
56,後只留,1
57,只留滄,1
58,留滄海,1
59,滄海客,1
60,海客香,1
61,客香前,1
62,香前唯,1
63,前唯見,1
64,唯見紫,1
65,見紫陽,1
66,紫陽君,1
67,陽君近,1
68,君近年,1
69,近年已,1
70,年已絕,1
71,已絕詩,1
72,絕詩書,1
73,詩書癖,1
74,書癖今,1
75,癖今日,1
76,今日兼,1
77,日兼將,1
78,兼將筆,1
79,將筆硯,1
80,筆硯焚,1
81,硯焚為,1
82,焚為有,1
83,為有此,1
84,有此身,1
85,此身猶,1
86,身猶苦,1
87,猶苦患,1
88,苦患不,1
89,患不知,1
90,不知何,1
91,知何者,1
92,何者是,1
93,者是玄,1
94,是玄纁,1
95,玄纁桂,1
96,纁桂枝,1
97,桂枝新,1
98,枝新下,1
99,新下月,1
100,下月中,1
101,月中仙,1
102,中仙學,1
103,仙學海,1
104,學海詞,1
105,海詞鋒,1
106,詞鋒譽,1
107,鋒譽藹,1
108,譽藹然,1
109,藹然文,1
110,然文陣,1
111,文陣已,1
112,陣已推,1
113,已推忠,1
114,推忠信,1
115,忠信甲,1
116,信甲窮,1
117,甲窮波,1
118,窮波猶,1
119,波猶認,1
120,猶認孝,1
121,認孝廉,1
122,孝廉船,1
123,廉船清,1
124,船清標,1
125,清標稱,1
126,標稱住,1
127,稱住羊,1
128,住羊車,1
129,羊車上,1
130,車上俗,1
131,上俗韻,1
132,俗韻慚,1
133,韻慚居,1
134,慚居鶴,1
135,居鶴氅,1
136,鶴氅前,1
137,氅前共,1
138,前共許,1
139,共許逢,1
140,許逢蒙,1
141,逢蒙快,1
142,蒙快弓,1
143,快弓箭,1
144,弓箭再,1
145,箭再穿,1
146,再穿楊,1
147,穿楊葉,1
148,楊葉在,1
149,葉在明,1
150,在明年,1
151,明年疏,1
152,年疏野,1
153,疏野林,1
154,野林亭,1
155,林亭震,1
156,亭震澤,1
157,震澤西,1
158,澤西朗,1
159,西朗吟,1
160,朗吟閒,1
161,吟閒步,1
162,閒步喜,1
163,步喜相,1
164,喜相攜,1
165,相攜時,1
166,攜時時,1
167,時時風,1
168,時風折,1
169,風折蘆,1
170,折蘆花,1
171,蘆花亂,1
172,花亂處,1
173,亂處處,1
174,處處霜,1
175,處霜摧,1
176,霜摧稻,1
177,摧稻穗,1
178,稻穗低,1
179,穗低百,1
180,低百本,1
181,百本敗,1
182,本敗荷,1
183,敗荷魚,1
184,荷魚不,1
185,魚不動,1
186,不動一,1
187,動一枝,1
188,一枝寒,1
189,枝寒菊,1
190,寒菊蝶,1
191,菊蝶空,1
192,蝶空迷,1
193,空迷今,1
194,迷今朝,1
195,今朝偶,1
196,朝偶得,1
197,偶得高,1
198,得高陽,1
199,高陽伴,1
200,陽伴從,1
201,伴從放,1
202,從放山,1
203,放山翁,1
204,山翁醉,1
205,翁醉似,1
206,醉似泥,1
207,似泥鳳,1
208,泥鳳麟,1
209,鳳麟膠,1
210,麟膠盡,1
211,膠盡夜,1
212,盡夜如,1
213,夜如何,1
214,如何共,1
215,何共歎,1
216,共歎先,1
217,歎先生,1
218,先生劍,1
219,生劍解,1
220,劍解多,1
221,解多幾,1
222,多幾度,1
223,幾度吊,1
224,度吊來,1
225,吊來唯,1
226,來唯白,1
227,唯白鶴,1
228,白鶴此,1
229,鶴此時,1
230,此時乘,1
231,時乘去,1
232,乘去必,1
233,去必青,1
234,必青騾,1
235,青騾圖,1
236,騾圖中,1
237,圖中含,1
238,中含景,1
239,含景隨,1
240,景隨殘,1
241,隨殘照,1
242,殘照琴,1
243,照琴裏,1
244,琴裏流,1
245,裏流泉,1
246,流泉寄,1
247,泉寄逝,1
248,寄逝波,1
249,逝波惆,1
250,波惆悵,1
251,惆悵真,1
252,悵真靈,1
253,真靈又,1
254,靈又空,1
255,又空返,1
256,空返玉,1
257,返玉書,1
258,玉書誰,1
259,書誰授,1
260,誰授紫,1
261,授紫微,1
262,紫微歌,1
263,微歌雪,1
264,歌雪彩,1
265,雪彩冰,1
266,彩冰姿,1
267,冰姿號,1
268,姿號女,1
269,號女華,1
270,女華寄,1
271,華寄身,1
272,寄身多,1
273,身多是,1
274,多是地,1
275,是地仙,1
276,地仙家,1
277,仙家有,1
278,家有時,1
279,有時南,1
280,時南國,1
281,南國和,1
282,國和霜,1
283,和霜立,1
284,霜立幾,1
285,立幾處,1
286,幾處東,1
287,處東籬,1
288,東籬伴,1
289,籬伴月,1
290,伴月斜,1
291,月斜謝,1
292,斜謝客,1
293,謝客瓊,1
294,客瓊枝,1
295,瓊枝空,1
296,枝空貯,1
297,空貯恨,1
298,貯恨袁,1
299,恨袁郎,1
300,袁郎金,1
301,郎金鈿,1
302,金鈿不,1
303,鈿不成,1
304,不成誇,1
305,成誇自,1
306,誇自知,1
307,自知終,1
308,知終古,1
309,終古清,1
310,古清香,1
311,清香在,1
312,香在更,1
313,在更出,1
314,更出梅,1
315,出梅妝,1
316,梅妝弄,1
317,妝弄晚,1
318,弄晚霞,1
319,晚霞池,1
320,霞池塘,1
321,池塘蕭,1
322,塘蕭索,1
323,蕭索掩,1
324,索掩空,1
325,掩空籠,1
326,空籠玉,1
327,籠玉樹,1
328,玉樹同,1
329,樹同嗟,1
330,同嗟一,1
331,嗟一土,1
332,一土中,1
333,土中莎,1
334,中莎徑,1
335,莎徑罷,1
336,徑罷鳴,1
337,罷鳴唯,1
338,鳴唯泣,1
339,唯泣露,1
340,泣露松,1
341,露松軒,1
342,松軒休,1
343,軒休舞,1
344,休舞但,1
345,舞但悲,1
346,但悲風,1
347,悲風丹,1
348,風丹台,1
349,丹台舊,1
350,台舊氅,1
351,舊氅難,1
352,氅難重,1
353,難重緝,1
354,重緝紫,1
355,緝紫府,1
356,紫府新,1
357,府新書,1
358,新書豈,1
359,書豈更,1
360,豈更通,1
361,更通雲,1
362,通雲減,1
363,雲減霧,1
364,減霧消,1
365,霧消無,1
366,消無處,1
367,無處問,1
368,處問只,1
369,問只留,1
370,只留華,1
371,留華髮,1
372,華髮與,1
373,髮與衰,1
374,與衰翁,1
375,衰翁仙,1
376,翁仙侶,1
377,仙侶無,1
378,侶無何,1
379,無何訪,1
380,何訪蔡,1
381,訪蔡經,1
382,蔡經兩,1
383,經兩煩,1
384,兩煩韶,1
385,煩韶濩,1
386,韶濩出,1
387,濩出彤,1
388,出彤庭,1
389,彤庭人,1
390,庭人間,1
391,人間若,1
392,間若有,1
393,若有登,1
394,有登樓,1
395,登樓望,1
396,樓望應,1
397,望應怪,1
398,應怪文,1
399,怪文星,1
400,文星近,1
401,星近客,1
402,近客星,1
403,客星雲,1
404,星雲孤,1
405,雲孤鶴,1
406,孤鶴獨,1
407,鶴獨且,1
408,獨且相,1
409,且相親,1
410,相親仿,1
411,親仿效,1
412,仿效從,1
413,效從它,1
414,從它折,1
415,它折角,1
416,折角巾,1
417,角巾不,1
418,巾不用,1
419,不用吳,1
420,用吳江,1
421,吳江歎,1
422,江歎留,1
423,歎留滯,1
424,留滯風,1
425,滯風姿,1
426,風姿俱,1
427,姿俱是,1
428,俱是玉,1
429,是玉清,1
430,玉清人,1
431,清人何,1
432,人何事,1
433,何事桃,1
434,事桃源,1
435,桃源路,1
436,源路忽,1
437,路忽迷,1
438,忽迷惟,1
439,迷惟留,1
440,惟留雲,1
