排名,詞彙,出現次數
1,祥輝上幹呂鬱鬱,1
2,輝上幹呂鬱鬱又,1
3,上幹呂鬱鬱又紛,1
4,幹呂鬱鬱又紛紛,1
5,呂鬱鬱又紛紛遠,1
6,鬱鬱又紛紛遠示,1
7,鬱又紛紛遠示無,1
8,又紛紛遠示無為,1
9,紛紛遠示無為化,1
10,紛遠示無為化將,1
11,遠示無為化將明,1
12,示無為化將明至,1
13,無為化將明至道,1
14,為化將明至道君,1
15,化將明至道君勢,1
16,將明至道君勢凝,1
17,明至道君勢凝千,1
18,至道君勢凝千里,1
19,道君勢凝千里靜,1
20,君勢凝千里靜色,1
21,勢凝千里靜色向,1
22,凝千里靜色向九,1
23,千里靜色向九霄,1
24,里靜色向九霄分,1
25,靜色向九霄分已,1
26,色向九霄分已見,1
27,向九霄分已見從,1
28,九霄分已見從龍,1
29,霄分已見從龍意,1
30,分已見從龍意甯,1
31,已見從龍意甯知,1
32,見從龍意甯知觸,1
33,從龍意甯知觸石,1
34,龍意甯知觸石文,1
35,意甯知觸石文狀,1
36,甯知觸石文狀煙,1
37,知觸石文狀煙殊,1
38,觸石文狀煙殊散,1
39,石文狀煙殊散漫,1
40,文狀煙殊散漫捧,1
41,狀煙殊散漫捧日,1
42,煙殊散漫捧日更,1
43,殊散漫捧日更氛,1
44,散漫捧日更氛氳,1
45,漫捧日更氛氳自,1
46,捧日更氛氳自使,1
47,日更氛氳自使來,1
48,更氛氳自使來賓,1
49,氛氳自使來賓國,1
50,氳自使來賓國西,1
51,自使來賓國西瞻,1
52,使來賓國西瞻仰,1
53,來賓國西瞻仰瑞,1
54,賓國西瞻仰瑞雲,1
55,國西瞻仰瑞雲聖,1
56,西瞻仰瑞雲聖布,1
57,瞻仰瑞雲聖布中,1
58,仰瑞雲聖布中區,1
59,瑞雲聖布中區化,1
60,雲聖布中區化祥,1
61,聖布中區化祥符,1
62,布中區化祥符異,1
63,中區化祥符異域,1
64,區化祥符異域雲,1
65,化祥符異域雲含,1
66,祥符異域雲含春,1
67,符異域雲含春初,1
68,異域雲含春初應,1
69,域雲含春初應呂,1
70,雲含春初應呂暈,1
71,含春初應呂暈碧,1
72,春初應呂暈碧已,1
73,初應呂暈碧已成,1
74,應呂暈碧已成文,1
75,呂暈碧已成文東,1
76,暈碧已成文東起,1
77,碧已成文東起隨,1
78,已成文東起隨風,1
79,成文東起隨風暖,1
80,文東起隨風暖西,1
81,東起隨風暖西流,1
82,起隨風暖西流共,1
83,隨風暖西流共日,1
84,風暖西流共日曛,1
85,暖西流共日曛升,1
86,西流共日曛升時,1
87,流共日曛升時嘉,1
88,共日曛升時嘉異,1
89,日曛升時嘉異月,1
90,曛升時嘉異月為,1
91,升時嘉異月為慶,1
92,時嘉異月為慶等,1
93,嘉異月為慶等凝,1
94,異月為慶等凝汾,1
95,月為慶等凝汾輕,1
96,為慶等凝汾輕與,1
97,慶等凝汾輕與晴,1
98,等凝汾輕與晴煙,1
99,凝汾輕與晴煙比,1
100,汾輕與晴煙比高,1
101,輕與晴煙比高將,1
102,與晴煙比高將曉,1
103,晴煙比高將曉霧,1
104,煙比高將曉霧分,1
105,比高將曉霧分飄,1
106,高將曉霧分飄飄,1
107,將曉霧分飄飄如,1
108,曉霧分飄飄如可,1
109,霧分飄飄如可致,1
110,分飄飄如可致願,1
111,飄飄如可致願此,1
112,飄如可致願此翊,1
113,如可致願此翊明,1
114,可致願此翊明君,1
115,致願此翊明君莫,1
116,願此翊明君莫訝,1
117,此翊明君莫訝相,1
118,翊明君莫訝相如,1
119,明君莫訝相如獻,1
120,君莫訝相如獻賦,1
121,莫訝相如獻賦遲,1
122,訝相如獻賦遲錦,1
123,相如獻賦遲錦書,1
124,如獻賦遲錦書誰,1
125,獻賦遲錦書誰道,1
126,賦遲錦書誰道淚,1
127,遲錦書誰道淚沾,1
128,錦書誰道淚沾衣,1
129,書誰道淚沾衣不,1
130,誰道淚沾衣不須,1
131,道淚沾衣不須化,1
132,淚沾衣不須化作,1
133,沾衣不須化作山,1
134,衣不須化作山頭,1
135,不須化作山頭石,1
136,須化作山頭石待,1
137,化作山頭石待我,1
138,作山頭石待我堂,1
139,山頭石待我堂前,1
140,頭石待我堂前折,1
141,石待我堂前折桂,1
142,待我堂前折桂枝,1
