排名,詞彙,出現次數
1,三十六,3
2,白家詩,3
3,錢塘郭,2
4,十六峰,2
5,雨蕭蕭,2
6,下三分,2
7,明月夜,2
8,似如今,2
9,十二峰,2
10,花時節,2
11,風嫋嫋,2
12,人梳洗,2
13,家詩句,2
14,駟馬歸,1
15,馬歸咸,1
16,歸咸秦,1
17,咸秦雙,1
18,秦雙鳧,1
19,雙鳧出,1
20,鳧出海,1
21,出海門,1
22,海門還,1
23,門還從,1
24,還從清,1
25,從清切,1
26,清切禁,1
27,切禁再,1
28,禁再沐,1
29,再沐聖,1
30,沐聖明,1
31,聖明恩,1
32,明恩禮,1
33,恩禮樂,1
34,禮樂中,1
35,樂中朝,1
36,中朝貴,1
37,朝貴文,1
38,貴文章,1
39,文章大,1
40,章大雅,1
41,大雅存,1
42,雅存江,1
43,存江湖,1
44,江湖多,1
45,湖多放,1
46,多放逸,1
47,放逸獻,1
48,逸獻替,1
49,獻替欲,1
50,替欲誰,1
51,欲誰論,1
52,誰論絕,1
53,論絕國,1
54,絕國將,1
55,國將無,1
56,將無外,1
57,無外扶,1
58,外扶桑,1
59,扶桑更,1
60,桑更有,1
61,更有東,1
62,有東來,1
63,東來朝,1
64,來朝逢,1
65,朝逢聖,1
66,逢聖日,1
67,聖日歸,1
68,日歸去,1
69,歸去及,1
70,去及秋,1
71,及秋風,1
72,秋風夜,1
73,風夜泛,1
74,夜泛潮,1
75,泛潮回,1
76,潮回際,1
77,回際晨,1
78,際晨征,1
79,晨征蒼,1
80,征蒼莽,1
81,蒼莽中,1
82,莽中鯨,1
83,中鯨波,1
84,鯨波騰,1
85,波騰水,1
86,騰水府,1
87,水府蜃,1
88,府蜃氣,1
89,蜃氣壯,1
90,氣壯仙,1
91,壯仙宮,1
92,仙宮天,1
93,宮天眷,1
94,天眷何,1
95,眷何期,1
96,何期遠,1
97,期遠王,1
98,遠王文,1
99,王文久,1
100,文久已,1
101,久已同,1
102,已同相,1
103,同相望,1
104,相望杳,1
105,望杳不,1
106,杳不見,1
107,不見離,1
108,見離恨,1
109,離恨托,1
110,恨托飛,1
111,托飛鴻,1
112,飛鴻此,1
113,鴻此花,1
114,此花南,1
115,花南地,1
116,南地知,1
117,地知難,1
118,知難種,1
119,難種慚,1
120,種慚愧,1
121,慚愧僧,1
122,愧僧閑,1
123,僧閑用,1
124,閑用意,1
125,用意栽,1
126,意栽海,1
127,栽海燕,1
128,海燕解,1
129,燕解憐,1
130,解憐頻,1
131,憐頻睥,1
132,頻睥睨,1
133,睥睨胡,1
134,睨胡蜂,1
135,胡蜂未,1
136,蜂未識,1
137,未識更,1
138,識更徘,1
139,更徘徊,1
140,徘徊虛,1
141,徊虛生,1
142,虛生芍,1
143,生芍藥,1
144,芍藥徒,1
145,藥徒勞,1
146,徒勞妒,1
147,勞妒羞,1
148,妒羞殺,1
149,羞殺玫,1
150,殺玫瑰,1
151,玫瑰不,1
152,瑰不敢,1
153,不敢開,1
154,敢開惟,1
155,開惟有,1
156,惟有數,1
157,有數苞,1
158,數苞紅,1
159,苞紅萼,1
160,紅萼在,1
161,萼在含,1
162,在含芳,1
163,含芳只,1
164,芳只待,1
165,只待舍,1
166,待舍人,1
167,舍人來,1
168,人來香,1
169,來香爐,1
170,香爐一,1
171,爐一峰,1
172,一峰絕,1
173,峰絕頂,1
174,絕頂在,1
175,頂在寺,1
176,在寺門,1
177,寺門前,1
178,門前儘,1
179,前儘是,1
180,儘是玲,1
181,是玲瓏,1
182,玲瓏石,1
183,瓏石時,1
184,石時生,1
185,時生旦,1
186,生旦暮,1
187,旦暮煙,1
188,暮煙騕,1
