排名,詞彙,出現次數
1,獨杵,3
2,聽獨,2
3,杵擣,2
4,擣非,1
5,非是,1
6,是無,1
7,無人,1
8,人助,1
9,助意,1
10,意欲,1
11,欲自,1
12,自鳴,1
13,鳴砧,1
14,砧向,1
15,向月,1
16,月憐,1
17,憐孤,1
18,孤影,1
19,影承,1
20,承風,1
21,風送,1
22,送迥,1
23,迥音,1
24,音聽,1
25,擣疑,1
26,疑搗,1
27,搗雙,1
28,雙絲,1
29,絲練,1
30,練似,1
31,似奏,1
32,奏一,1
33,一弦,1
34,弦琴,1
35,琴令,1
36,令君,1
37,君聞,1
38,聞獨,1
39,杵知,1
40,知妾,1
41,妾有,1
42,有專,1
43,專心,1
44,心聞,1
45,聞侯,1
46,侯方,1
47,方兒,1
48,兒羊,1
49,羊皮,1
50,皮贖,1
51,贖去,1
52,去士,1
53,士馬,1
54,馬革,1
55,革斂,1
56,斂還,1
57,還屍,1
58,屍天,1
59,天下,1
60,下方,1
61,方無,1
62,無事,1
63,事孝,1
64,孝廉,1
65,廉非,1
66,非哭,1
67,哭時,1
