排名,詞彙,出現次數
1,三,3
2,贈,2
3,智,2
4,舟,2
5,心,2
6,難,2
7,伏,2
8,行,2
9,離,2
10,聲,2
11,入,2
12,寒,2
13,更,2
14,初,2
15,冬,2
16,旅,2
17,舍,2
18,壯,1
19,歲,1
20,師,1
21,豈,1
22,尋,1
23,常,1
24,獨,1
25,在,1
26,院,1
27,坐,1
28,不,1
29,壇,1
30,嶽,1
31,雪,1
32,當,1
33,禪,1
34,暝,1
35,松,1
36,咒,1
37,因,1
38,文,1
39,字,1
40,外,1
41,多,1
42,把,1
43,史,1
44,書,1
45,看,1
46,枕,1
47,上,1
48,角,1
49,微,1
50,情,1
51,未,1
52,息,1
53,機,1
54,夢,1
55,回,1
56,楚,1
57,寺,1
58,五,1
59,衣,1
60,月,1
61,沒,1
62,棲,1
63,禽,1
64,動,1
65,霜,1
66,晴,1
67,凍,1
68,葉,1
69,飛,1
70,自,1
71,慚,1
72,役,1
73,早,1
74,深,1
75,與,1
76,道,1
77,相,1
78,違,1
