排名,詞彙,出現次數
1,羅浮山羅,1
2,浮山羅浮,1
3,山羅浮多,1
4,羅浮多勝,1
5,浮多勝境,1
6,多勝境夢,1
7,勝境夢到,1
8,境夢到固,1
9,夢到固無,1
10,到固無因,1
11,固無因知,1
12,無因知有,1
13,因知有長,1
14,知有長生,1
15,有長生藥,1
16,長生藥誰,1
17,生藥誰為,1
18,藥誰為不,1
19,誰為不死,1
20,為不死人,1
21,不死人羅,1
22,死人羅浮,1
23,人羅浮山,1
24,羅浮山根,1
25,浮山根雖,1
26,山根雖盤,1
27,根雖盤地,1
28,雖盤地脈,1
29,盤地脈勢,1
30,地脈勢自,1
31,脈勢自倚,1
32,勢自倚天,1
33,自倚天津,1
34,倚天津未,1
35,天津未便,1
36,津未便甘,1
37,未便甘休,1
38,便甘休去,1
39,甘休去須,1
40,休去須棲,1
41,去須棲老,1
42,須棲老此,1
43,棲老此身,1
44,老此身牡,1
45,此身牡丹,1
46,身牡丹萬,1
47,牡丹萬物,1
48,丹萬物承,1
49,萬物承春,1
50,物承春各,1
51,承春各鬥,1
52,春各鬥奇,1
53,各鬥奇百,1
54,鬥奇百花,1
55,奇百花分,1
56,百花分貴,1
57,花分貴近,1
58,分貴近亭,1
59,貴近亭池,1
60,近亭池開,1
61,亭池開時,1
62,池開時若,1
63,開時若也,1
64,時若也姮,1
65,若也姮娥,1
66,也姮娥見,1
67,姮娥見落,1
68,娥見落日,1
69,見落日那,1
70,落日那堪,1
71,日那堪公,1
72,那堪公子,1
73,堪公子知,1
74,公子知詩,1
75,子知詩客,1
76,知詩客筵,1
77,詩客筵中,1
78,客筵中金,1
79,筵中金盞,1
80,中金盞滿,1
81,金盞滿美,1
82,盞滿美人,1
83,滿美人頭,1
84,美人頭上,1
85,人頭上玉,1
86,頭上玉釵,1
87,上玉釵垂,1
88,玉釵垂牡,1
89,釵垂牡丹,1
90,垂牡丹不,1
91,牡丹不同,1
92,丹不同寒,1
93,不同寒菊,1
94,同寒菊舒,1
95,寒菊舒重,1
96,菊舒重九,1
97,舒重九只,1
98,重九只擬,1
99,九只擬清,1
100,只擬清香,1
101,擬清香泛,1
102,清香泛酒,1
103,香泛酒卮,1
104,泛酒卮蘚,1
105,酒卮蘚花,1
106,卮蘚花寂,1
107,蘚花寂寞,1
108,花寂寞人,1
109,寂寞人偏,1
110,寞人偏重,1
111,人偏重無,1
112,偏重無心,1
113,重無心愧,1
114,無心愧牡,1
115,心愧牡丹,1
116,愧牡丹秋,1
117,牡丹秋風,1
118,丹秋風凋,1
119,秋風凋不,1
120,風凋不得,1
121,凋不得流,1
122,不得流水,1
123,得流水泛,1
124,流水泛應,1
125,水泛應難,1
126,泛應難蘚,1
127,應難蘚花,1
128,難蘚花怪,1
129,蘚花怪石,1
130,花怪石縱,1
131,怪石縱教,1
132,石縱教遍,1
133,縱教遍幽,1
134,教遍幽庭,1
135,遍幽庭一,1
136,幽庭一任,1
137,庭一任盤,1
138,一任盤若,1
139,任盤若逢,1
140,盤若逢公,1
141,若逢公子,1
142,逢公子顧,1
143,公子顧重,1
144,子顧重疊,1
145,顧重疊是,1
146,重疊是朱,1
147,疊是朱欄,1
148,是朱欄新,1
149,朱欄新栽,1
150,欄新栽松,1
151,新栽松可,1
152,栽松可憐,1
153,松可憐同,1
154,可憐同百,1
155,憐同百草,1
156,同百草況,1
157,百草況負,1
158,草況負雪,1
159,況負雪霜,1
160,負雪霜姿,1
161,雪霜姿歌,1
162,霜姿歌舞,1
163,姿歌舞地,1
164,歌舞地不,1
165,舞地不尚,1
166,地不尚歲,1
167,不尚歲寒,1
168,尚歲寒人,1
169,歲寒人自,1
170,寒人自移,1
171,人自移新,1
172,自移新栽,1
173,移新栽松,1
174,新栽松階,1
175,栽松階除,1
176,松階除添,1
177,階除添冷,1
178,除添冷淡,1
179,添冷淡毫,1
180,冷淡毫末,1
181,淡毫末入,1
182,毫末入思,1
183,末入思惟,1
184,入思惟盡,1
185,思惟盡道,1
186,惟盡道生,1
187,盡道生雲,1
188,道生雲洞,1
189,生雲洞誰,1
190,雲洞誰知,1
191,洞誰知路,1
192,誰知路嶮,1
193,知路嶮巇,1
194,路嶮巇柳,1
195,嶮巇柳何,1
196,巇柳何事,1
197,柳何事動,1
198,何事動吟,1
199,事動吟哦,1
200,動吟哦長,1
201,吟哦長翠,1
202,哦長翠色,1
203,長翠色和,1
204,翠色和垂,1
205,色和垂陰,1
206,和垂陰千,1
207,垂陰千樹,1
208,陰千樹少,1
209,千樹少送,1
210,樹少送別,1
211,少送別一,1
212,送別一枝,1
213,別一枝多,1
214,一枝多柳,1
215,枝多柳帶,1
216,多柳帶霧,1
217,柳帶霧籠,1
218,帶霧籠彭,1
219,霧籠彭澤,1
220,籠彭澤搖,1
221,彭澤搖風,1
222,澤搖風舞,1
223,搖風舞汴,1
224,風舞汴河,1
225,舞汴河只,1
226,汴河只因,1
227,河只因隋,1
228,只因隋帝,1
229,因隋帝植,1
230,隋帝植民,1
231,帝植民力,1
232,植民力幾,1
233,民力幾銷,1
234,力幾銷磨,1
