排名,詞彙,出現次數
1,靈嶽多異,1
2,嶽多異狀,1
3,多異狀巉,1
4,異狀巉巉,1
5,狀巉巉出,1
6,巉巉出虛,1
7,巉出虛空,1
8,出虛空閑,1
9,虛空閑雲,1
10,空閑雲戀,1
11,閑雲戀岩,1
12,雲戀岩壑,1
13,戀岩壑起,1
14,岩壑起滅,1
15,壑起滅蒼,1
16,起滅蒼翠,1
17,滅蒼翠中,1
18,蒼翠中皓,1
19,翠中皓氣,1
20,中皓氣澄,1
21,皓氣澄野,1
22,氣澄野水,1
23,澄野水神,1
24,野水神光,1
25,水神光秘,1
26,神光秘瓊,1
27,光秘瓊宮,1
28,秘瓊宮鶴,1
29,瓊宮鶴巢,1
30,宮鶴巢前,1
31,鶴巢前林,1
32,巢前林雪,1
33,前林雪瀑,1
34,林雪瀑落,1
35,雪瀑落滿,1
36,瀑落滿澗,1
37,落滿澗風,1
38,滿澗風春,1
39,澗風春盡,1
40,風春盡花,1
41,春盡花未,1
42,盡花未發,1
43,花未發川,1
44,未發川回,1
45,發川回路,1
46,川回路難,1
47,回路難窮,1
48,路難窮何,1
49,難窮何因,1
50,窮何因著,1
51,何因著山,1
52,因著山屐,1
53,著山屐鹿,1
54,山屐鹿跡,1
55,屐鹿跡尋,1
56,鹿跡尋羊,1
57,跡尋羊公,1
58,尋羊公樓,1
59,羊公樓居,1
60,公樓居半,1
61,樓居半池,1
62,居半池上,1
63,半池上澄,1
64,池上澄影,1
65,上澄影共,1
66,澄影共相,1
67,影共相空,1
68,共相空謝,1
69,相空謝守,1
70,空謝守題,1
71,謝守題詩,1
72,守題詩處,1
73,題詩處蓮,1
74,詩處蓮開,1
75,處蓮開淨,1
76,蓮開淨碧,1
77,開淨碧中,1
78,淨碧中山,1
79,碧中山雨,1
80,中山雨留,1
81,山雨留清,1
82,雨留清氣,1
83,留清氣溪,1
84,清氣溪飆,1
85,氣溪飆送,1
86,溪飆送早,1
87,飆送早涼,1
88,送早涼時,1
89,早涼時回,1
90,涼時回石,1
91,時回石門,1
92,回石門步,1
93,石門步階,1
94,門步階下,1
95,步階下碧,1
96,階下碧雲,1
97,下碧雲光,1
98,碧雲光連,1
99,雲光連簷,1
100,光連簷對,1
101,連簷對雙,1
102,簷對雙樹,1
103,對雙樹冬,1
104,雙樹冬翠,1
105,樹冬翠夏,1
106,冬翠夏無,1
107,翠夏無塵,1
108,夏無塵未,1
109,無塵未肯,1
110,塵未肯慚,1
111,未肯慚桃,1
112,肯慚桃李,1
113,慚桃李成,1
114,桃李成陰,1
115,李成陰不,1
116,成陰不待,1
117,陰不待春,1
118,不待春回,1
119,待春回塘,1
120,春回塘最,1
121,回塘最幽,1
122,塘最幽處,1
123,最幽處拍,1
124,幽處拍水,1
125,處拍水小,1
126,拍水小亭,1
127,水小亭開,1
128,小亭開莫,1
129,亭開莫怪,1
130,開莫怪闌,1
131,莫怪闌幹,1
132,怪闌幹濕,1
133,闌幹濕鵁,1
134,幹濕鵁鶄,1
135,濕鵁鶄夜,1
136,鵁鶄夜宿,1
137,鶄夜宿來,1
138,夜宿來中,1
139,宿來中峰,1
140,來中峰上,1
141,中峰上翠,1
142,峰上翠微,1
143,上翠微窗,1
144,翠微窗曉,1
145,微窗曉早,1
146,窗曉早霞,1
147,曉早霞飛,1
148,早霞飛幾,1
149,霞飛幾引,1
150,飛幾引登,1
151,幾引登山,1
152,引登山屐,1
153,登山屐春,1
154,山屐春風,1
155,屐春風踏,1
156,春風踏雪,1
157,風踏雪歸,1
158,踏雪歸上,1
159,雪歸上結,1
160,歸上結孤,1
161,上結孤圓,1
162,結孤圓頂,1
163,孤圓頂飛,1
164,圓頂飛軒,1
165,頂飛軒出,1
166,飛軒出泰,1
167,軒出泰清,1
168,出泰清有,1
169,泰清有時,1
170,清有時迷,1
171,有時迷處,1
172,時迷處所,1
173,迷處所梁,1
174,處所梁棟,1
175,所梁棟曉,1
176,梁棟曉雲,1
177,棟曉雲生,1
178,曉雲生高,1
179,雲生高亭,1
180,生高亭群,1
181,高亭群峰,1
182,亭群峰首,1
183,群峰首四,1
184,峰首四面,1
185,首四面俯,1
186,四面俯晴,1
187,面俯晴川,1
188,俯晴川每,1
189,晴川每見,1
190,川每見晨,1
191,每見晨光,1
192,見晨光曉,1
193,晨光曉階,1
194,光曉階前,1
195,曉階前萬,1
196,階前萬井,1
197,前萬井煙,1
198,萬井煙秋,1
199,井煙秋台,1
200,煙秋台好,1
201,秋台好登,1
202,台好登望,1
203,好登望菡,1
204,登望菡萏,1
205,望菡萏發,1
206,菡萏發清,1
207,萏發清池,1
208,發清池半,1
209,清池半似,1
210,池半似紅,1
211,半似紅顏,1
212,似紅顏醉,1
213,紅顏醉淩,1
214,顏醉淩波,1
215,醉淩波欲,1
216,淩波欲暮,1
217,波欲暮時,1
218,欲暮時靜,1
219,暮時靜得,1
220,時靜得塵,1
221,靜得塵埃,1
222,得塵埃外,1
223,塵埃外茶,1
224,埃外茶芳,1
225,外茶芳小,1
226,茶芳小華,1
227,芳小華山,1
228,小華山此,1
229,華山此亭,1
230,山此亭真,1
231,此亭真寂,1
232,亭真寂寞,1
233,真寂寞世,1
234,寂寞世路,1
235,寞世路少,1
236,世路少人,1
237,路少人閑,1
238,少人閑淅,1
239,人閑淅淅,1
240,閑淅淅寒,1
241,淅淅寒流,1
242,淅寒流漲,1
