排名,詞彙,出現次數
1,宿新,2
2,新安,2
3,安江,2
4,揚州,2
5,送李,2
6,李司,2
7,司直,2
8,望中,2
9,中有,2
10,有懷,2
11,題虎,2
12,虎丘,2
13,丘山,2
14,吳興,2
15,興送,2
16,送梁,2
17,江霜,1
18,霜飛,1
19,飛十,1
20,十月,1
21,月中,1
22,中搖,1
23,搖落,1
24,落眾,1
25,眾山,1
26,山空,1
27,空孤,1
28,孤館,1
29,館閉,1
30,閉寒,1
31,寒木,1
32,木大,1
33,大江,1
34,江生,1
35,生夜,1
36,夜風,1
37,風宿,1
38,江賦,1
39,賦詩,1
40,詩忙,1
41,忙有,1
42,有意,1
43,意沈,1
44,沈約,1
45,約在,1
46,在關,1
47,關東,1
48,東春,1
49,春眺,1
50,眺揚,1
51,州蕪,1
52,蕪城,1
53,城西,1
54,西眺,1
55,眺極,1
56,極蒼,1
57,蒼流,1
58,流漠,1
59,漠漠,1
60,漠春,1
61,春煙,1
62,煙間,1
63,間曙,1
64,曙樓,1
65,樓瓜,1
66,瓜步,1
67,步早,1
68,早潮,1
69,潮吞,1
70,吞建,1
71,建業,1
72,業蒜,1
73,蒜山,1
74,山晴,1
75,晴雪,1
76,雪照,1
77,照揚,1
78,州隋,1
79,隋家,1
80,家故,1
81,故事,1
82,事不,1
83,不能,1
84,能問,1
85,問鶴,1
86,鶴在,1
87,在仙,1
88,仙池,1
89,池期,1
90,期我,1
91,我遊,1
92,遊送,1
93,直翩,1
94,翩翩,1
95,翩書,1
96,書記,1
97,記早,1
98,早曾,1
99,曾聞,1
100,聞二,1
101,二十,1
102,十年,1
103,年來,1
104,來願,1
105,願見,1
106,見君,1
107,君今,1
108,今日,1
109,日相,1
110,相逢,1
111,逢悲,1
112,悲白,1
113,白髮,1
114,髮同,1
115,同時,1
116,時幾,1
117,幾許,1
118,許在,1
119,在青,1
120,青雲,1
121,雲人,1
122,人從,1
123,從北,1
124,北固,1
125,固山,1
126,山邊,1
127,邊去,1
128,去水,1
129,水到,1
130,到西,1
131,西陵,1
132,陵渡,1
133,渡口,1
134,口分,1
135,分送,1
136,直會,1
137,會作,1
138,作王,1
139,王門,1
140,門曳,1
141,曳裾,1
142,裾客,1
143,客為,1
144,為余,1
145,余前,1
146,前謝,1
147,謝鮑,1
148,鮑將,1
149,將軍,1
150,軍望,1
151,懷龍,1
152,龍向,1
153,向洞,1
154,洞中,1
155,中銜,1
156,銜雨,1
157,雨出,1
158,出鳥,1
159,鳥從,1
160,從花,1
161,花裏,1
162,裏帶,1
163,帶香,1
164,香飛,1
165,飛望,1
166,懷白,1
167,白雲,1
168,雲斷,1
169,斷處,1
170,處見,1
171,見明,1
172,明月,1
173,月黃,1
174,黃葉,1
175,葉落,1
176,落時,1
177,時聞,1
178,聞擣,1
179,擣衣,1
180,衣題,1
181,山王,1
182,王氏,1
183,氏家,1
184,家山,1
185,山昔,1
186,昔在,1
187,在茲,1
188,茲陸,1
189,陸機,1
190,機為,1
191,為賦,1
192,賦陸,1
193,陸雲,1
194,雲詩,1
195,詩題,1
196,山青,1
197,青蓮,1
198,蓮香,1
199,香匝,1
200,匝東,1
201,東西,1
202,西宇,1
203,宇日,1
204,日月,1
205,月與,1
206,與僧,1
207,僧無,1
208,無盡,1
209,盡時,1
210,時吳,1
211,梁柳,1
212,柳家,1
213,家汀,1
214,汀洲,1
215,洲孟,1
216,孟冬,1
217,冬月,1
218,月雲,1
219,雲寒,1
220,寒水,1
221,水清,1
222,清荻,1
223,荻花,1
224,花發,1
225,發吳,1
226,梁一,1
227,一枝,1
228,枝持,1
229,持贈,1
230,贈朝,1
231,朝天,1
232,天人,1
233,人願,1
234,願比,1
235,比蓬,1
236,蓬萊,1
237,萊殿,1
238,殿前,1
239,前雪,1
240,雪句,1
241,句夜,1
242,夜靜,1
243,靜忽,1
244,忽疑,1
245,疑身,1
246,身是,1
247,是夢,1
248,夢更,1
249,更聞,1
250,聞寒,1
251,寒雨,1
252,雨滴,1
253,滴芭,1
254,芭蕉,1
255,蕉句,1
