排名,詞彙,出現次數
1,白玉堂,5
2,金莖露,3
3,秦逐客,3
4,金鑾殿,3
5,九枝燈,3
6,洛陽花,3
7,第一功,3
8,家白玉,3
9,青海馬,3
10,春晼晚,3
11,醉如泥,3
12,日暮向,2
13,暮向風,2
14,向風牽,2
15,風牽短,2
16,牽短絲,2
17,短絲血,2
18,絲血凝,2
19,血凝血,2
20,凝血散,2
21,血散今,2
22,散今誰,2
23,今誰是,2
24,暫憑樽,2
25,憑樽酒,2
26,樽酒送,2
27,酒送無,2
28,送無憀,2
29,無憀莫,2
30,憀莫損,2
31,莫損愁,2
32,損愁眉,2
33,愁眉與,2
34,眉與細,2
35,與細腰,2
36,細腰人,2
37,腰人世,2
38,人世死,2
39,世死前,2
40,有別春,2
41,別春風,2
42,春風爭,2
43,風爭擬,2
44,爭擬惜,2
45,擬惜長,2
46,惜長條,2
47,長條含,2
48,條含煙,2
49,含煙惹,2
50,煙惹霧,2
51,惹霧每,2
52,霧每依,2
53,每依依,2
54,依依萬,2
55,依萬緒,2
56,萬緒千,2
57,緒千條,2
58,千條拂,2
59,條拂落,2
60,拂落暉,2
61,落暉為,2
62,暉為報,2
63,為報行,2
64,報行人,2
65,行人休,2
66,人休盡,2
67,休盡折,2
68,盡折半,2
69,折半留,2
70,半留相,2
71,留相送,2
72,相送半,2
73,送半迎,2
74,半迎歸,2
75,一帶不,2
76,帶不結,2
77,不結心,2
78,結心兩,2
79,心兩股,2
80,兩股方,2
81,股方安,2
82,方安髻,2
83,安髻慚,2
84,髻慚愧,2
85,慚愧白,2
86,愧白茅,2
87,白茅人,2
88,茅人月,2
89,人月沒,2
90,月沒教,2
91,沒教星,2
92,教星替,2
93,星替剩,2
94,替剩結,2
95,剩結茱,2
96,結茱萸,2
97,茱萸枝,2
98,萸枝多,2
99,枝多擘,2
100,多擘秋,2
101,擘秋蓮,2
102,秋蓮的,2
103,蓮的獨,2
104,的獨自,2
105,獨自有,2
106,自有波,2
107,有波光,2
108,波光彩,2
109,光彩囊,2
110,彩囊盛,2
111,囊盛不,2
112,盛不得,2
113,萼綠華,2
114,無定所,2
115,百尺樓,2
