排名,詞彙,出現次數
1,立春日曉,3
2,春日曉靄,1
3,日曉靄靄,1
4,曉靄靄青,1
5,靄靄青春,1
6,靄青春曙,1
7,青春曙飛,1
8,春曙飛仙,1
9,曙飛仙駕,1
10,飛仙駕五,1
11,仙駕五雲,1
12,駕五雲浮,1
13,五雲浮輪,1
14,雲浮輪初,1
15,浮輪初縹,1
16,輪初縹緲,1
17,初縹緲承,1
18,縹緲承蓋,1
19,緲承蓋下,1
20,承蓋下氤,1
21,蓋下氤氳,1
22,下氤氳立,1
23,氤氳立春,1
24,氳立春日,1
25,春日曉薄,1
26,日曉薄影,1
27,曉薄影隨,1
28,薄影隨風,1
29,影隨風度,1
30,隨風度殊,1
31,風度殊容,1
32,度殊容向,1
33,殊容向日,1
34,容向日分,1
35,向日分羽,1
36,日分羽毛,1
37,分羽毛紛,1
38,羽毛紛共,1
39,毛紛共遠,1
40,紛共遠環,1
41,共遠環佩,1
42,遠環佩杳,1
43,環佩杳猶,1
44,佩杳猶聞,1
45,杳猶聞立,1
46,猶聞立春,1
47,聞立春日,1
48,春日曉靜,1
49,日曉靜合,1
50,曉靜合煙,1
51,靜合煙霞,1
52,合煙霞色,1
53,煙霞色遙,1
54,霞色遙將,1
55,色遙將鸞,1
56,遙將鸞鶴,1
57,將鸞鶴群,1
58,鸞鶴群年,1
59,鶴群年年,1
60,群年年瞻,1
61,年年瞻此,1
62,年瞻此節,1
63,瞻此節應,1
64,此節應許,1
65,節應許從,1
66,應許從元,1
67,許從元君,1
