排名,詞彙,出現次數
1,招靈鑄柱垂英,1
2,靈鑄柱垂英烈,1
3,鑄柱垂英烈手,1
4,柱垂英烈手執,1
5,垂英烈手執干,1
6,英烈手執干戈,1
7,烈手執干戈征,1
8,手執干戈征百,1
9,執干戈征百越,1
10,干戈征百越誕,1
11,戈征百越誕今,1
12,征百越誕今鑄,1
13,百越誕今鑄柱,1
14,越誕今鑄柱庇,1
15,誕今鑄柱庇黔,1
16,今鑄柱庇黔黎,1
17,鑄柱庇黔黎指,1
18,柱庇黔黎指畫,1
19,庇黔黎指畫風,1
20,黔黎指畫風雷,1
21,黎指畫風雷開,1
22,指畫風雷開五,1
23,畫風雷開五溪,1
24,風雷開五溪五,1
25,雷開五溪五溪,1
26,開五溪五溪之,1
27,五溪五溪之險,1
28,溪五溪之險不,1
29,五溪之險不足,1
30,溪之險不足恃,1
31,之險不足恃我,1
32,險不足恃我旅,1
33,不足恃我旅爭,1
34,足恃我旅爭登,1
35,恃我旅爭登若,1
36,我旅爭登若平,1
37,旅爭登若平地,1
38,爭登若平地五,1
39,登若平地五溪,1
40,若平地五溪之,1
41,平地五溪之眾,1
42,地五溪之眾不,1
43,五溪之眾不足,1
44,溪之眾不足平,1
45,之眾不足平我,1
46,眾不足平我師,1
47,不足平我師輕,1
48,足平我師輕躡,1
49,平我師輕躡如,1
50,我師輕躡如春,1
51,師輕躡如春冰,1
52,輕躡如春冰溪,1
53,躡如春冰溪人,1
54,如春冰溪人畏,1
55,春冰溪人畏威,1
56,冰溪人畏威思,1
57,溪人畏威思納,1
58,人畏威思納質,1
59,畏威思納質棄,1
60,威思納質棄汙,1
61,思納質棄汙歸,1
62,納質棄汙歸明,1
63,質棄汙歸明求,1
64,棄汙歸明求立,1
65,汙歸明求立誓,1
66,歸明求立誓誓,1
67,明求立誓誓山,1
68,求立誓誓山川,1
69,立誓誓山川兮,1
70,誓誓山川兮告,1
71,誓山川兮告鬼,1
72,山川兮告鬼神,1
73,川兮告鬼神保,1
74,兮告鬼神保子,1
75,告鬼神保子孫,1
76,鬼神保子孫兮,1
77,神保子孫兮千,1
78,保子孫兮千萬,1
79,子孫兮千萬春,1
80,孫兮千萬春山,1
81,兮千萬春山翠,1
82,千萬春山翠參,1
83,萬春山翠參差,1
84,春山翠參差水,1
85,山翠參差水渺,1
86,翠參差水渺茫,1
87,參差水渺茫秦,1
88,差水渺茫秦人,1
89,水渺茫秦人昔,1
90,渺茫秦人昔在,1
91,茫秦人昔在楚,1
92,秦人昔在楚封,1
93,人昔在楚封疆,1
94,昔在楚封疆當,1
95,在楚封疆當時,1
96,楚封疆當時避,1
97,封疆當時避世,1
98,疆當時避世乾,1
99,當時避世乾坤,1
100,時避世乾坤窄,1
101,避世乾坤窄此,1
102,世乾坤窄此地,1
103,乾坤窄此地安,1
104,坤窄此地安家,1
105,窄此地安家日,1
106,此地安家日月,1
107,地安家日月長,1
108,安家日月長草,1
109,家日月長草色,1
110,日月長草色幾,1
111,月長草色幾經,1
112,長草色幾經壇,1
113,草色幾經壇杏,1
114,色幾經壇杏老,1
115,幾經壇杏老岩,1
116,經壇杏老岩花,1
117,壇杏老岩花猶,1
118,杏老岩花猶帶,1
119,老岩花猶帶澗,1
120,岩花猶帶澗桃,1
121,花猶帶澗桃香,1
122,猶帶澗桃香他,1
123,帶澗桃香他年,1
124,澗桃香他年倘,1
125,桃香他年倘遂,1
126,香他年倘遂平,1
127,他年倘遂平生,1
128,年倘遂平生志,1
129,倘遂平生志來,1
130,遂平生志來著,1
131,平生志來著霞,1
132,生志來著霞衣,1
133,志來著霞衣侍,1
134,來著霞衣侍玉,1
135,著霞衣侍玉皇,1
