排名,詞彙,出現次數
1,玉甃垂鉤興正濃,1
2,甃垂鉤興正濃碧,1
3,垂鉤興正濃碧池,1
4,鉤興正濃碧池春,1
5,興正濃碧池春暖,1
6,正濃碧池春暖水,1
7,濃碧池春暖水溶,1
8,碧池春暖水溶溶,1
9,池春暖水溶溶凡,1
10,春暖水溶溶凡鱗,1
11,暖水溶溶凡鱗不,1
12,水溶溶凡鱗不敢,1
13,溶溶凡鱗不敢吞,1
14,溶凡鱗不敢吞香,1
15,凡鱗不敢吞香餌,1
16,鱗不敢吞香餌知,1
17,不敢吞香餌知是,1
18,敢吞香餌知是君,1
19,吞香餌知是君王,1
20,香餌知是君王合,1
21,餌知是君王合釣,1
22,知是君王合釣龍,1
23,是君王合釣龍曾,1
24,君王合釣龍曾遭,1
25,王合釣龍曾遭甯,1
26,合釣龍曾遭甯戚,1
27,釣龍曾遭甯戚鞭,1
28,龍曾遭甯戚鞭敲,1
29,曾遭甯戚鞭敲角,1
30,遭甯戚鞭敲角又,1
31,甯戚鞭敲角又被,1
32,戚鞭敲角又被田,1
33,鞭敲角又被田單,1
34,敲角又被田單火,1
35,角又被田單火燎,1
36,又被田單火燎身,1
37,被田單火燎身閑,1
38,田單火燎身閑向,1
39,單火燎身閑向斜,1
40,火燎身閑向斜陽,1
41,燎身閑向斜陽嚼,1
42,身閑向斜陽嚼枯,1
43,閑向斜陽嚼枯草,1
44,向斜陽嚼枯草近,1
45,斜陽嚼枯草近來,1
46,陽嚼枯草近來問,1
47,嚼枯草近來問喘,1
48,枯草近來問喘為,1
49,草近來問喘為無,1
50,近來問喘為無人,1
51,來問喘為無人安,1
52,問喘為無人安排,1
53,喘為無人安排唐,1
54,為無人安排唐祚,1
55,無人安排唐祚革,1
56,人安排唐祚革強,1
57,安排唐祚革強吳,1
58,排唐祚革強吳儘,1
59,唐祚革強吳儘是,1
60,祚革強吳儘是先,1
61,革強吳儘是先生,1
62,強吳儘是先生作,1
63,吳儘是先生作計,1
64,儘是先生作計謨,1
65,是先生作計謨一,1
66,先生作計謨一個,1
67,生作計謨一個孩,1
68,作計謨一個孩兒,1
69,計謨一個孩兒拚,1
70,謨一個孩兒拚不,1
71,一個孩兒拚不得,1
72,個孩兒拚不得讓,1
73,孩兒拚不得讓皇,1
74,兒拚不得讓皇百,1
75,拚不得讓皇百口,1
76,不得讓皇百口合,1
77,得讓皇百口合何,1
78,讓皇百口合何如,1
79,皇百口合何如龍,1
80,百口合何如龍舟,1
81,口合何如龍舟輕,1
82,合何如龍舟輕颭,1
83,何如龍舟輕颭錦,1
84,如龍舟輕颭錦帆,1
85,龍舟輕颭錦帆風,1
86,舟輕颭錦帆風正,1
87,輕颭錦帆風正值,1
88,颭錦帆風正值宸,1
89,錦帆風正值宸遊,1
90,帆風正值宸遊望,1
91,風正值宸遊望遠,1
92,正值宸遊望遠空,1
93,值宸遊望遠空回,1
94,宸遊望遠空回首,1
95,遊望遠空回首皖,1
96,望遠空回首皖公,1
97,遠空回首皖公山,1
98,空回首皖公山色,1
99,回首皖公山色翠,1
100,首皖公山色翠影,1
101,皖公山色翠影斜,1
102,公山色翠影斜不,1
103,山色翠影斜不到,1
104,色翠影斜不到壽,1
105,翠影斜不到壽杯,1
106,影斜不到壽杯中,1
