排名,詞彙,出現次數
1,旄頭有,2
2,頭有精,2
3,有精芒,2
4,精芒胡,2
5,芒胡騎,2
6,胡騎獵,2
7,騎獵秋,2
8,獵秋草,2
9,秋草羽,2
10,草羽檄,2
11,羽檄南,2
12,檄南渡,2
13,南渡河,2
14,渡河邊,2
15,河邊庭,2
16,邊庭用,2
17,庭用兵,2
18,用兵早,2
19,兵早漢,2
20,早漢家,2
21,漢家愛,2
22,家愛征,2
23,愛征戰,2
24,征戰宿,2
25,戰宿將,2
26,宿將今,2
27,將今已,2
28,今已老,2
29,已老辛,2
30,老辛苦,2
31,辛苦羽,2
32,苦羽林,2
33,羽林兒,2
34,林兒從,2
35,兒從戎,2
36,從戎榆,2
37,戎榆關,2
38,榆關道,2
39,關道一,2
40,道一身,2
41,一身救,2
42,身救邊,2
43,救邊速,2
44,邊速烽,2
45,速烽火,2
46,薊門前,2
47,門前軍,2
48,斷格鬥,2
49,格鬥塵,2
50,鬥塵沙,2
51,塵沙昏,2
52,沙昏寒,2
53,昏寒日,2
54,寒日鼓,2
55,日鼓聲,2
56,鼓聲急,2
57,聲急單,2
58,急單于,2
59,單于夜,2
60,奔當須,2
61,當須徇,2
62,須徇忠,2
63,徇忠義,2
64,忠義身,2
65,義身死,2
66,身死報,2
67,死報國,2
68,報國恩,2
69,烽火連,1
70,火連薊,1
71,連薊門,1
72,前軍鳥,1
73,軍鳥飛,1
74,鳥飛斷,1
75,飛斷格,1
76,于夜火,1
77,夜火奔,1
78,火奔當,1
79,國恩吉,1
80,恩吉日,1
81,吉日初,1
82,日初齊,1
83,初齊戒,1
84,齊戒靈,1
85,戒靈巫,1
86,靈巫穆,1
87,巫穆上,1
88,穆上皇,1
89,上皇焚,1
90,皇焚香,1
91,焚香布,1
92,香布瑤,1
93,布瑤席,1
94,瑤席鳴,1
95,席鳴佩,1
96,鳴佩奠,1
97,佩奠椒,1
98,奠椒漿,1
99,椒漿緩,1
100,漿緩舞,1
101,緩舞花,1
102,舞花飛,1
103,花飛滿,1
104,飛滿清,1
105,滿清歌,1
106,清歌水,1
107,歌水去,1
108,水去長,1
109,去長回,1
110,長回波,1
111,回波送,1
112,波送神,1
113,送神曲,1
114,神曲雲,1
115,曲雲雨,1
116,雲雨滿,1
117,雨滿瀟,1
118,滿瀟湘,1
119,瀟湘旄,1
120,湘旄頭,1
121,烽火通,1
122,火通薊,1
123,通薊門,1
124,前軍飛,1
125,軍飛鳥,1
126,飛鳥斷,1
127,鳥斷格,1
128,于夜將,1
129,夜將奔,1
130,將奔當,1
