排名,詞彙,出現次數
1,不,52
2,風,33
3,日,33
4,人,31
5,春,31
6,花,27
7,長,27
8,看,26
9,來,25
10,一,24
11,未,24
12,時,23
13,有,22
14,自,22
15,無,22
16,雨,21
17,山,20
18,歸,20
19,得,20
20,閑,19
21,酒,19
22,去,19
23,高,19
24,相,18
25,地,18
26,何,17
27,空,17
28,落,17
29,為,17
30,雲,17
31,寒,17
32,客,17
33,東,16
34,向,16
35,莫,16
36,水,16
37,雪,15
38,見,15
39,欲,15
40,枝,15
41,知,15
42,如,15
43,君,15
44,遠,15
45,中,15
46,南,14
47,行,14
48,愁,14
49,尋,14
50,還,14
51,聲,14
52,似,14
53,到,14
54,白,13
55,路,13
56,香,13
57,是,12
58,過,12
59,老,12
60,多,12
61,生,12
62,唯,12
63,月,12
64,詩,12
65,作,12
66,難,12
67,舊,12
68,草,12
69,門,12
70,年,12
71,斜,11
72,又,11
73,色,11
74,更,11
75,西,11
76,窗,11
77,吟,11
78,衣,11
79,池,10
80,獨,10
81,夜,10
82,醉,10
83,出,10
84,氣,10
85,新,10
86,此,10
87,青,10
88,猶,10
89,休,10
90,重,10
91,滿,10
92,因,10
93,散,10
94,樹,10
95,誰,10
96,僧,10
97,道,10
98,秋,10
99,幾,10
100,應,10
101,溪,9
102,清,9
103,明,9
104,上,9
105,將,9
106,家,9
107,柳,9
108,漸,9
109,從,9
110,我,9
111,須,9
112,遲,9
113,開,9
114,只,9
115,思,9
116,勝,9
117,心,9
118,晚,9
119,在,9
120,處,9
121,立,9
122,下,9
123,暮,8
124,庭,8
125,朝,8
126,閒,8
127,回,8
128,露,8
129,幹,8
130,可,8
131,複,8
132,攜,8
133,芳,8
134,鶯,8
135,斷,8
136,經,8
137,期,8
138,雖,8
139,暖,8
140,愛,8
141,江,8
142,好,8
143,石,8
144,樓,8
145,子,8
146,與,8
147,事,8
148,松,8
149,流,8
150,亦,8
151,霏,8
152,前,8
153,倚,8
154,殘,8
155,共,7
156,影,7
157,繞,7
158,雙,7
159,和,7
160,盡,7
161,天,7
162,少,7
163,已,7
164,正,7
165,分,7
166,紅,7
167,荒,7
168,萬,7
169,留,7
170,疏,7
171,皆,7
172,燈,7
173,林,7
174,金,7
175,書,7
176,入,7
177,薄,6
178,起,6
179,牆,6
180,陰,6
181,悲,6
182,吹,6
183,狂,6
184,身,6
185,古,6
186,微,6
187,樂,6
188,百,6
189,蕭,6
190,他,6
191,全,6
192,忘,6
193,垂,6
194,動,6
195,北,6
196,華,6
197,峰,6
198,物,6
199,驚,6
200,簾,6
201,檻,6
202,千,6
203,竹,6
204,望,6
205,飛,6
206,平,6
207,闌,6
208,玉,6
209,差,5
210,幽,5
211,霜,5
212,光,5
213,眠,5
214,放,5
215,馬,5
216,厭,5
217,鳥,5
218,容,5
219,安,5
220,病,5
221,頻,5
222,意,5
223,啼,5
224,忍,5
225,破,5
226,淡,5
227,亂,5
228,勢,5
229,苔,5
230,後,5
231,惜,5
232,半,5
233,尊,5
234,城,5
235,離,5
236,送,5
237,憐,5
238,塵,5
239,野,5
240,勞,5
241,妨,5
242,親,5
243,歡,5
244,國,5
245,徑,5
246,冷,5
247,坐,5
248,題,5
249,虛,5
250,鐘,5
251,宮,5
252,合,5
253,聽,5
254,興,5
255,笑,5
256,會,5
257,田,5
258,冥,5
259,仙,5
260,深,5
261,燕,5
262,便,5
263,陽,4
264,昨,4
265,及,4
266,闕,4
267,覺,4
268,歌,4
269,寺,4
270,早,4
271,繁,4
272,手,4
273,促,4
274,潛,4
275,頭,4
276,冠,4
277,結,4
278,才,4
279,教,4
280,負,4
281,綠,4
282,拂,4
283,當,4
284,恨,4
285,遊,4
286,堪,4
287,翻,4
288,謝,4
289,滴,4
290,階,4
291,惟,4
292,故,4
293,紛,4
294,蝶,4
295,黏,4
296,披,4
297,別,4
298,非,4
299,舟,4
300,解,4
301,常,4
302,夫,4
303,同,4
304,寄,4
305,藥,4
306,歲,4
307,堂,4
308,夏,4
309,憶,4
310,居,4
311,杉,4
312,吾,4
313,廬,4
314,魚,4
315,官,4
316,憑,4
317,就,4
318,卻,4
319,連,4
320,曉,4
321,隨,4
322,蘭,4
323,暗,4
324,州,4
325,籬,4
326,近,4
327,移,4
328,隔,4
329,蕊,4
330,稀,4
331,戚,4
332,悒,4
333,社,4
334,牛,4
335,屋,4
336,數,4
337,嫋,4
338,粉,4
339,丹,4
340,掩,4
341,初,4
342,密,4
343,漫,4
344,輕,4
345,且,4
346,英,4
347,濃,4
348,腸,4
349,園,4
350,禦,4
351,桃,4
352,王,4
353,羽,3
354,波,3
355,群,3
356,依,3
357,食,3
358,棲,3
359,烏,3
360,莎,3
361,登,3
362,最,3
363,杏,3
364,若,3
365,折,3
366,始,3
367,索,3
368,徒,3
369,終,3
370,方,3
371,者,3
372,勸,3
373,旬,3
374,所,3
375,傷,3
376,枕,3
377,堆,3
378,要,3
379,旋,3
380,都,3
381,今,3
382,怕,3
383,杯,3
384,待,3
385,遙,3
386,五,3
387,觴,3
388,借,3
389,床,3
390,亭,3
391,席,3
392,賓,3
393,訪,3
394,蒙,3
395,火,3
396,即,3
397,勻,3
398,簷,3
399,果,3
400,能,3
401,悠,3
402,葉,3
403,師,3
404,覓,3
405,木,3
406,條,3
407,趨,3
408,素,3
409,忽,3
410,簪,3
411,竟,3
412,蔓,3
413,土,3
414,井,3
415,曙,3
416,喧,3
417,遍,3
418,鳳,3
419,紙,3
420,遮,3
421,味,3
422,壓,3
423,郡,3
424,畫,3
425,梁,3
426,敢,3
427,聞,3
428,緣,3
429,迷,3
430,鶴,3
431,許,3
432,灑,3
433,減,3
434,易,3
435,凝,3
436,集,3
437,遺,3
438,濕,3
439,盤,3
440,神,3
441,禾,3
442,雀,3
443,參,3
444,懶,3
445,爭,3
446,著,3
447,泥,3
448,穿,3
449,傳,3
450,曾,3
451,沈,3
452,澗,3
453,景,3
454,巫,3
455,夢,3
456,晴,3
457,台,3
458,節,3
459,飄,3
460,舞,3
461,細,3
462,漲,3
463,退,3
464,閉,3
465,尚,3
466,靜,3
467,帶,3
468,學,3
469,間,3
470,交,3
471,鬢,3
472,封,3
473,步,3
474,雁,2
475,失,2
476,蒲,2
477,單,2
478,顧,2
479,咽,2
480,速,2
481,世,2
482,岸,2
483,贏,2
484,摶,2
485,息,2
486,蜂,2
487,兼,2
488,淋,2
489,侵,2
490,晨,2
491,歎,2
492,臥,2
493,由,2
494,黃,2
495,房,2
496,甚,2
497,匆,2
498,繡,2
499,鴛,2
500,鴦,2
501,永,2
502,楊,2
503,噪,2
504,鴉,2
505,泉,2
506,收,2
507,髮,2
508,催,2
509,預,2
510,十,2
511,點,2
512,涼,2
513,蓋,2
514,餘,2
515,每,2
516,裏,2
517,蟲,2
518,令,2
519,之,2
520,帆,2
521,鷗,2
522,圖,2
523,喜,2
524,擬,2
525,侯,2
526,面,2
527,寂,2
528,畔,2
529,齋,2
530,急,2
531,召,2
532,游,2
533,三,2
534,映,2
535,霽,2
536,嘗,2
537,曹,2
538,禪,2
539,匪,2
540,音,2
541,信,2
542,轉,2
543,葦,2
544,齊,2
545,衰,2
546,乖,2
547,慵,2
548,首,2
549,但,2
550,壑,2
551,引,2
552,渾,2
553,睡,2
554,岩,2
555,外,2
556,壁,2
557,岑,2
558,蟬,2
559,六,2
560,釣,2
561,碌,2
562,求,2
563,遇,2
564,駕,2
565,染,2
566,茶,2
567,扶,2
568,公,2
569,簇,2
570,甘,2
571,盈,2
572,筐,2
573,名,2
574,郎,2
575,況,2
576,低,2
577,湘,2
578,困,2
579,瘦,2
580,棱,2
581,爐,2
582,霄,2
583,凍,2
584,熒,2
585,兵,2
586,銷,2
587,桑,2
588,蛙,2
589,識,2
590,熙,2
591,鼓,2
592,錢,2
593,閣,2
594,笛,2
595,娟,2
596,迤,2
597,迥,2
598,翠,2
599,裝,2
600,曲,2
601,嫌,2
602,臨,2
603,傍,2
604,煙,2
605,巢,2
606,至,2
607,真,2
608,羊,2
609,壇,2
610,朽,2
611,跡,2
612,沉,2
613,饑,2
614,泱,2
615,醒,2
616,臘,2
617,內,2
618,小,2
619,計,2
620,豔,2
621,翅,2
622,雜,2
623,珠,2
624,魂,2
625,把,2
626,招,2
627,阻,2
628,律,2
629,賞,2
630,梨,2
631,瓊,2
632,比,2
633,案,2
634,眼,2
635,憂,2
636,端,2
637,免,2
638,照,2
639,霞,2
640,架,2
641,背,2
642,箋,2
643,蠻,2
644,對,2
645,墀,2
646,馨,2
647,佳,2
648,伊,2
649,館,2
650,迢,2
651,情,2
652,通,2
653,淨,2
654,昔,2
655,象,2
656,固,2
657,麥,2
658,榭,2
659,算,2
660,宴,2
661,絕,2
662,藏,2
663,沒,2
664,太,2
665,守,2
666,關,2
667,報,2
668,翩,2
669,偶,2
