排名,詞彙,出現次數
1,楊柳送行,1
2,柳送行人,1
3,送行人青,1
4,行人青青,1
5,人青青西,1
6,青青西入,1
7,青西入秦,1
8,西入秦秦,1
9,入秦秦家,1
10,秦秦家采,1
11,秦家采桑,1
12,家采桑女,1
13,采桑女樓,1
14,桑女樓上,1
15,女樓上不,1
16,樓上不勝,1
17,上不勝春,1
18,不勝春盈,1
19,勝春盈盈,1
20,春盈盈灞,1
21,盈盈灞水,1
22,盈灞水曲,1
23,灞水曲步,1
24,水曲步步,1
25,曲步步春,1
26,步步春芳,1
27,步春芳綠,1
28,春芳綠紅,1
29,芳綠紅臉,1
30,綠紅臉耀,1
31,紅臉耀明,1
32,臉耀明珠,1
33,耀明珠絳,1
34,明珠絳唇,1
35,珠絳唇含,1
36,絳唇含白,1
37,唇含白玉,1
38,含白玉回,1
39,白玉回首,1
40,玉回首渭,1
41,回首渭橋,1
42,首渭橋東,1
43,渭橋東遙,1
44,橋東遙憐,1
45,東遙憐樹,1
46,遙憐樹色,1
47,憐樹色同,1
48,樹色同青,1
49,色同青絲,1
50,同青絲嬌,1
51,青絲嬌落,1
52,絲嬌落日,1
53,嬌落日緗,1
54,落日緗綺,1
55,日緗綺弄,1
56,緗綺弄春,1
57,綺弄春風,1
58,弄春風攜,1
59,春風攜籠,1
60,風攜籠長,1
61,攜籠長歎,1
62,籠長歎息,1
63,長歎息逶,1
64,歎息逶迤,1
65,息逶迤戀,1
66,逶迤戀春,1
67,迤戀春色,1
68,戀春色看,1
69,春色看花,1
70,色看花若,1
71,看花若有,1
72,花若有情,1
73,若有情倚,1
74,有情倚樹,1
75,情倚樹疑,1
76,倚樹疑無,1
77,樹疑無力,1
78,疑無力薄,1
79,無力薄暮,1
80,力薄暮思,1
81,薄暮思悠,1
82,暮思悠悠,1
83,思悠悠使,1
84,悠悠使君,1
85,悠使君南,1
86,使君南陌,1
87,君南陌頭,1
88,南陌頭相,1
89,陌頭相逢,1
90,頭相逢不,1
91,相逢不相,1
92,逢不相識,1
93,不相識歸,1
94,相識歸去,1
95,識歸去夢,1
96,歸去夢青,1
97,去夢青樓,1
