排名,詞彙,出現次數
1,綠車旋,1
2,車旋楚,1
3,旋楚服,1
4,楚服丹,1
5,服丹蹕,1
6,丹蹕佇,1
7,蹕佇秦,1
8,佇秦川,1
9,秦川珠,1
10,川珠皋,1
11,珠皋轉,1
12,皋轉歸,1
13,轉歸騎,1
14,歸騎金,1
15,騎金岸,1
16,金岸引,1
17,岸引行,1
18,引行旃,1
19,行旃一,1
20,旃一朝,1
21,一朝限,1
22,朝限原,1
23,限原隰,1
24,原隰千,1
25,隰千里,1
26,千里間,1
27,里間風,1
28,間風煙,1
29,風煙鶯,1
30,煙鶯喧,1
31,鶯喧上,1
32,喧上林,1
33,上林穀,1
34,林穀鳧,1
35,穀鳧響,1
36,鳧響禦,1
37,響禦溝,1
38,禦溝泉,1
39,溝泉斷,1
40,泉斷雲,1
41,斷雲移,1
42,雲移魯,1
43,移魯蓋,1
44,魯蓋離,1
45,蓋離歌,1
46,離歌動,1
47,歌動舜,1
48,動舜弦,1
49,舜弦別,1
50,弦別念,1
51,別念凝,1
52,念凝神,1
53,凝神扆,1
54,神扆崇,1
55,扆崇恩,1
56,崇恩洽,1
57,恩洽玳,1
58,洽玳筵,1
59,玳筵顧,1
60,筵顧惟,1
61,顧惟慚,1
62,惟慚叩,1
63,慚叩寂,1
64,叩寂徒,1
65,寂徒自,1
66,徒自仰,1
67,自仰鈞,1
68,仰鈞天,1
69,鈞天飛,1
70,天飛蓋,1
71,飛蓋回,1
72,蓋回蘭,1
73,回蘭阪,1
74,蘭阪宸,1
75,阪宸襟,1
76,宸襟佇,1
77,襟佇柏,1
78,佇柏梁,1
79,柏梁別,1
80,梁別館,1
81,別館分,1
82,館分涇,1
83,分涇渭,1
84,涇渭歸,1
85,渭歸路,1
86,歸路指,1
87,路指衡,1
88,指衡漳,1
89,衡漳關,1
90,漳關山,1
91,關山通,1
92,山通曙,1
93,通曙色,1
94,曙色林,1
95,色林籞,1
96,林籞遍,1
97,籞遍春,1
98,遍春光,1
99,春光帝,1
100,光帝念,1
101,帝念紆,1
102,念紆千,1
103,紆千里,1
104,千里詞,1
105,里詞波,1
106,詞波照,1
107,波照五,1
108,照五潢,1
