排名,詞彙,出現次數
1,方如行義圓如用,1
2,如行義圓如用智,1
3,行義圓如用智動,1
4,義圓如用智動如,1
5,圓如用智動如逞,1
6,如用智動如逞才,1
7,用智動如逞才靜,1
8,智動如逞才靜如,1
9,動如逞才靜如遂,1
10,如逞才靜如遂意,1
11,逞才靜如遂意天,1
12,才靜如遂意天覆,1
13,靜如遂意天覆吾,1
14,如遂意天覆吾地,1
15,遂意天覆吾地載,1
16,意天覆吾地載吾,1
17,天覆吾地載吾天,1
18,覆吾地載吾天地,1
19,吾地載吾天地生,1
20,地載吾天地生吾,1
21,載吾天地生吾有,1
22,吾天地生吾有意,1
23,天地生吾有意無,1
24,地生吾有意無不,1
25,生吾有意無不然,1
26,吾有意無不然絕,1
27,有意無不然絕粒,1
28,意無不然絕粒升,1
29,無不然絕粒升天,1
30,不然絕粒升天衢,1
31,然絕粒升天衢不,1
32,絕粒升天衢不然,1
33,粒升天衢不然鳴,1
34,升天衢不然鳴珂,1
35,天衢不然鳴珂遊,1
36,衢不然鳴珂遊帝,1
37,不然鳴珂遊帝都,1
38,然鳴珂遊帝都焉,1
39,鳴珂遊帝都焉能,1
40,珂遊帝都焉能不,1
41,遊帝都焉能不貴,1
42,帝都焉能不貴複,1
43,都焉能不貴複不,1
44,焉能不貴複不去,1
45,能不貴複不去空,1
46,不貴複不去空作,1
47,貴複不去空作昂,1
48,複不去空作昂藏,1
49,不去空作昂藏一,1
50,去空作昂藏一丈,1
51,空作昂藏一丈夫,1
52,作昂藏一丈夫一,1
53,昂藏一丈夫一丈,1
54,藏一丈夫一丈夫,1
55,一丈夫一丈夫兮,1
56,丈夫一丈夫兮一,1
57,夫一丈夫兮一丈,1
58,一丈夫兮一丈夫,1
59,丈夫兮一丈夫千,1
60,夫兮一丈夫千生,1
61,兮一丈夫千生氣,1
62,一丈夫千生氣志,1
63,丈夫千生氣志是,1
64,夫千生氣志是良,1
65,千生氣志是良圖,1
66,生氣志是良圖請,1
67,氣志是良圖請君,1
68,志是良圖請君看,1
69,是良圖請君看取,1
70,良圖請君看取百,1
71,圖請君看取百年,1
72,請君看取百年事,1
73,君看取百年事業,1
74,看取百年事業就,1
75,取百年事業就扁,1
76,百年事業就扁舟,1
77,年事業就扁舟泛,1
78,事業就扁舟泛五,1
79,業就扁舟泛五湖,1
80,就扁舟泛五湖風,1
81,扁舟泛五湖風俗,1
82,舟泛五湖風俗時,1
83,泛五湖風俗時有,1
84,五湖風俗時有變,1
85,湖風俗時有變中,1
86,風俗時有變中和,1
87,俗時有變中和節,1
88,時有變中和節惟,1
89,有變中和節惟新,1
90,變中和節惟新軒,1
91,中和節惟新軒車,1
92,和節惟新軒車雙,1
93,節惟新軒車雙闕,1
94,惟新軒車雙闕下,1
95,新軒車雙闕下宴,1
96,軒車雙闕下宴會,1
97,車雙闕下宴會曲,1
98,雙闕下宴會曲江,1
99,闕下宴會曲江濱,1
100,下宴會曲江濱金,1
101,宴會曲江濱金石,1
102,會曲江濱金石何,1
103,曲江濱金石何鏗,1
104,江濱金石何鏗鏘,1
105,濱金石何鏗鏘簪,1
106,金石何鏗鏘簪纓,1
107,石何鏗鏘簪纓亦,1
108,何鏗鏘簪纓亦紛,1
109,鏗鏘簪纓亦紛綸,1
110,鏘簪纓亦紛綸皇,1
111,簪纓亦紛綸皇恩,1
112,纓亦紛綸皇恩降,1
113,亦紛綸皇恩降自,1
114,紛綸皇恩降自天,1
115,綸皇恩降自天品,1
116,皇恩降自天品物,1
117,恩降自天品物感,1
118,降自天品物感知,1
119,自天品物感知春,1
120,天品物感知春慈,1
121,品物感知春慈恩,1
122,物感知春慈恩匝,1
123,感知春慈恩匝寰,1
124,知春慈恩匝寰瀛,1
125,春慈恩匝寰瀛歌,1
126,慈恩匝寰瀛歌詠,1
127,恩匝寰瀛歌詠同,1
128,匝寰瀛歌詠同君,1
129,寰瀛歌詠同君臣,1
130,瀛歌詠同君臣大,1
131,歌詠同君臣大唐,1
132,詠同君臣大唐造,1
133,同君臣大唐造昌,1
134,君臣大唐造昌運,1
135,臣大唐造昌運品,1
136,大唐造昌運品物,1
137,唐造昌運品物荷,1
138,造昌運品物荷時,1
139,昌運品物荷時成,1
140,運品物荷時成乘,1
141,品物荷時成乘秋,1
142,物荷時成乘秋逢,1
143,荷時成乘秋逢令,1
144,時成乘秋逢令節,1
145,成乘秋逢令節錫,1
146,乘秋逢令節錫宴,1
147,秋逢令節錫宴觀,1
148,逢令節錫宴觀群,1
149,令節錫宴觀群情,1
150,節錫宴觀群情俯,1
151,錫宴觀群情俯臨,1
152,宴觀群情俯臨秦,1
153,觀群情俯臨秦山,1
154,群情俯臨秦山川,1
155,情俯臨秦山川高,1
156,俯臨秦山川高會,1
157,臨秦山川高會漢,1
158,秦山川高會漢公,1
159,山川高會漢公卿,1
160,川高會漢公卿未,1
161,高會漢公卿未追,1
162,會漢公卿未追赤,1
163,漢公卿未追赤松,1
164,公卿未追赤松子,1
165,卿未追赤松子且,1
166,未追赤松子且泛,1
167,追赤松子且泛黃,1
168,赤松子且泛黃菊,1
169,松子且泛黃菊英,1
170,子且泛黃菊英賡,1
171,且泛黃菊英賡歌,1
172,泛黃菊英賡歌聖,1
173,黃菊英賡歌聖人,1
174,菊英賡歌聖人作,1
175,英賡歌聖人作海,1
176,賡歌聖人作海內,1
177,歌聖人作海內同,1
178,聖人作海內同休,1
179,人作海內同休明,1
180,作海內同休明青,1
181,海內同休明青青,1
182,內同休明青青東,1
183,同休明青青東門,1
184,休明青青東門柳,1
185,明青青東門柳歲,1
186,青青東門柳歲晏,1
187,青東門柳歲晏複,1
188,東門柳歲晏複憔,1
189,門柳歲晏複憔悴,1
190,柳歲晏複憔悴良,1
191,歲晏複憔悴良弓,1
192,晏複憔悴良弓摧,1
