排名,詞彙,出現次數
1,混沌未,1
2,沌未分,1
3,未分我,1
4,分我獨,1
5,我獨存,1
6,獨存包,1
7,存包含,1
8,包含四,1
9,含四象,1
10,四象立,1
11,象立乾,1
12,立乾坤,1
13,乾坤還,1
14,坤還丹,1
15,還丹須,1
16,丹須向,1
17,須向此,1
18,向此中,1
19,此中覓,1
20,中覓得,1
21,覓得此,1
22,得此方,1
23,此方為,1
24,方為至,1
25,為至妙,1
26,至妙門,1
27,妙門煮,1
28,門煮石,1
29,煮石烹,1
30,石烹金,1
31,烹金煉,1
32,金煉太,1
33,煉太元,1
34,太元神,1
35,元神仙,1
36,神仙不,1
37,仙不肯,1
38,不肯等,1
39,肯等閒,1
40,等閒傳,1
41,閒傳人,1
42,傳人能,1
43,人能認,1
44,能認得,1
45,認得其,1
46,得其中,1
47,其中理,1
48,中理奪,1
49,理奪盡,1
50,奪盡乾,1
51,盡乾坤,1
52,乾坤造,1
53,坤造化,1
54,造化權,1
55,化權百,1
56,權百首,1
57,百首荒,1
58,首荒辭,1
59,荒辭義,1
60,辭義亦,1
61,義亦深,1
62,亦深因,1
63,深因傳,1
64,因傳同,1
65,傳同道,1
66,同道決,1
67,道決疑,1
68,決疑心,1
69,疑心華,1
70,心華池,1
71,華池本,1
72,池本是,1
73,本是真,1
74,是真神,1
75,真神水,1
76,神水神,1
77,水神水,1
78,神水元,1
79,水元來,1
80,元來是,1
81,來是白,1
82,是白金,1
83,白金取,1
84,金取將,1
85,取將白,1
86,將白金,1
87,白金為,1
88,金為鼎,1
89,為鼎器,1
90,鼎器鼎,1
91,器鼎成,1
92,鼎成潛,1
93,成潛伏,1
94,潛伏汞,1
95,伏汞來,1
96,汞來侵,1
97,來侵汞,1
98,侵汞入,1
99,汞入金,1
100,入金鼎,1
101,金鼎終,1
102,鼎終年,1
103,終年盡,1
104,年盡產,1
105,盡產出,1
106,產出靈,1
107,出靈砂,1
108,靈砂似,1
109,砂似太,1
110,似太陰,1
