排名,詞彙,出現次數
1,秋日登越,2
2,日登越越,1
3,登越越王,1
4,越越王曾,1
5,越王曾牧,1
6,王曾牧劍,1
7,曾牧劍南,1
8,牧劍南州,1
9,劍南州因,1
10,南州因向,1
11,州因向城,1
12,因向城隅,1
13,向城隅建,1
14,城隅建此,1
15,隅建此樓,1
16,建此樓橫,1
17,此樓橫玉,1
18,樓橫玉遠,1
19,橫玉遠開,1
20,玉遠開千,1
21,遠開千嶠,1
22,開千嶠雪,1
23,千嶠雪暗,1
24,嶠雪暗雷,1
25,雪暗雷下,1
26,暗雷下聽,1
27,雷下聽一,1
28,下聽一江,1
29,聽一江流,1
30,一江流畫,1
31,江流畫簷,1
32,流畫簷先,1
33,畫簷先弄,1
34,簷先弄朝,1
35,先弄朝陽,1
36,弄朝陽色,1
37,朝陽色朱,1
38,陽色朱檻,1
39,色朱檻低,1
40,朱檻低臨,1
41,檻低臨眾,1
42,低臨眾木,1
43,臨眾木秋,1
44,眾木秋秋,1
45,木秋秋日,1
46,秋秋日登,1
47,日登越徒,1
48,登越徒學,1
49,越徒學仲,1
50,徒學仲宣,1
51,學仲宣聊,1
52,仲宣聊四,1
53,宣聊四望,1
54,聊四望且,1
55,四望且將,1
56,望且將詞,1
57,且將詞賦,1
58,將詞賦好,1
59,詞賦好依,1
60,賦好依劉,1
