排名,詞彙,出現次數
1,春台晴望,3
2,賦得竹箭,3
3,觀慶雲圖,3
4,贈毛仙翁,2
5,台晴望曲,1
6,晴望曲台,1
7,望曲台送,1
8,曲台送春,1
9,台送春目,1
10,送春目景,1
11,春目景物,1
12,目景物麗,1
13,景物麗新,1
14,物麗新晴,1
15,麗新晴靄,1
16,新晴靄靄,1
17,晴靄靄煙,1
18,靄靄煙收,1
19,靄煙收翠,1
20,煙收翠忻,1
21,收翠忻忻,1
22,翠忻忻木,1
23,忻忻木向,1
24,忻木向榮,1
25,木向榮春,1
26,向榮春台,1
27,榮春台晴,1
28,台晴望靜,1
29,晴望靜看,1
30,望靜看遲,1
31,靜看遲日,1
32,看遲日上,1
33,遲日上閑,1
34,日上閑愛,1
35,上閑愛野,1
36,閑愛野雲,1
37,愛野雲平,1
38,野雲平風,1
39,雲平風慢,1
40,平風慢遊,1
41,風慢遊絲,1
42,慢遊絲轉,1
43,遊絲轉天,1
44,絲轉天開,1
45,轉天開遠,1
46,天開遠水,1
47,開遠水明,1
48,遠水明春,1
49,水明春台,1
50,明春台晴,1
51,台晴望登,1
52,晴望登高,1
53,望登高塵,1
54,登高塵慮,1
55,高塵慮息,1
56,塵慮息觀,1
57,慮息觀徼,1
58,息觀徼道,1
59,觀徼道心,1
60,徼道心清,1
61,道心清更,1
62,心清更有,1
63,清更有遷,1
64,更有遷喬,1
65,有遷喬意,1
66,遷喬意翩,1
67,喬意翩翩,1
68,意翩翩出,1
69,翩翩出穀,1
70,翩出穀鶯,1
71,出穀鶯玉,1
72,穀鶯玉壺,1
73,鶯玉壺冰,1
74,玉壺冰琢,1
75,壺冰琢玉,1
76,冰琢玉性,1
77,琢玉性惟,1
78,玉性惟堅,1
79,性惟堅成,1
80,惟堅成壺,1
81,堅成壺體,1
82,成壺體更,1
83,壺體更圓,1
84,體更圓虛,1
85,更圓虛心,1
86,圓虛心含,1
87,虛心含眾,1
88,心含眾象,1
89,含眾象應,1
90,眾象應物,1
91,象應物受,1
92,應物受寒,1
93,物受寒泉,1
94,受寒泉玉,1
95,寒泉玉壺,1
96,泉玉壺冰,1
97,玉壺冰溫,1
98,壺冰溫潤,1
99,冰溫潤資,1
100,溫潤資天,1
101,潤資天質,1
102,資天質清,1
103,天質清貞,1
104,質清貞稟,1
105,清貞稟自,1
106,貞稟自然,1
107,稟自然日,1
108,自然日融,1
109,然日融光,1
110,日融光乍,1
111,融光乍散,1
112,光乍散雪,1
113,乍散雪照,1
114,散雪照色,1
115,雪照色逾,1
116,照色逾鮮,1
117,色逾鮮玉,1
118,逾鮮玉壺,1
119,鮮玉壺冰,1
120,玉壺冰至,1
121,壺冰至鑒,1
122,冰至鑒功,1
123,至鑒功寧,1
124,鑒功寧宰,1
125,功寧宰無,1
126,寧宰無私,1
127,宰無私照,1
128,無私照豈,1
129,私照豈偏,1
130,照豈偏明,1
131,豈偏明將,1
132,偏明將水,1
133,明將水鏡,1
134,將水鏡對,1
135,水鏡對白,1
136,鏡對白與,1
137,對白與粉,1
138,白與粉闈,1
139,與粉闈連,1
140,粉闈連玉,1
141,闈連玉壺,1
142,連玉壺冰,1
143,玉壺冰拂,1
144,壺冰拂拭,1
145,冰拂拭終,1
146,拂拭終為,1
147,拭終為美,1
148,終為美提,1
149,為美提攜,1
150,美提攜佇,1
151,提攜佇見,1
152,攜佇見傳,1
153,佇見傳勿,1
154,見傳勿令,1
155,傳勿令毫,1
156,勿令毫髮,1
157,令毫髮累,1
158,毫髮累遺,1
159,髮累遺恨,1
160,累遺恨鮑,1
161,遺恨鮑公,1
162,恨鮑公篇,1
163,鮑公篇賦,1
164,公篇賦得,1
165,篇賦得竹,1
166,得竹箭常,1
167,竹箭常愛,1
168,箭常愛淩,1
169,常愛淩寒,1
170,愛淩寒竹,1
171,淩寒竹堅,1
172,寒竹堅貞,1
173,竹堅貞可,1
174,堅貞可喻,1
175,貞可喻人,1
176,可喻人能,1
177,喻人能將,1
178,人能將先,1
179,能將先進,1
180,將先進禮,1
181,先進禮義,1
182,進禮義與,1
183,禮義與後,1
184,義與後凋,1
185,與後凋鄰,1
186,後凋鄰賦,1
187,凋鄰賦得,1
188,鄰賦得竹,1
189,得竹箭冉,1
190,竹箭冉冉,1
191,箭冉冉猶,1
192,冉冉猶全,1
193,冉猶全節,1
194,猶全節青,1
195,全節青青,1
196,節青青尚,1
197,青青尚有,1
198,青尚有筠,1
199,尚有筠陶,1
200,有筠陶鈞,1
201,筠陶鈞二,1
202,陶鈞二儀,1
203,鈞二儀內,1
204,二儀內柯,1
205,儀內柯葉,1
206,內柯葉四,1
207,柯葉四時,1
208,葉四時春,1
209,四時春賦,1
210,時春賦得,1
211,春賦得竹,1
212,得竹箭待,1
213,竹箭待鳳,1
214,箭待鳳花,1
215,待鳳花仍,1
216,鳳花仍吐,1
217,花仍吐停,1
218,仍吐停霜,1
219,吐停霜色,1
220,停霜色更,1
221,霜色更新,1
222,色更新方,1
223,更新方持,1
224,新方持不,1
225,方持不易,1
226,持不易操,1
227,不易操對,1
228,易操對此,1
229,操對此欲,1
230,對此欲觀,1
231,此欲觀身,1
232,欲觀身觀,1
233,觀身觀慶,1
234,身觀慶雲,1
235,慶雲圖五,1
236,雲圖五雲,1
237,圖五雲從,1
238,五雲從表,1
239,雲從表瑞,1
240,從表瑞藻,1
241,表瑞藻繪,1
242,瑞藻繪宛,1
243,藻繪宛成,1
244,繪宛成圖,1
245,宛成圖柯,1
246,成圖柯葉,1
247,圖柯葉何,1
248,柯葉何時,1
249,葉何時改,1
250,何時改丹,1
251,時改丹青,1
252,改丹青此,1
253,丹青此不,1
254,青此不渝,1
255,此不渝觀,1
256,不渝觀慶,1
257,渝觀慶雲,1
258,慶雲圖非,1
259,雲圖非煙,1
260,圖非煙色,1
261,非煙色尚,1
262,煙色尚麗,1
263,色尚麗似,1
264,尚麗似蓋,1
265,麗似蓋狀,1
266,似蓋狀應,1
267,蓋狀應殊,1
268,狀應殊渥,1
269,應殊渥彩,1
270,殊渥彩看,1
271,渥彩看猶,1
272,彩看猶在,1
