排名,詞彙,出現次數
1,既,3
2,永,3
3,帝,2
4,時,2
5,而,2
6,上,2
7,祀,2
8,用,2
9,宮,2
10,薦,2
11,後,2
12,茲,2
13,盛,2
14,禮,2
15,和,2
16,胙,2
17,音,2
18,三,2
19,散,2
20,維,2
21,藩,2
22,無,2
23,惟,1
24,若,1
25,去,1
26,仙,1
27,商,1
28,舞,1
29,樂,1
30,備,1
31,懸,1
32,白,1
33,璧,1
34,加,1
35,玄,1
36,纁,1
37,告,1
38,虔,1
39,子,1
40,孫,1
41,拜,1
42,承,1
43,吉,1
44,蠲,1
45,體,1
46,協,1
47,粢,1
48,方,1
49,周,1
50,假,1
51,廟,1
52,魯,1
53,純,1
54,牲,1
55,捧,1
56,徹,1
57,祗,1
58,敬,1
59,擊,1
60,拊,1
61,鳴,1
62,受,1
63,厘,1
64,歸,1
65,戒,1
66,平,1
67,八,1
68,具,1
69,舉,1
70,壽,1
71,盥,1
72,潔,1
73,宗,1
74,彝,1
75,瑟,1
76,彼,1
77,圭,1
78,瓚,1
79,蘭,1
80,肴,1
81,重,1
82,錯,1
83,椒,1
84,醑,1
85,飄,1
86,降,1
87,城,1
88,為,1
89,翰,1
90,秩,1
91,有,1
92,序,1
93,同,1
94,九,1
95,儀,1
96,不,1
97,忒,1
98,揖,1
99,將,1
100,終,1
101,孝,1
102,感,1
103,相,1
104,辟,1
105,公,1
106,四,1
107,之,1
108,典,1
109,窮,1
110,奠,1
111,獻,1
112,已,1
113,事,1
114,昏,1
115,昕,1
116,載,1
117,分,1
118,風,1
119,搖,1
120,雨,1
121,靈,1
122,衛,1
123,絪,1
124,縕,1
125,龍,1
126,駕,1
127,服,1
128,騰,1
129,五,1
130,雲,1
131,泮,1
132,複,1
133,閟,1
134,寂,1
135,寞,1
136,聞,1
