排名,詞彙,出現次數
1,旭日煙雲殿朝,1
2,日煙雲殿朝陽,1
3,煙雲殿朝陽燭,1
4,雲殿朝陽燭帝,1
5,殿朝陽燭帝居,1
6,朝陽燭帝居斷,1
7,陽燭帝居斷霞,1
8,燭帝居斷霞生,1
9,帝居斷霞生峻,1
10,居斷霞生峻宇,1
11,斷霞生峻宇通,1
12,霞生峻宇通閣,1
13,生峻宇通閣麗,1
14,峻宇通閣麗晴,1
15,宇通閣麗晴虛,1
16,通閣麗晴虛流,1
17,閣麗晴虛流彩,1
18,麗晴虛流彩連,1
19,晴虛流彩連朱,1
20,虛流彩連朱檻,1
21,流彩連朱檻騰,1
22,彩連朱檻騰輝,1
23,連朱檻騰輝照,1
24,朱檻騰輝照綺,1
25,檻騰輝照綺疏,1
26,騰輝照綺疏曈,1
27,輝照綺疏曈曨,1
28,照綺疏曈曨晨,1
29,綺疏曈曨晨景,1
30,疏曈曨晨景裏,1
31,曈曨晨景裏明,1
32,曨晨景裏明滅,1
33,晨景裏明滅曉,1
34,景裏明滅曉光,1
35,裏明滅曉光初,1
36,明滅曉光初戶,1
37,滅曉光初戶牖,1
38,曉光初戶牖仙,1
39,光初戶牖仙山,1
40,初戶牖仙山近,1
41,戶牖仙山近軒,1
42,牖仙山近軒楹,1
43,仙山近軒楹鳳,1
44,山近軒楹鳳翼,1
45,近軒楹鳳翼舒,1
46,軒楹鳳翼舒還,1
47,楹鳳翼舒還如,1
48,鳳翼舒還如王,1
49,翼舒還如王母,1
50,舒還如王母過,1
51,還如王母過遙,1
52,如王母過遙度,1
53,王母過遙度五,1
54,母過遙度五雲,1
55,過遙度五雲車,1
