排名,詞彙,出現次數
1,西陵望何及弦管,1
2,陵望何及弦管徒,1
3,望何及弦管徒在,1
4,何及弦管徒在茲,1
5,及弦管徒在茲誰,1
6,弦管徒在茲誰言,1
7,管徒在茲誰言死,1
8,徒在茲誰言死者,1
9,在茲誰言死者樂,1
10,茲誰言死者樂但,1
11,誰言死者樂但令,1
12,言死者樂但令生,1
13,死者樂但令生者,1
14,者樂但令生者悲,1
15,樂但令生者悲丈,1
16,但令生者悲丈夫,1
17,令生者悲丈夫有,1
18,生者悲丈夫有餘,1
19,者悲丈夫有餘志,1
20,悲丈夫有餘志兒,1
21,丈夫有餘志兒女,1
22,夫有餘志兒女焉,1
23,有餘志兒女焉足,1
24,餘志兒女焉足私,1
25,志兒女焉足私擾,1
26,兒女焉足私擾擾,1
27,女焉足私擾擾多,1
28,焉足私擾擾多俗,1
29,足私擾擾多俗情,1
30,私擾擾多俗情投,1
31,擾擾多俗情投跡,1
32,擾多俗情投跡互,1
33,多俗情投跡互相,1
34,俗情投跡互相師,1
35,情投跡互相師直,1
36,投跡互相師直節,1
37,跡互相師直節豈,1
38,互相師直節豈感,1
39,相師直節豈感激,1
40,師直節豈感激荒,1
41,直節豈感激荒淫,1
42,節豈感激荒淫乃,1
43,豈感激荒淫乃淒,1
44,感激荒淫乃淒其,1
45,激荒淫乃淒其潁,1
46,荒淫乃淒其潁水,1
47,淫乃淒其潁水有,1
48,乃淒其潁水有許,1
49,淒其潁水有許由,1
50,其潁水有許由西,1
51,潁水有許由西山,1
52,水有許由西山有,1
53,有許由西山有伯,1
54,許由西山有伯夷,1
55,由西山有伯夷頌,1
56,西山有伯夷頌聲,1
57,山有伯夷頌聲何,1
58,有伯夷頌聲何寥,1
59,伯夷頌聲何寥寥,1
60,夷頌聲何寥寥唯,1
61,頌聲何寥寥唯聞,1
62,聲何寥寥唯聞銅,1
63,何寥寥唯聞銅雀,1
64,寥寥唯聞銅雀詩,1
65,寥唯聞銅雀詩君,1
66,唯聞銅雀詩君舉,1
67,聞銅雀詩君舉良,1
68,銅雀詩君舉良未,1
69,雀詩君舉良未易,1
70,詩君舉良未易永,1
71,君舉良未易永為,1
72,舉良未易永為後,1
73,良未易永為後代,1
74,未易永為後代嗤,1
75,易永為後代嗤彩,1
76,永為後代嗤彩雲,1
77,為後代嗤彩雲驚,1
78,後代嗤彩雲驚歲,1
