排名,詞彙,出現次數
1,流水何山分浮,1
2,水何山分浮雲,1
3,何山分浮雲空,1
4,山分浮雲空中,1
5,分浮雲空中遇,1
6,浮雲空中遇我,1
7,雲空中遇我生,1
8,空中遇我生無,1
9,中遇我生無根,1
10,遇我生無根株,1
11,我生無根株聚,1
12,生無根株聚散,1
13,無根株聚散亦,1
14,根株聚散亦難,1
15,株聚散亦難固,1
16,聚散亦難固憶,1
17,散亦難固憶昨,1
18,亦難固憶昨鬥,1
19,難固憶昨鬥龍,1
20,固憶昨鬥龍春,1
21,憶昨鬥龍春岩,1
22,昨鬥龍春岩棲,1
23,鬥龍春岩棲侶,1
24,龍春岩棲侶高,1
25,春岩棲侶高步,1
26,岩棲侶高步清,1
27,棲侶高步清懷,1
28,侶高步清懷去,1
29,高步清懷去羈,1
30,步清懷去羈束,1
31,清懷去羈束幽,1
32,懷去羈束幽境,1
33,去羈束幽境無,1
34,羈束幽境無滓,1
35,束幽境無滓汙,1
36,幽境無滓汙日,1
37,境無滓汙日落,1
38,無滓汙日落九,1
39,滓汙日落九峰,1
40,汙日落九峰明,1
41,日落九峰明煙,1
42,落九峰明煙生,1
43,九峰明煙生萬,1
44,峰明煙生萬華,1
45,明煙生萬華暮,1
46,煙生萬華暮茲,1
47,生萬華暮茲歡,1
48,萬華暮茲歡未,1
49,華暮茲歡未雲,1
50,暮茲歡未雲隔,1
51,茲歡未雲隔前,1
52,歡未雲隔前笑,1
53,未雲隔前笑倏,1
54,雲隔前笑倏已,1
55,隔前笑倏已故,1
56,前笑倏已故四,1
57,笑倏已故四時,1
58,倏已故四時難,1
59,已故四時難信,1
60,故四時難信留,1
61,四時難信留百,1
62,時難信留百草,1
63,難信留百草換,1
64,信留百草換霜,1
65,留百草換霜露,1
66,百草換霜露離,1
67,草換霜露離襟,1
68,換霜露離襟一,1
69,霜露離襟一成,1
70,露離襟一成解,1
71,離襟一成解悵,1
72,襟一成解悵抱,1
73,一成解悵抱將,1
74,成解悵抱將何,1
75,解悵抱將何諭,1
76,悵抱將何諭驚,1
77,抱將何諭驚泉,1
78,將何諭驚泉有,1
79,何諭驚泉有餘,1
80,諭驚泉有餘哀,1
81,驚泉有餘哀永,1
82,泉有餘哀永日,1
83,有餘哀永日誰,1
84,餘哀永日誰與,1
85,哀永日誰與度,1
86,永日誰與度緬,1
87,日誰與度緬思,1
88,誰與度緬思孤,1
89,與度緬思孤帆,1
90,度緬思孤帆影,1
91,緬思孤帆影再,1
92,思孤帆影再往,1
93,孤帆影再往重,1
94,帆影再往重江,1
95,影再往重江路,1
96,再往重江路去,1
97,往重江路去去,1
98,重江路去去忽,1
99,江路去去忽淒,1
100,路去去忽淒悲,1
101,去去忽淒悲因,1
102,去忽淒悲因風,1
103,忽淒悲因風暫,1
104,淒悲因風暫回,1
105,悲因風暫回顧,1
106,因風暫回顧五,1
107,風暫回顧五天,1
108,暫回顧五天何,1
109,回顧五天何處,1
110,顧五天何處望,1
111,五天何處望心,1
112,天何處望心念,1
113,何處望心念起,1
114,處望心念起皆,1
115,望心念起皆知,1
116,心念起皆知化,1
117,念起皆知化塔,1
118,起皆知化塔留,1
119,皆知化塔留今,1
120,知化塔留今日,1
121,化塔留今日泉,1
122,塔留今日泉鳴,1
123,留今日泉鳴自,1
124,今日泉鳴自昔,1
125,日泉鳴自昔時,1
126,泉鳴自昔時古,1
127,鳴自昔時古苔,1
128,自昔時古苔生,1
129,昔時古苔生石,1
130,時古苔生石靜,1
131,古苔生石靜秋,1
132,苔生石靜秋草,1
133,生石靜秋草滿,1
134,石靜秋草滿山,1
135,靜秋草滿山悲,1
136,秋草滿山悲莫,1
137,草滿山悲莫道,1
138,滿山悲莫道聲,1
139,山悲莫道聲容,1
140,悲莫道聲容遠,1
141,莫道聲容遠長,1
142,道聲容遠長歌,1
143,聲容遠長歌白,1
144,容遠長歌白雪,1
145,遠長歌白雪詞,1
146,長歌白雪詞高,1
147,歌白雪詞高懷,1
148,白雪詞高懷逢,1
149,雪詞高懷逢異,1
150,詞高懷逢異境,1
151,高懷逢異境佳,1
152,懷逢異境佳句,1
153,逢異境佳句想,1
154,異境佳句想吟,1
155,境佳句想吟頻,1
156,佳句想吟頻月,1
157,句想吟頻月冷,1
158,想吟頻月冷松,1
159,吟頻月冷松溪,1
160,頻月冷松溪夜,1
161,月冷松溪夜煙,1
162,冷松溪夜煙濃,1
163,松溪夜煙濃草,1
164,溪夜煙濃草寺,1
165,夜煙濃草寺春,1
166,煙濃草寺春浮,1
167,濃草寺春浮雲,1
168,草寺春浮雲將,1
169,寺春浮雲將世,1
170,春浮雲將世遠,1
171,浮雲將世遠清,1
172,雲將世遠清聽,1
173,將世遠清聽與,1
174,世遠清聽與名,1
175,遠清聽與名新,1
176,清聽與名新不,1
177,聽與名新不見,1
178,與名新不見開,1
179,名新不見開岩,1
180,新不見開岩日,1
181,不見開岩日空,1
182,見開岩日空為,1
183,開岩日空為拜,1
184,岩日空為拜影,1
185,日空為拜影人,1
186,空為拜影人景,1
187,為拜影人景物,1
188,拜影人景物搜,1
189,影人景物搜求,1
190,人景物搜求歇,1
191,景物搜求歇山,1
192,物搜求歇山雲,1
193,搜求歇山雲放,1
194,求歇山雲放縱,1
195,歇山雲放縱飛,1
196,山雲放縱飛樹,1
197,雲放縱飛樹寒,1
198,放縱飛樹寒煙,1
199,縱飛樹寒煙鶴,1
200,飛樹寒煙鶴去,1
201,樹寒煙鶴去池,1
202,寒煙鶴去池靜,1
203,煙鶴去池靜水,1
