排名,詞彙,出現次數
1,草綠長門,2
2,苔青永巷,2
3,青永巷幽,2
4,永巷幽寵,2
5,巷幽寵移,2
6,幽寵移新,2
7,寵移新愛,2
8,移新愛奪,2
9,故情留啼,2
10,情留啼鳥,2
11,留啼鳥驚,2
12,啼鳥驚殘,2
13,鳥驚殘夢,2
14,驚殘夢飛,2
15,殘夢飛花,2
16,夢飛花攪,2
17,飛花攪獨,2
18,花攪獨愁,2
19,攪獨愁自,2
20,獨愁自憐,2
21,愁自憐春,2
22,自憐春色,2
23,憐春色罷,2
24,春色罷團,2
25,色罷團扇,2
26,罷團扇複,2
27,團扇複迎,2
28,扇複迎秋,2
29,綠長門閉,1
30,長門閉苔,1
31,門閉苔青,1
32,閉苔青永,1
33,新愛奪泣,1
34,愛奪泣下,1
35,奪泣下故,1
36,泣下故情,1
37,下故情留,1
38,複迎秋鴛,1
39,迎秋鴛鴦,1
40,秋鴛鴦殿,1
41,鴛鴦殿裏,1
42,鴦殿裏笙,1
43,殿裏笙歌,1
44,裏笙歌起,1
45,笙歌起翡,1
46,歌起翡翠,1
47,起翡翠樓,1
48,翡翠樓前,1
49,翠樓前出,1
50,樓前出舞,1
51,前出舞人,1
52,出舞人喚,1
53,舞人喚上,1
54,人喚上紫,1
55,喚上紫微,1
56,上紫微三,1
57,紫微三五,1
58,微三五夕,1
59,三五夕聖,1
60,五夕聖明,1
61,夕聖明方,1
62,聖明方壽,1
63,明方壽一,1
64,方壽一千,1
65,壽一千春,1
66,一千春使,1
67,千春使出,1
68,春使出鳳,1
69,使出鳳凰,1
70,出鳳凰池,1
71,鳳凰池京,1
72,凰池京師,1
73,池京師陽,1
74,京師陽春,1
75,師陽春晚,1
76,陽春晚聖,1
77,春晚聖朝,1
78,晚聖朝尚,1
79,聖朝尚邊,1
80,朝尚邊策,1
81,尚邊策詔,1
82,邊策詔諭,1
83,策詔諭兵,1
84,詔諭兵戈,1
85,諭兵戈偃,1
86,兵戈偃拜,1
87,戈偃拜手,1
88,偃拜手明,1
89,拜手明光,1
90,手明光殿,1
91,明光殿搖,1
92,光殿搖心,1
93,殿搖心上,1
94,搖心上林,1
95,心上林苑,1
96,上林苑種,1
97,林苑種落,1
98,苑種落逾,1
99,種落逾青,1
100,落逾青羌,1
101,逾青羌關,1
102,青羌關山,1
103,羌關山度,1
104,關山度赤,1
105,山度赤阪,1
106,度赤阪疆,1
107,赤阪疆場,1
108,阪疆場及,1
109,疆場及無,1
110,場及無事,1
111,及無事雅,1
112,無事雅歌,1
113,事雅歌而,1
114,雅歌而餐,1
115,歌而餐飯,1
116,而餐飯寧,1
117,餐飯寧獨,1
118,飯寧獨錫,1
119,寧獨錫和,1
120,獨錫和戎,1
121,錫和戎更,1
122,和戎更當,1
123,戎更當封,1
124,更當封定,1
125,當封定遠,1
126,封定遠北,1
127,定遠北斗,1
128,遠北斗掛,1
129,北斗掛城,1
130,斗掛城邊,1
131,掛城邊南,1
132,城邊南山,1
133,邊南山倚,1
134,南山倚殿,1
135,山倚殿前,1
136,倚殿前雲,1
137,殿前雲標,1
138,前雲標金,1
139,雲標金闕,1
140,標金闕迥,1
141,金闕迥樹,1
142,闕迥樹杪,1
143,迥樹杪玉,1
144,樹杪玉堂,1
145,杪玉堂懸,1
146,玉堂懸半,1
147,堂懸半嶺,1
148,懸半嶺通,1
149,半嶺通佳,1
