排名,詞彙,出現次數
1,送,4
2,男,4
3,左,4
4,貶,4
5,在,2
6,何,2
7,他,1
8,日,1
9,初,1
10,投,1
11,杼,1
12,勤,1
13,王,1
14,飲,1
15,冰,1
16,有,1
17,辭,1
18,期,1
19,不,1
20,罰,1
21,積,1
22,毀,1
23,竟,1
24,相,1
25,仍,1
26,謫,1
27,宦,1
28,今,1
29,銜,1
30,冤,1
31,猶,1
32,未,1
33,勝,1
34,天,1
35,涯,1
36,分,1
37,越,1
38,徼,1
39,驛,1
40,騎,1
41,速,1
42,毗,1
43,陵,1
44,腸,1
45,斷,1
46,腹,1
47,非,1
48,苦,1
49,書,1
50,傳,1
51,寫,1
52,豈,1
53,能,1
54,淚,1
55,添,1
56,江,1
57,水,1
58,遠,1
59,心,1
60,劇,1
61,海,1
62,雲,1
63,蒸,1
64,明,1
65,月,1
66,珠,1
67,難,1
68,識,1
69,甘,1
70,泉,1
71,賦,1
72,可,1
73,稱,1
74,但,1
75,將,1
76,忠,1
77,報,1
78,主,1
79,懼,1
80,點,1
81,青,1
82,蠅,1
