排名,詞彙,出現次數
1,九華如劍插雲,1
2,華如劍插雲霓,1
3,如劍插雲霓青,1
4,劍插雲霓青靄,1
5,插雲霓青靄連,1
6,雲霓青靄連空,1
7,霓青靄連空望,1
8,青靄連空望欲,1
9,靄連空望欲迷,1
10,連空望欲迷北,1
11,空望欲迷北截,1
12,望欲迷北截吳,1
13,欲迷北截吳門,1
14,迷北截吳門疑,1
15,北截吳門疑地,1
16,截吳門疑地盡,1
17,吳門疑地盡南,1
18,門疑地盡南連,1
19,疑地盡南連楚,1
20,地盡南連楚界,1
21,盡南連楚界覺,1
22,南連楚界覺天,1
23,連楚界覺天低,1
24,楚界覺天低龍,1
25,界覺天低龍池,1
26,覺天低龍池水,1
27,天低龍池水蘸,1
28,低龍池水蘸中,1
29,龍池水蘸中秋,1
30,池水蘸中秋月,1
31,水蘸中秋月石,1
32,蘸中秋月石路,1
33,中秋月石路人,1
34,秋月石路人攀,1
35,月石路人攀上,1
36,石路人攀上漢,1
37,路人攀上漢梯,1
38,人攀上漢梯惆,1
39,攀上漢梯惆悵,1
40,上漢梯惆悵舊,1
41,漢梯惆悵舊遊,1
42,梯惆悵舊遊無,1
43,惆悵舊遊無複,1
44,悵舊遊無複到,1
45,舊遊無複到會,1
46,遊無複到會須,1
47,無複到會須登,1
48,複到會須登此,1
49,到會須登此出,1
50,會須登此出塵,1
51,須登此出塵泥,1
