排名,詞彙,出現次數
1,細雨弄,1
2,雨弄春,1
3,弄春陰,1
4,春陰餘,1
5,陰餘寒,1
6,餘寒入,1
7,寒入晝,1
8,入晝深,1
9,晝深山,1
10,深山姿,1
11,山姿輕,1
12,姿輕薄,1
13,輕薄霧,1
14,薄霧煙,1
15,霧煙色,1
16,煙色澹,1
17,色澹幽,1
18,澹幽林,1
19,幽林鹿,1
20,林鹿踐,1
21,鹿踐莓,1
22,踐莓苔,1
23,莓苔滑,1
24,苔滑魚,1
25,滑魚牽,1
26,魚牽水,1
27,牽水荇,1
28,水荇沈,1
29,荇沈懷,1
30,沈懷情,1
31,懷情方,1
32,情方未,1
33,方未已,1
34,未已清,1
35,已清酒,1
36,清酒漫,1
37,酒漫須,1
38,漫須斟,1
39,須斟黯,1
40,斟黯黯,1
41,黯黯日,1
42,黯日將,1
43,日將夕,1
44,將夕牛,1
45,夕牛羊,1
46,牛羊村,1
47,羊村外,1
48,村外來,1
49,外來岩,1
50,來岩阿,1
51,岩阿青,1
52,阿青氣,1
53,青氣發,1
54,氣發籬,1
55,發籬落,1
56,籬落杏,1
57,落杏花,1
58,杏花開,1
59,花開草,1
60,開草木,1
61,草木應,1
62,木應初,1
63,應初感,1
64,初感鶬,1
65,感鶬鶊,1
66,鶬鶊亦,1
67,鶊亦已,1
68,亦已催,1
69,已催晚,1
70,催晚間,1
71,晚間春,1
72,間春作,1
73,春作好,1
74,作好行,1
75,好行樂,1
76,行樂不,1
77,樂不須,1
78,不須猜,1
79,須猜香,1
80,猜香刹,1
81,香刹懸,1
82,刹懸青,1
83,懸青磴,1
84,青磴飛,1
85,磴飛樓,1
86,飛樓界,1
87,樓界碧,1
88,界碧空,1
89,碧空石,1
90,空石門,1
91,石門棲,1
92,門棲怖,1
93,棲怖鴿,1
94,怖鴿慈,1
95,鴿慈塔,1
96,慈塔繞,1
97,塔繞歸,1
98,繞歸鴻,1
99,歸鴻有,1
100,鴻有法,1
101,有法將,1
102,法將心,1
103,將心鏡,1
104,心鏡無,1
105,鏡無名,1
106,無名屬,1
107,名屬性,1
108,屬性通,1
109,性通從,1
110,通從來,1
111,從來樂,1
112,來樂幽,1
113,樂幽寂,1
114,幽寂尋,1
115,寂尋覓,1
116,尋覓未,1
117,覓未能,1
118,未能窮,1
119,能窮步,1
120,窮步入,1
121,步入桃,1
122,入桃源,1
123,桃源裏,1
124,源裏晴,1
125,裏晴花,1
126,晴花更,1
127,花更滿,1
128,更滿枝,1
129,滿枝峰,1
130,枝峰回,1
131,峰回山,1
132,回山意,1
133,山意曠,1
134,意曠林,1
135,曠林杳,1
136,林杳竹,1
137,杳竹光,1
138,竹光遲,1
139,光遲遠,1
140,遲遠寺,1
141,遠寺尋,1
142,寺尋龍,1
143,尋龍藏,1
144,龍藏名,1
145,藏名香,1
146,名香發,1
147,香發雁,1
148,發雁池,1
149,雁池間,1
150,池間能,1
151,間能將,1
152,能將遠,1
153,將遠語,1
154,遠語況,1
155,語況及,1
156,況及上,1
157,及上陽,1
158,上陽時,1
159,陽時分,1
160,時分險,1
161,分險架,1
162,險架長,1
163,架長瀾,1
164,長瀾斜,1
165,瀾斜梁,1
166,斜梁控,1
167,梁控夕,1
168,控夕巒,1
169,夕巒宿,1
170,巒宿雲,1
171,宿雲依,1
172,雲依嶺,1
173,依嶺斷,1
174,嶺斷初,1
175,斷初月,1
176,初月入,1
177,月入江,1
178,入江寒,1
179,江寒緇,1
180,寒緇化,1
181,緇化秦,1
182,化秦裘,1
183,秦裘敝,1
184,裘敝塵,1
185,敝塵驚,1
186,塵驚漢,1
187,驚漢策,1
188,漢策殘,1
189,策殘無,1
190,殘無言,1
191,無言倦,1
192,言倦行,1
193,倦行旅,1
194,行旅遙,1
195,旅遙路,1
196,遙路屬,1
197,路屬時,1
198,屬時難,1
199,時難共,1
200,難共來,1
201,共來江,1
202,來江海,1
203,江海上,1
204,海上清,1
205,上清論,1
206,清論一,1
207,論一宵,1
208,一宵同,1
209,宵同禪,1
210,同禪榻,1
211,禪榻渾,1
212,榻渾依,1
213,渾依舊,1
214,依舊心,1
215,舊心期,1
216,心期浩,1
217,期浩已,1
218,浩已空,1
219,已空驚,1
220,空驚春,1
221,驚春花,1
222,春花落,1
223,花落樹,1
224,落樹聞,1
225,樹聞梵,1
226,聞梵澗,1
227,梵澗搖,1
228,澗搖風,1
229,搖風二,1
230,風二諦,1
231,二諦欣,1
232,諦欣咨,1
233,欣咨啟,1
234,咨啟還,1
235,啟還應,1
236,還應夢,1
237,應夢寐,1
238,夢寐通,1
239,寐通放,1
240,通放跡,1
241,放跡疑,1
242,跡疑辭,1
243,疑辭垢,1
244,辭垢棲,1
245,垢棲心,1
246,棲心亦,1
247,心亦道,1
248,亦道門,1
249,道門玄,1
250,門玄言,1
251,玄言蘿,1
252,言蘿幌,1
253,蘿幌馥,1
254,幌馥詩,1
255,馥詩思,1
256,詩思竹,1
257,思竹爐,1
258,竹爐溫,1
259,爐溫解,1
260,溫解帶,1
261,解帶搖,1
262,帶搖花,1
263,搖花落,1
264,花落彈,1
265,落彈琴,1
266,彈琴散,1
267,琴散鳥,1
268,散鳥喧,1
269,鳥喧江,1
270,喧江山,1
271,江山茲,1
272,山茲夕,1
273,茲夕意,1
274,夕意唯,1
275,意唯有,1
276,唯有素,1
277,有素交,1
278,素交存,1
279,交存寂,1
280,存寂聽,1
281,寂聽郢,1
282,聽郢中,1
283,郢中人,1
284,中人高,1
285,人高歌,1
286,高歌已,1
287,歌已絕,1
288,已絕倫,1
289,絕倫臨,1
290,倫臨風,1
291,臨風飄,1
292,風飄白,1
293,飄白雪,1
294,白雪向,1
295,雪向日,1
296,向日奏,1
297,日奏陽,1
298,奏陽春,1
299,陽春調,1
300,春調雅,1
301,調雅偏,1
302,雅偏盈,1
303,偏盈耳,1
304,盈耳聲,1
305,耳聲長,1
306,聲長杳,1
307,長杳入,1
308,杳入神,1
309,入神連,1
310,神連連,1
311,連連貫,1
312,連貫珠,1
313,貫珠並,1
314,珠並嫋,1
315,並嫋嫋,1
316,嫋嫋遏,1
317,嫋遏雲,1
318,遏雲頻,1
319,雲頻度,1
320,頻度曲,1
321,度曲知,1
322,曲知難,1
323,知難和,1
324,難和凝,1
325,和凝情,1
326,凝情想,1
327,情想任,1
328,想任真,1
329,任真周,1
330,真周郎,1
331,周郎如,1
332,郎如賞,1
333,如賞羨,1
334,賞羨莫,1
335,羨莫使,1
336,莫使滯,1
337,使滯芳,1
338,滯芳晨,1
339,芳晨春,1
340,晨春寺,1
341,春寺無,1
342,寺無人,1
343,無人亂,1
344,人亂鳥,1
345,亂鳥啼,1
346,鳥啼藤,1
347,啼藤蘿,1
348,藤蘿陰,1
349,蘿陰磴,1
350,陰磴野,1
351,磴野僧,1
352,野僧迷,1
353,僧迷雲,1
354,迷雲藏,1
355,雲藏古,1
356,藏古壁,1
357,古壁遺,1
358,壁遺龍,1
359,遺龍象,1
360,龍象草,1
361,象草沒,1
362,草沒香,1
363,沒香台,1
364,香台抱,1
365,台抱鹿,1
366,抱鹿麛,1
367,鹿麛松,1
368,麛松籟,1
369,松籟泠,1
370,籟泠泠,1
371,泠泠疑,1
372,泠疑梵,1
373,疑梵唄,1
374,梵唄柳,1
375,唄柳煙,1
376,柳煙歷,1
377,煙歷歷,1
378,歷歷見,1
379,歷見招,1
380,見招提,1
381,招提為,1
382,提為耽,1
383,為耽寂,1
384,耽寂樂,1
385,寂樂親,1
386,樂親禪,1
387,親禪侶,1
388,禪侶莫,1
389,侶莫怪,1
390,莫怪閑,1
391,怪閑行,1
392,閑行費,1
393,行費馬,1
394,費馬蹄,1
