排名,詞彙,出現次數
1,將軍,4
2,不肯,4
3,何事,4
4,長城,4
5,當時,4
6,升仙,4
7,仙橋,4
8,詠酒,4
9,酒二,4
10,二首,4
11,杜郵,3
12,細腰,3
13,春風,3
14,瑤台,3
15,人間,3
16,杞梁,3
17,至今,3
18,短歌,3
19,三閭,3
20,漁父,3
21,嚴陵,3
22,采桑,3
23,招屈,3
24,屈亭,3
25,銅雀,3
26,雀台,3
27,延平,3
28,不得,3
29,桐江,3
30,五湖,3
31,郵館,2
32,得將,2
33,腰宮,2
34,君王,2
35,得荊,2
36,台一,2
37,吳阪,2
38,萬里,2
39,箕山,2
40,息國,2
41,家國,2
42,楚王,2
43,間不,2
44,梁寺,2
45,從來,2
46,無人,2
47,南陽,2
48,梁墓,2
49,墓一,2
50,夷門,2
51,不是,2
52,汴河,2
53,燕台,2
54,萬古,2
55,如今,2
56,西河,2
57,密縣,2
58,題橋,2
59,破陳,2
60,白頭,2
61,頭吟,2
62,歌吟,2
63,賢愚,2
64,武陵,2
65,晉河,2
66,幹將,2
67,將墓,2
68,金谷,2
69,閭廟,2
70,不覺,2
71,易水,2
72,事不,2
73,青史,2
74,陵台,2
75,輕軒,2
76,軒冕,2
77,淮陰,2
78,為報,2
79,雞鳴,2
80,鳴曲,2
81,桑婦,2
82,越女,2
83,望思,2
84,思台,2
85,台不,2
86,比干,2
87,干墓,2
88,郢中,2
89,北海,2
90,漢臣,2
91,屈祠,2
92,不知,2
93,斑竹,2
94,竹祠,2
95,九處,2
96,題李,2
97,李太,2
98,太尉,2
99,高眠,2
100,戰城,2
101,城南,2
102,平津,2
103,三尺,2
104,風雲,2
105,項亭,2
106,烏江,2
107,綠珠,2
108,花顏,2
109,如君,2
110,隋柳,2
111,楊柳,2
112,招隱,2
113,陳宮,2
114,樊將,2
115,軍廟,2
116,東海,2
117,昭君,2
118,澠池,2
119,函谷,2
120,谷關,2
121,開詠,2
122,蒼頡,2
123,頡台,2
124,館殺,1
125,殺盡,1
126,盡降,1
127,降兵,1
128,兵熱,1
129,熱血,1
130,血流,1
131,流一,1
132,一心,1
133,心猶,1
134,猶自,1
135,自逞,1
136,逞戈,1
137,戈矛,1
138,矛杜,1
139,館功,1
140,功成,1
141,成若,1
142,若解,1
143,解求,1
144,求身,1
145,身退,1
146,退豈,1
147,豈得,1
148,軍死,1
149,死杜,1
150,郵細,1
151,宮鼓,1
152,鼓聲,1
153,聲連,1
154,連日,1
155,日燭,1
156,燭連,1
157,連宵,1
158,宵貪,1
159,貪向,1
160,向春,1
161,風舞,1
162,舞細,1
163,腰細,1
164,宮爭,1
165,爭奈,1
166,奈君,1
167,王正,1
168,正沈,1
169,沈醉,1
170,醉秦,1
171,秦兵,1
172,兵江,1
173,江上,1
174,上促,1
175,促征,1
176,征橈,1
177,橈瑤,1
178,台仙,1
179,仙夢,1
180,夢香,1
181,香魂,1
182,魂不,1
183,不久,1
184,久留,1
185,留滿,1
186,滿川,1
187,川雲,1
188,雲雨,1
189,雨滿,1
190,滿宮,1
191,宮愁,1
192,愁瑤,1
193,台直,1
194,直須,1
195,須待,1
196,待得,1
197,荊王,1
198,王死,1
199,死始,1
200,始向,1
201,向瑤,1
202,一處,1
203,處遊,1
204,遊吳,1
205,阪蜷,1
206,蜷局,1
207,局鹽,1
208,鹽車,1
209,車萬,1
210,里蹄,1
211,蹄忽,1
212,忽逢,1
213,逢良,1
214,良鑒,1
215,鑒始,1
216,始能,1
217,能嘶,1
218,嘶吳,1
219,阪不,1
220,不緣,1
221,緣伯,1
222,伯樂,1
223,樂稱,1
224,稱奇,1
225,奇骨,1
226,骨幾,1
227,幾與,1
228,與駑,1
229,駑駘,1
230,駘價,1
231,價一,1
232,一齊,1
233,齊箕,1
234,山薄,1
235,薄世,1
236,世臨,1
237,臨流,1
238,流洗,1
239,洗耳,1
240,耳塵,1
241,塵便,1
242,便歸,1
243,歸雲,1
244,雲洞,1
245,洞任,1
246,任天,1
247,天真,1
248,真箕,1
249,山一,1
250,一瓢,1
251,瓢風,1
252,風入,1
253,入猶,1
254,猶嫌,1
255,嫌鬧,1
256,鬧何,1
257,何況,1
258,況人,1
259,間萬,1
260,萬種,1
261,種人,1
262,人息,1
263,國家,1
264,國興,1
265,興亡,1
266,亡身,1
267,身獨,1
268,獨存,1
269,存玉,1
270,玉容,1
271,容還,1
272,還受,1
273,受楚,1
274,王恩,1
275,恩息,1
276,國銜,1
277,銜冤,1
278,冤只,1
279,只合,1
280,合甘,1
281,甘先,1
282,先死,1
283,死何,1
284,何待,1
285,待花,1
286,花間,1
287,肯言,1
288,言梁,1
289,寺立,1
290,立國,1
291,國從,1
292,來為,1
293,為戰,1
294,戰功,1
295,功一,1
296,一朝,1
297,朝何,1
298,事卻,1
299,卻談,1
300,談空,1
301,空梁,1
302,寺台,1
303,台城,1
304,城兵,1
305,兵匝,1
306,匝無,1
307,人敵,1
308,敵閑,1
309,閑臥,1
310,臥高,1
311,高僧,1
312,僧滿,1
313,滿梵,1
314,梵宮,1
315,宮南,1
316,陽陸,1
317,陸困,1
318,困泥,1
319,泥蟠,1
320,蟠未,1
321,未適,1
322,適從,1
323,從豈,1
324,豈妨,1
325,妨耕,1
326,耕稼,1
327,稼隱,1
328,隱高,1
329,高蹤,1
330,蹤南,1
331,陽若,1
332,若非,1
333,非先,1
334,先主,1
335,主垂,1
336,垂三,1
337,三顧,1
338,顧誰,1
339,誰識,1
340,識茅,1
341,茅廬,1
342,廬一,1
343,一臥,1
344,臥龍,1
345,龍杞,1
346,一叫,1
347,叫長,1
348,城萬,1
349,萬仞,1
350,仞摧,1
351,摧杞,1
352,梁遺,1
353,遺骨,1
354,骨逐,1
355,逐妻,1
356,妻回,1
357,回杞,1
358,墓南,1
359,南鄰,1
360,鄰北,1
361,北裏,1
362,裏皆,1
363,皆孀,1
364,孀婦,1
365,婦誰,1
366,誰解,1
367,解堅,1
368,堅心,1
369,心繼,1
370,繼此,1
371,此來,1
372,來夷,1
373,門晉,1
374,晉鄙,1
375,鄙兵,1
376,兵回,1
377,回為,1
378,為重,1
379,重難,1
380,難秦,1
381,秦師,1
382,師收,1
383,收旆,1
384,旆亦,1
385,亦西,1
386,西還,1
387,還夷,1
388,門今,1
389,今來,1
390,來不,1
391,是無,1
392,無朱,1
393,朱亥,1
394,亥誰,1
395,誰降,1
396,降軒,1
397,軒車,1
398,車問,1
399,問抱,1
400,抱關,1
401,關汴,1
402,河隋,1
403,隋皇,1
404,皇意,1
405,意欲,1
406,欲泛,1
407,泛龍,1
408,龍舟,1
409,舟千,1
410,千里,1
411,里昆,1
412,昆侖,1
413,侖水,1
414,水別,1
415,別流,1
416,流汴,1
417,河還,1
418,還待,1
419,待春,1
420,風錦,1
421,錦帆,1
422,帆暖,1
423,暖柳,1
424,柳陰,1
425,陰相,1
426,相送,1
427,送到,1
428,到迷,1
429,迷樓,1
430,樓燕,1
431,台禮,1
432,禮士,1
433,士招,1
434,招賢,1
435,賢萬,1
436,古名,1
437,名高,1
438,高臺,1
439,臺依,1
440,依舊,1
441,舊對,1
442,對燕,1
443,燕城,1
444,城燕,1
445,台如,1
446,今寂,1
447,寂寞,1
448,寞無,1
449,人上,1
450,上春,1
451,春去,1
452,去秋,1
453,秋來,1
454,來草,1
455,草自,1
456,自生,1
457,生聊,1
458,聊城,1
459,城刃,1
460,刃血,1
461,血攻,1
462,攻聊,1
463,聊已,1
464,已越,1
465,越年,1
466,年竟,1
467,竟憑,1
468,憑儒,1
469,儒術,1
470,術罷,1
471,罷戈,1
472,戈鋋,1
473,鋋田,1
474,田單,1
475,單漫,1
476,漫逞,1
477,逞燒,1
478,燒牛,1
479,牛計,1
480,計一,1
481,一箭,1
482,箭終,1
483,終輸,1
484,輸魯,1
485,魯仲,1
486,仲連,1
487,連西,1
488,河花,1
489,花貌,1
490,貌年,1
491,年年,1
492,年溺,1
493,溺水,1
494,水濱,1
495,濱俗,1
496,俗傳,1
497,傳河,1
498,河伯,1
499,伯娶,1
500,娶生,1
501,生人,1
502,人西,1
503,河自,1
504,自從,1
505,從明,1
506,明宰,1
507,宰投,1
508,投巫,1
509,巫後,1
510,後直,1
511,直至,1
512,至如,1
513,今鬼,1
514,鬼不,1
515,不神,1
516,神密,1
517,縣百,1
518,百里,1
519,里能,1
520,能將,1
521,將濟,1
522,濟猛,1
523,猛寬,1
524,寬飛,1
525,飛蝗,1
526,蝗不,1
527,不到,1
528,到邑,1
529,邑人,1
530,人安,1
531,安密,1
532,縣至,1
533,今閭,1
534,閭裏,1
535,裏逢,1
536,逢災,1
537,災沴,1
538,沴猶,1
539,猶祝,1
540,祝當,1
