排名,詞彙,出現次數
1,代妻答詩,2
2,寄內詩握,1
3,內詩握筆,1
4,詩握筆題,1
5,握筆題詩,1
6,筆題詩易,1
7,題詩易荷,1
8,詩易荷戈,1
9,易荷戈征,1
10,荷戈征戍,1
11,戈征戍難,1
12,征戍難慣,1
13,戍難慣從,1
14,難慣從鴛,1
15,慣從鴛被,1
16,從鴛被暖,1
17,鴛被暖怯,1
18,被暖怯向,1
19,暖怯向雁,1
20,怯向雁門,1
21,向雁門寒,1
22,雁門寒寄,1
23,門寒寄內,1
24,寒寄內詩,1
25,寄內詩瘦,1
26,內詩瘦盡,1
27,詩瘦盡寬,1
28,瘦盡寬衣,1
29,盡寬衣帶,1
30,寬衣帶啼,1
31,衣帶啼多,1
32,帶啼多漬,1
33,啼多漬枕,1
34,多漬枕檀,1
35,漬枕檀試,1
36,枕檀試留,1
37,檀試留青,1
38,試留青黛,1
39,留青黛著,1
40,青黛著回,1
41,黛著回日,1
42,著回日畫,1
43,回日畫眉,1
44,日畫眉看,1
45,畫眉看代,1
46,眉看代妻,1
47,看代妻答,1
48,妻答詩蓬,1
49,答詩蓬鬢,1
50,詩蓬鬢荊,1
51,蓬鬢荊釵,1
52,鬢荊釵世,1
53,荊釵世所,1
54,釵世所稀,1
55,世所稀布,1
56,所稀布裙,1
57,稀布裙猶,1
58,布裙猶是,1
59,裙猶是嫁,1
60,猶是嫁時,1
61,是嫁時衣,1
62,嫁時衣代,1
63,時衣代妻,1
64,衣代妻答,1
65,妻答詩胡,1
66,答詩胡麻,1
67,詩胡麻好,1
68,胡麻好種,1
69,麻好種無,1
70,好種無人,1
71,種無人種,1
72,無人種合,1
73,人種合是,1
74,種合是歸,1
75,合是歸時,1
76,是歸時底,1
77,歸時底不,1
78,時底不歸,1
