排名,詞彙,出現次數
1,憶昔當,1
2,昔當初,1
3,當初過,1
4,初過柳,1
5,過柳樓,1
6,柳樓茂,1
7,樓茂英,1
8,茂英年,1
9,英年小,1
10,年小尚,1
11,小尚嬌,1
12,尚嬌羞,1
13,嬌羞隔,1
14,羞隔窗,1
15,隔窗未,1
16,窗未省,1
17,未省聞,1
18,省聞高,1
19,聞高語,1
20,高語對,1
21,語對鏡,1
22,對鏡曾,1
23,鏡曾窺,1
24,曾窺學,1
25,窺學上,1
26,學上頭,1
27,上頭一,1
28,頭一別,1
29,一別中,1
30,別中原,1
31,中原俱,1
32,原俱老,1
33,俱老大,1
34,老大再,1
35,大再來,1
36,再來南,1
37,來南國,1
38,南國見,1
39,國見風,1
40,見風流,1
41,風流彈,1
42,流彈弦,1
43,彈弦酌,1
44,弦酌酒,1
45,酌酒話,1
46,酒話前,1
47,話前事,1
48,前事零,1
49,事零落,1
50,零落碧,1
51,落碧雲,1
52,碧雲生,1
53,雲生暮,1
54,生暮愁,1
55,暮愁少,1
56,愁少插,1
57,少插花,1
58,插花枝,1
59,花枝少,1
60,枝少下,1
61,少下籌,1
62,下籌須,1
63,籌須防,1
64,須防女,1
65,防女伴,1
66,女伴妒,1
67,伴妒風,1
68,妒風流,1
69,風流坐,1
70,流坐中,1
71,坐中若,1
72,中若打,1
73,若打占,1
74,打占相,1
75,占相令,1
76,相令除,1
77,令除卻,1
78,除卻尚,1
79,卻尚書,1
80,尚書莫,1
81,書莫點,1
82,莫點頭,1
