排名,詞彙,出現次數
1,我,4
2,以,4
3,欲,3
4,身,3
5,不,3
6,將,3
7,恐,3
8,是,3
9,朝,3
10,名,2
11,君,2
12,為,2
13,則,2
14,勢,2
15,才,2
16,高,2
17,還,2
18,偃,1
19,文,1
20,修,1
21,武,1
22,死,1
23,存,1
24,斫,1
25,石,1
26,通,1
27,道,1
28,祈,1
29,井,1
30,流,1
31,泉,1
32,肝,1
33,在,1
34,內,1
35,處,1
36,邊,1
37,荊,1
38,軻,1
39,拔,1
40,劍,1
41,毛,1
42,遂,1
43,捧,1
44,盤,1
45,已,1
46,然,1
47,兩,1
48,虎,1
49,共,1
50,鬥,1
51,俱,1
52,全,1
53,永,1
54,今,1
55,好,1
56,長,1
57,絕,1
58,來,1
59,怨,1
60,返,1
61,跡,1
62,荒,1
63,徑,1
64,息,1
65,影,1
66,柴,1
67,門,1
68,刺,1
69,股,1
70,錐,1
71,刃,1
72,懸,1
73,頭,1
74,屋,1
75,樑,1
76,書,1
77,臨,1
78,雪,1
79,彩,1
80,牒,1
81,映,1
82,螢,1
83,光,1
84,一,1
85,鵬,1
86,舉,1
87,萬,1
88,里,1
89,鸞,1
90,翔,1
91,縱,1
92,任,1
93,辯,1
94,遊,1
95,說,1
96,王,1
97,車,1
98,反,1
99,邑,1
100,衣,1
101,錦,1
102,鄉,1
103,鳥,1
104,殘,1
105,羽,1
106,蘭,1
107,折,1
108,由,1
109,芳,1
110,籠,1
111,餐,1
112,詎,1
113,貴,1
114,鉤,1
115,餌,1
116,難,1
117,嘗,1
118,巢,1
119,林,1
120,藪,1
121,深,1
122,穴,1
123,池,1
124,塘,1
125,衒,1
126,鬻,1
127,德,1
128,入,1
129,市,1
130,趨,1
131,四,1
132,眾,1
133,瞻,1
134,仰,1
135,三,1
136,槐,1
137,附,1
138,交,1
139,標,1
140,形,1
141,引,1
142,達,1
143,超,1
144,箱,1
145,盈,1
146,綺,1
147,服,1
148,廚,1
149,富,1
150,甘,1
151,肴,1
152,諷,1
153,揚,1
154,弦,1
155,管,1
156,詠,1
157,美,1
158,歌,1
159,謠,1
160,塵,1
161,棲,1
162,弱,1
163,草,1
164,露,1
165,宿,1
166,危,1
167,條,1
168,無,1
169,過,1
170,日,1
171,旦,1
172,靡,1
173,越,1
174,風,1
175,傷,1
176,樂,1
177,淺,1
178,非,1
179,惟,1
180,苦,1
181,遙,1
