排名,詞彙,出現次數
1,朝遊滄海東暮歸,1
2,遊滄海東暮歸何,1
3,滄海東暮歸何太,1
4,海東暮歸何太速,1
5,東暮歸何太速只,1
6,暮歸何太速只因,1
7,歸何太速只因騎,1
8,何太速只因騎折,1
9,太速只因騎折白,1
10,速只因騎折白龍,1
11,只因騎折白龍腰,1
12,因騎折白龍腰謫,1
13,騎折白龍腰謫向,1
14,折白龍腰謫向人,1
15,白龍腰謫向人間,1
16,龍腰謫向人間三,1
17,腰謫向人間三十,1
18,謫向人間三十六,1
19,向人間三十六天,1
20,人間三十六天壇,1
21,間三十六天壇雲,1
22,三十六天壇雲似,1
23,十六天壇雲似雪,1
24,六天壇雲似雪玉,1
25,天壇雲似雪玉洞,1
26,壇雲似雪玉洞水,1
27,雲似雪玉洞水如,1
28,似雪玉洞水如琴,1
29,雪玉洞水如琴白,1
30,玉洞水如琴白雲,1
31,洞水如琴白雲與,1
32,水如琴白雲與流,1
33,如琴白雲與流水,1
34,琴白雲與流水千,1
35,白雲與流水千載,1
36,雲與流水千載清,1
37,與流水千載清人,1
38,流水千載清人心,1
39,水千載清人心君,1
40,千載清人心君攜,1
41,載清人心君攜布,1
42,清人心君攜布囊,1
43,人心君攜布囊去,1
44,心君攜布囊去路,1
45,君攜布囊去路長,1
46,攜布囊去路長風,1
47,布囊去路長風滿,1
48,囊去路長風滿林,1
49,去路長風滿林一,1
50,路長風滿林一入,1
51,長風滿林一入華,1
52,風滿林一入華陽,1
53,滿林一入華陽洞,1
54,林一入華陽洞千,1
55,一入華陽洞千秋,1
56,入華陽洞千秋那,1
57,華陽洞千秋那可,1
58,陽洞千秋那可尋,1
59,洞千秋那可尋江,1
60,千秋那可尋江畔,1
61,秋那可尋江畔送,1
62,那可尋江畔送行,1
63,可尋江畔送行人,1
64,尋江畔送行人千,1
65,江畔送行人千山,1
66,畔送行人千山生,1
67,送行人千山生暮,1
68,行人千山生暮氛,1
69,人千山生暮氛謝,1
70,千山生暮氛謝安,1
71,山生暮氛謝安團,1
72,生暮氛謝安團扇,1
73,暮氛謝安團扇上,1
74,氛謝安團扇上為,1
75,謝安團扇上為畫,1
76,安團扇上為畫敬,1
77,團扇上為畫敬亭,1
78,扇上為畫敬亭雲,1
79,上為畫敬亭雲誰,1
80,為畫敬亭雲誰家,1
81,畫敬亭雲誰家舊,1
82,敬亭雲誰家舊宅,1
83,亭雲誰家舊宅春,1
84,雲誰家舊宅春無,1
85,誰家舊宅春無主,1
86,家舊宅春無主深,1
87,舊宅春無主深院,1
88,宅春無主深院簾,1
89,春無主深院簾垂,1
90,無主深院簾垂杏,1
91,主深院簾垂杏花,1
92,深院簾垂杏花雨,1
93,院簾垂杏花雨香,1
94,簾垂杏花雨香飛,1
95,垂杏花雨香飛綠,1
96,杏花雨香飛綠瑣,1
97,花雨香飛綠瑣人,1
98,雨香飛綠瑣人未,1
99,香飛綠瑣人未歸,1
100,飛綠瑣人未歸巢,1
101,綠瑣人未歸巢燕,1
102,瑣人未歸巢燕承,1
103,人未歸巢燕承塵,1
104,未歸巢燕承塵默,1
105,歸巢燕承塵默無,1
106,巢燕承塵默無語,1
107,燕承塵默無語勸,1
108,承塵默無語勸君,1
109,塵默無語勸君此,1
110,默無語勸君此醉,1
111,無語勸君此醉直,1
112,語勸君此醉直須,1
113,勸君此醉直須歡,1
114,君此醉直須歡明,1
115,此醉直須歡明朝,1
116,醉直須歡明朝又,1
117,直須歡明朝又是,1
118,須歡明朝又是花,1
119,歡明朝又是花狼,1
120,明朝又是花狼藉,1
