排名,詞彙,出現次數
1,平吞六,1
2,吞六國,1
3,六國更,1
4,國更何,1
5,更何求,1
6,何求童,1
7,求童女,1
8,童女童,1
9,女童男,1
10,童男問,1
11,男問十,1
12,問十洲,1
13,十洲滄,1
14,洲滄海,1
15,滄海不,1
16,海不回,1
17,不回應,1
18,回應悵,1
19,應悵望,1
20,悵望始,1
21,望始知,1
22,始知徐,1
23,知徐福,1
24,徐福解,1
25,福解風,1
26,解風流,1
27,風流家,1
28,流家臨,1
29,家臨涇,1
30,臨涇水,1
31,涇水隔,1
32,水隔秦,1
33,隔秦川,1
34,秦川來,1
35,川來往,1
36,來往關,1
37,往關河,1
38,關河路,1
39,河路八,1
40,路八千,1
41,八千堪,1
42,千堪恨,1
43,堪恨此,1
44,恨此身,1
45,此身何,1
46,身何處,1
47,何處老,1
48,處老始,1
49,老始皇,1
50,始皇橋,1
51,皇橋畔,1
52,橋畔又,1
53,畔又經,1
54,又經年,1
