排名,詞彙,出現次數
1,十年學道困窮廬,1
2,年學道困窮廬空,1
3,學道困窮廬空有,1
4,道困窮廬空有長,1
5,困窮廬空有長才,1
6,窮廬空有長才重,1
7,廬空有長才重老,1
8,空有長才重老儒,1
9,有長才重老儒功,1
10,長才重老儒功業,1
11,才重老儒功業要,1
12,重老儒功業要當,1
13,老儒功業要當垂,1
14,儒功業要當垂永,1
15,功業要當垂永久,1
16,業要當垂永久利,1
17,要當垂永久利名,1
18,當垂永久利名那,1
19,垂永久利名那得,1
20,永久利名那得在,1
21,久利名那得在須,1
22,利名那得在須臾,1
23,名那得在須臾山,1
24,那得在須臾山中,1
25,得在須臾山中荊,1
26,在須臾山中荊璞,1
27,須臾山中荊璞誰,1
28,臾山中荊璞誰知,1
29,山中荊璞誰知玉,1
30,中荊璞誰知玉海,1
31,荊璞誰知玉海底,1
32,璞誰知玉海底驪,1
33,誰知玉海底驪龍,1
34,知玉海底驪龍不,1
35,玉海底驪龍不見,1
36,海底驪龍不見珠,1
37,底驪龍不見珠寄,1
38,驪龍不見珠寄語,1
39,龍不見珠寄語故,1
40,不見珠寄語故人,1
41,見珠寄語故人休,1
42,珠寄語故人休悵,1
43,寄語故人休悵怏,1
44,語故人休悵怏古,1
45,故人休悵怏古來,1
46,人休悵怏古來賢,1
47,休悵怏古來賢達,1
48,悵怏古來賢達事,1
49,怏古來賢達事多,1
50,古來賢達事多殊,1
51,來賢達事多殊銜,1
52,賢達事多殊銜杯,1
53,達事多殊銜杯誰,1
54,事多殊銜杯誰道,1
55,多殊銜杯誰道易,1
56,殊銜杯誰道易更,1
57,銜杯誰道易更闌,1
58,杯誰道易更闌沉,1
59,誰道易更闌沉醉,1
60,道易更闌沉醉歸,1
61,易更闌沉醉歸來,1
62,更闌沉醉歸來不,1
63,闌沉醉歸來不自,1
64,沉醉歸來不自歡,1
65,醉歸來不自歡惆,1
66,歸來不自歡惆悵,1
67,來不自歡惆悵後,1
68,不自歡惆悵後時,1
69,自歡惆悵後時孤,1
70,歡惆悵後時孤劍,1
71,惆悵後時孤劍冷,1
72,悵後時孤劍冷寂,1
73,後時孤劍冷寂寥,1
74,時孤劍冷寂寥無,1
75,孤劍冷寂寥無寐,1
76,劍冷寂寥無寐一,1
77,冷寂寥無寐一燈,1
78,寂寥無寐一燈殘,1
79,寥無寐一燈殘竹,1
80,無寐一燈殘竹窗,1
81,寐一燈殘竹窗涼,1
82,一燈殘竹窗涼雨,1
83,燈殘竹窗涼雨鳴,1
84,殘竹窗涼雨鳴秋,1
85,竹窗涼雨鳴秋籟,1
86,窗涼雨鳴秋籟江,1
87,涼雨鳴秋籟江郭,1
88,雨鳴秋籟江郭清,1
89,鳴秋籟江郭清砧,1
90,秋籟江郭清砧搗,1
91,籟江郭清砧搗夜,1
92,江郭清砧搗夜寒,1
93,郭清砧搗夜寒多,1
94,清砧搗夜寒多少,1
95,砧搗夜寒多少客,1
96,搗夜寒多少客懷,1
97,夜寒多少客懷消,1
98,寒多少客懷消不,1
99,多少客懷消不得,1
100,少客懷消不得臨,1
101,客懷消不得臨風,1
102,懷消不得臨風搔,1
103,消不得臨風搔首,1
104,不得臨風搔首浩,1
105,得臨風搔首浩漫,1
106,臨風搔首浩漫漫,1
107,風搔首浩漫漫未,1
108,搔首浩漫漫未秋,1
109,首浩漫漫未秋為,1
110,浩漫漫未秋為別,1
111,漫漫未秋為別已,1
112,漫未秋為別已終,1
113,未秋為別已終秋,1
114,秋為別已終秋咫,1
115,為別已終秋咫尺,1
116,別已終秋咫尺婁,1
117,已終秋咫尺婁江,1
118,終秋咫尺婁江路,1
119,秋咫尺婁江路阻,1
120,咫尺婁江路阻修,1
121,尺婁江路阻修心,1
122,婁江路阻修心上,1
123,江路阻修心上惟,1
124,路阻修心上惟君,1
125,阻修心上惟君知,1
126,修心上惟君知委,1
127,心上惟君知委曲,1
128,上惟君知委曲眼,1
129,惟君知委曲眼前,1
130,君知委曲眼前獨,1
131,知委曲眼前獨我,1
132,委曲眼前獨我逐,1
133,曲眼前獨我逐漂,1
134,眼前獨我逐漂流,1
135,前獨我逐漂流從,1
136,獨我逐漂流從來,1
137,我逐漂流從來姑,1
138,逐漂流從來姑息,1
139,漂流從來姑息難,1
140,流從來姑息難為,1
141,從來姑息難為好,1
142,來姑息難為好到,1
143,姑息難為好到底,1
144,息難為好到底依,1
145,難為好到底依棲,1
146,為好到底依棲總,1
147,好到底依棲總是,1
148,到底依棲總是諏,1
149,底依棲總是諏西,1
150,依棲總是諏西望,1
151,棲總是諏西望家,1
152,總是諏西望家山,1
153,是諏西望家山成,1
154,諏西望家山成浩,1
155,西望家山成浩歎,1
156,望家山成浩歎臨,1
157,家山成浩歎臨風,1
158,山成浩歎臨風搔,1
159,成浩歎臨風搔首,1
160,浩歎臨風搔首不,1
161,歎臨風搔首不勝,1
162,臨風搔首不勝愁,1
163,風搔首不勝愁雨,1
164,搔首不勝愁雨晴,1
165,首不勝愁雨晴江,1
166,不勝愁雨晴江館,1
167,勝愁雨晴江館柳,1
168,愁雨晴江館柳依,1
169,雨晴江館柳依依,1
170,晴江館柳依依握,1
171,江館柳依依握手,1
172,館柳依依握手那,1
173,柳依依握手那堪,1
174,依依握手那堪此,1
175,依握手那堪此別,1
176,握手那堪此別離,1
177,手那堪此別離獨,1
178,那堪此別離獨鶴,1
179,堪此別離獨鶴孤,1
180,此別離獨鶴孤琴,1
181,別離獨鶴孤琴隨,1
182,離獨鶴孤琴隨遠,1
183,獨鶴孤琴隨遠旆,1
184,鶴孤琴隨遠旆紅,1
185,孤琴隨遠旆紅亭,1
186,琴隨遠旆紅亭綠,1
187,隨遠旆紅亭綠酒,1
188,遠旆紅亭綠酒惜,1
189,旆紅亭綠酒惜分,1
190,紅亭綠酒惜分岐,1
191,亭綠酒惜分岐月,1
192,綠酒惜分岐月明,1
193,酒惜分岐月明野,1
194,惜分岐月明野店,1
195,分岐月明野店聞,1
196,岐月明野店聞雞,1
197,月明野店聞雞早,1
198,明野店聞雞早花,1
199,野店聞雞早花暗,1
200,店聞雞早花暗關,1
201,聞雞早花暗關城,1
202,雞早花暗關城匹,1
203,早花暗關城匹馬,1
204,花暗關城匹馬遲,1
205,暗關城匹馬遲後,1
206,關城匹馬遲後夜,1
207,城匹馬遲後夜定,1
208,匹馬遲後夜定知,1
209,馬遲後夜定知相,1
210,遲後夜定知相憶,1
211,後夜定知相憶處,1
212,夜定知相憶處東,1
213,定知相憶處東風,1
214,知相憶處東風回,1
215,相憶處東風回首,1
216,憶處東風回首不,1
217,處東風回首不勝,1
218,東風回首不勝悲,1
219,風回首不勝悲卜,1
220,回首不勝悲卜築,1
221,首不勝悲卜築藏,1
222,不勝悲卜築藏修,1
223,勝悲卜築藏修地,1
224,悲卜築藏修地自,1
225,卜築藏修地自偏,1
226,築藏修地自偏尊,1
227,藏修地自偏尊前,1
228,修地自偏尊前詩,1
229,地自偏尊前詩酒,1
230,自偏尊前詩酒集,1
231,偏尊前詩酒集群,1
232,尊前詩酒集群賢,1
233,前詩酒集群賢半,1
234,詩酒集群賢半岩,1
235,酒集群賢半岩松,1
236,集群賢半岩松暝,1
237,群賢半岩松暝時,1
238,賢半岩松暝時藏,1
239,半岩松暝時藏鶴,1
240,岩松暝時藏鶴一,1
241,松暝時藏鶴一枕,1
242,暝時藏鶴一枕秋,1
243,時藏鶴一枕秋聲,1
244,藏鶴一枕秋聲夜,1
245,鶴一枕秋聲夜聽,1
246,一枕秋聲夜聽泉,1
247,枕秋聲夜聽泉風,1
248,秋聲夜聽泉風月,1
249,聲夜聽泉風月謾,1
250,夜聽泉風月謾勞,1
251,聽泉風月謾勞酬,1
