排名,詞彙,出現次數
1,駟馬上太行,2
2,馬上太行修,2
3,上太行修途,2
4,太行修途亙,2
5,行修途亙遼,2
6,修途亙遼碣,2
7,途亙遼碣王,2
8,亙遼碣王程,2
9,遼碣王程無,2
10,碣王程無留,2
11,王程無留駕,2
12,程無留駕日,2
13,無留駕日昃,2
14,留駕日昃未,2
15,駕日昃未遑,2
16,日昃未遑歇,2
17,昃未遑歇請,2
18,未遑歇請問,2
19,遑歇請問此,2
20,歇請問此何,2
21,請問此何時,2
22,問此何時恢,2
23,此何時恢台,2
24,何時恢台朱,2
25,時恢台朱明,2
26,恢台朱明月,2
27,台朱明月長,2
28,朱明月長蛇,2
29,明月長蛇稽,2
30,月長蛇稽天,2
31,長蛇稽天討,2
32,蛇稽天討上,2
33,稽天討上將,2
34,天討上將方,2
35,討上將方北,2
36,上將方北伐,2
37,將方北伐明,2
38,方北伐明主,2
39,北伐明主命,2
40,伐明主命使,2
41,明主命使臣,2
42,主命使臣皇,2
43,命使臣皇華,2
44,使臣皇華得,2
45,臣皇華得時,2
46,皇華得時傑,2
47,華得時傑已,2
48,得時傑已忘,2
49,時傑已忘羊,2
50,傑已忘羊腸,2
51,已忘羊腸險,2
52,忘羊腸險豈,2
53,羊腸險豈憚,2
54,思紆結炎雲,2
55,紆結炎雲如,2
56,結炎雲如煙,2
57,炎雲如煙火,2
58,雲如煙火溪,2
59,如煙火溪穀,2
60,煙火溪穀將,2
61,火溪穀將恐,2
62,溪穀將恐竭,2
63,穀將恐竭晝,2
64,將恐竭晝景,2
65,恐竭晝景赩,2
66,竭晝景赩可,2
67,晝景赩可畏,2
68,景赩可畏涼,2
69,赩可畏涼飆,2
70,可畏涼飆何,2
71,畏涼飆何由,2
72,涼飆何由發,2
73,飆何由發山,2
74,何由發山長,2
75,由發山長飛,2
76,發山長飛鳥,2
77,山長飛鳥墮,2
78,長飛鳥墮目,2
79,飛鳥墮目極,2
80,鳥墮目極行,2
81,墮目極行車,2
82,目極行車絕,2
83,極行車絕趙,2
84,行車絕趙魏,2
85,車絕趙魏方,2
86,絕趙魏方俶,2
87,趙魏方俶擾,2
88,魏方俶擾安,2
89,方俶擾安危,2
90,俶擾安危俟,2
91,擾安危俟明,2
92,安危俟明哲,2
93,危俟明哲歸,2
94,俟明哲歸路,2
95,明哲歸路豈,2
96,哲歸路豈不,2
97,歸路豈不懷,2
98,路豈不懷飲,2
99,豈不懷飲冰,2
100,不懷飲冰有,2
101,懷飲冰有苦,2
102,飲冰有苦節,2
103,冰有苦節會,2
104,有苦節會同,2
105,苦節會同傳,2
106,節會同傳檄,2
107,會同傳檄至,2
108,同傳檄至疑,2
109,傳檄至疑議,2
110,檄至疑議立,2
