排名,詞彙,出現次數
1,東陸和風至,1
2,陸和風至先,1
3,和風至先開,1
4,風至先開上,1
5,至先開上苑,1
6,先開上苑花,1
7,開上苑花穠,1
8,上苑花穠枝,1
9,苑花穠枝藏,1
10,花穠枝藏宿,1
11,穠枝藏宿鳥,1
12,枝藏宿鳥香,1
13,藏宿鳥香蕊,1
14,宿鳥香蕊拂,1
15,鳥香蕊拂行,1
16,香蕊拂行車,1
17,蕊拂行車散,1
18,拂行車散白,1
19,行車散白憐,1
20,車散白憐晴,1
21,散白憐晴日,1
22,白憐晴日舒,1
23,憐晴日舒紅,1
24,晴日舒紅愛,1
25,日舒紅愛晚,1
26,舒紅愛晚霞,1
27,紅愛晚霞桃,1
28,愛晚霞桃間,1
29,晚霞桃間留,1
30,霞桃間留禦,1
31,桃間留禦馬,1
32,間留禦馬梅,1
33,留禦馬梅處,1
34,禦馬梅處入,1
35,馬梅處入胡,1
36,梅處入胡笳,1
37,處入胡笳城,1
38,入胡笳城郭,1
39,胡笳城郭連,1
40,笳城郭連增,1
41,城郭連增媚,1
42,郭連增媚樓,1
43,連增媚樓臺,1
44,增媚樓臺映,1
45,媚樓臺映轉,1
46,樓臺映轉華,1
47,臺映轉華豈,1
48,映轉華豈同,1
49,轉華豈同幽,1
50,華豈同幽谷,1
51,豈同幽谷草,1
52,同幽谷草春,1
53,幽谷草春至,1
54,谷草春至發,1
55,草春至發猶,1
56,春至發猶賒,1
