排名,詞彙,出現次數
1,魚上冰北,1
2,上冰北陸,1
3,冰北陸收,1
4,北陸收寒,1
5,陸收寒盡,1
6,收寒盡東,1
7,寒盡東風,1
8,盡東風解,1
9,東風解凍,1
10,風解凍初,1
11,解凍初冰,1
12,凍初冰消,1
13,初冰消通,1
14,冰消通淺,1
15,消通淺溜,1
16,通淺溜氣,1
17,淺溜氣變,1
18,溜氣變躍,1
19,氣變躍潛,1
20,變躍潛魚,1
21,躍潛魚魚,1
22,潛魚魚上,1
23,魚魚上冰,1
24,魚上冰應,1
25,上冰應節,1
26,冰應節似,1
27,應節似知,1
28,節似知化,1
29,似知化揚,1
30,知化揚鬐,1
31,化揚鬐任,1
32,揚鬐任所,1
33,鬐任所如,1
34,任所如浮,1
35,所如浮沉,1
36,如浮沉非,1
37,浮沉非樂,1
38,沉非樂藻,1
39,非樂藻沿,1
40,樂藻沿溯,1
41,藻沿溯異,1
42,沿溯異傳,1
43,溯異傳書,1
44,異傳書魚,1
45,傳書魚上,1
46,書魚上冰,1
47,魚上冰結,1
48,上冰結網,1
49,冰結網時,1
50,結網時空,1
51,網時空久,1
52,時空久臨,1
53,空久臨川,1
54,久臨川意,1
55,臨川意有,1
56,川意有餘,1
57,意有餘為,1
58,有餘為龍,1
59,餘為龍將,1
60,為龍將可,1
61,龍將可望,1
62,將可望今,1
63,可望今日,1
64,望今日愧,1
65,今日愧才,1
66,日愧才虛,1
