排名,詞彙,出現次數
1,奉答燕公,6
2,自荊湖入,2
3,遊灉湖上,2
4,答燕公郡,1
5,燕公郡遠,1
6,公郡遠途,1
7,郡遠途且,1
8,遠途且艱,1
9,途且艱宜,1
10,且艱宜悲,1
11,艱宜悲良,1
12,宜悲良自,1
13,悲良自得,1
14,良自得胡,1
15,自得胡為,1
16,得胡為心,1
17,胡為心獨,1
18,為心獨爾,1
19,心獨爾惠,1
20,獨爾惠好,1
21,爾惠好在,1
22,惠好在南,1
23,好在南國,1
24,在南國奉,1
25,南國奉答,1
26,國奉答燕,1
27,答燕公亦,1
28,燕公亦既,1
29,公亦既清,1
30,亦既清顏,1
31,既清顏披,1
32,清顏披冏,1
33,顏披冏然,1
34,披冏然良,1
35,冏然良願,1
36,然良願克,1
37,良願克與,1
38,願克與君,1
39,克與君蘭,1
40,與君蘭時,1
41,君蘭時會,1
42,蘭時會群,1
43,時會群物,1
44,會群物如,1
45,群物如藻,1
46,物如藻飾,1
47,如藻飾奉,1
48,藻飾奉答,1
49,飾奉答燕,1
50,答燕公煙,1
51,燕公煙景,1
52,公煙景惜,1
53,煙景惜歡,1
54,景惜歡賞,1
55,惜歡賞雲,1
56,歡賞雲山,1
57,賞雲山起,1
58,雲山起翰,1
59,山起翰墨,1
60,起翰墨接,1
61,翰墨接藝,1
62,墨接藝奇,1
63,接藝奇思,1
64,藝奇思微,1
65,奇思微偶,1
66,思微偶談,1
67,微偶談玄,1
68,偶談玄言,1
69,談玄言直,1
70,玄言直奉,1
71,言直奉答,1
72,直奉答燕,1
73,答燕公永,1
74,燕公永日,1
75,公永日不,1
76,永日不知,1
77,日不知倦,1
78,不知倦逾,1
79,知倦逾旬,1
80,倦逾旬猶,1
81,逾旬猶謂,1
82,旬猶謂亟,1
83,猶謂亟如,1
84,謂亟如何,1
85,亟如何酌,1
86,如何酌離,1
87,何酌離尊,1
88,酌離尊移,1
89,離尊移棹,1
90,尊移棹巴,1
91,移棹巴城,1
92,棹巴城側,1
93,巴城側奉,1
94,城側奉答,1
95,側奉答燕,1
96,答燕公浦,1
97,燕公浦口,1
98,公浦口勞,1
99,浦口勞長,1
100,口勞長望,1
101,勞長望舟,1
102,長望舟中,1
103,望舟中獨,1
104,舟中獨太,1
105,中獨太息,1
106,獨太息疾,1
107,太息疾風,1
108,息疾風吹,1
109,疾風吹飛,1
110,風吹飛帆,1
111,吹飛帆倏,1
112,飛帆倏忽,1
113,帆倏忽南,1
114,倏忽南與,1
115,忽南與北,1
116,南與北奉,1
117,與北奉答,1
118,北奉答燕,1
119,答燕公目,1
120,燕公目盡,1
121,公目盡不,1
122,目盡不復,1
123,盡不復見,1
124,不復見懷,1
125,復見懷哉,1
126,見懷哉無,1
127,懷哉無終,1
128,哉無終極,1
129,無終極唯,1
130,終極唯當,1
131,極唯當衡,1
132,唯當衡峰,1
133,當衡峰上,1
134,衡峰上遙,1
135,峰上遙辨,1
136,上遙辨湖,1
137,遙辨湖水,1
138,辨湖水色,1
139,湖水色美,1
140,水色美女,1
141,色美女篇,1
142,美女篇東,1
143,女篇東鄰,1
144,篇東鄰美,1
145,東鄰美女,1
146,鄰美女實,1
147,美女實名,1
148,女實名倡,1
149,實名倡絕,1
150,名倡絕代,1
151,倡絕代容,1
152,絕代容華,1
153,代容華無,1
154,容華無比,1
155,華無比方,1
156,無比方濃,1
157,比方濃纖,1
158,方濃纖得,1
159,濃纖得中,1
160,纖得中非,1
161,得中非短,1
162,中非短長,1
163,非短長紅,1
