排名,詞彙,出現次數
1,兮,8
2,葉,6
3,樹,5
4,無,5
5,不,5
6,花,4
7,酒,4
8,風,4
9,棖,4
10,君,4
11,下,3
12,舞,3
13,雲,3
14,引,3
15,白,3
16,水,3
17,聲,3
18,去,3
19,後,3
20,出,3
21,木,3
22,時,3
23,疏,3
24,日,3
25,成,3
26,若,3
27,蓪,2
28,草,2
29,頭,2
30,椰,2
31,裙,2
32,蒲,2
33,葵,2
34,蠻,2
35,領,2
36,望,2
37,江,2
38,遙,2
39,滴,2
40,蘋,2
41,起,2
42,生,2
43,文,2
44,山,2
45,響,2
46,答,2
47,琵,2
48,琶,2
49,濕,2
50,青,2
51,莎,2
52,肉,2
53,飼,2
54,鴉,2
55,神,2
56,紙,2
57,錢,2
58,灰,2
59,綿,2
60,波,2
61,洋,2
62,凝,2
63,公,2
64,渡,2
65,河,2
66,看,2
67,入,2
68,中,2
69,深,2
70,蛟,2
71,螭,2
72,盡,2
73,當,2
74,何,2
75,銜,2
76,心,2
77,寒,2
78,聳,2
79,自,2
80,陰,2
81,意,2
82,節,2
83,孤,2
84,遣,2
85,是,2
86,翠,2
87,主,2
88,莫,2
89,人,2
90,嫌,2
91,宮,2
92,一,2
93,語,2
94,多,2
95,濁,1
96,曉,1
97,霧,1
98,竟,1
99,號,1
100,激,1
101,呼,1
102,聞,1
103,提,1
104,壺,1
105,流,1
106,浪,1
107,擺,1
108,衣,1
109,裳,1
110,隨,1
111,步,1
112,沒,1
113,沉,1
114,屍,1
115,窟,1
116,醉,1
117,血,1
118,幹,1
119,推,1
120,黃,1
121,沙,1
122,泛,1
123,骨,1
124,死,1
125,妾,1
126,適,1
127,遂,1
128,就,1
129,濤,1
130,合,1
131,魂,1
132,魄,1
133,願,1
134,持,1
135,精,1
136,衛,1
137,石,1
138,窮,1
139,取,1
140,源,1
141,塞,1
142,泉,1
143,脈,1
144,松,1
145,拔,1
146,倚,1
147,蒼,1
148,岑,1
149,綠,1
150,扶,1
151,結,1
152,丁,1
153,固,1
154,夢,1
155,還,1
156,有,1
157,秦,1
158,王,1
159,封,1
160,豈,1
161,常,1
162,將,1
163,正,1
164,棲,1
165,鶴,1
166,高,1
167,枝,1
168,宿,1
169,眾,1
170,禽,1
171,好,1
172,特,1
173,凋,1
174,群,1
175,護,1
176,霜,1
177,淩,1
178,雪,1
179,逾,1
180,庭,1
181,竹,1
182,森,1
183,玉,1
184,質,1
185,色,1
186,包,1
187,蔥,1
188,碧,1
189,琅,1
190,玕,1
191,筠,1
192,樂,1
193,湘,1
194,娥,1
195,淚,1
196,斑,1
197,籜,1
198,堪,1
199,裁,1
200,漢,1
201,冠,1
202,韻,1
203,含,1
204,已,1
205,蕭,1
206,瑟,1
207,媚,1
208,漣,1
209,淥,1
210,更,1
211,檀,1
212,欒,1
213,此,1
214,鳳,1
215,為,1
216,龍,1
217,稍,1
218,直,1
219,上,1
220,怨,1
221,工,1
222,醜,1
223,畫,1
224,身,1
225,明,1
226,和,1
227,親,1
228,嫁,1
229,胡,1
230,虜,1
231,只,1
232,曷,1
233,東,1
234,園,1
235,桃,1
236,與,1
237,李,1
238,果,1
239,蟬,1
240,噪,1
241,古,1
242,槐,1
243,斜,1
244,映,1
245,城,1
246,欲,1
247,知,1
248,潘,1
249,鬢,1
250,愁,1
251,少,1
252,夜,1
253,新,1
254,添,1
255,數,1
256,莖,1
257,海,1
258,燕,1
259,雙,1
260,飛,1
261,曲,1
262,梁,1
263,嘔,1
264,嘎,1
265,茅,1
266,簷,1
267,必,1
268,卑,1
269,陋,1
270,猶,1
271,勝,1
272,吳,1
273,爇,1
274,爾,1
275,窠,1
