排名,詞彙,出現次數
1,故人不可,4
2,人不可見,3
3,玉靶角弓,2
4,靶角弓珠,2
5,角弓珠勒,2
6,弓珠勒馬,2
7,珠勒馬漢,2
8,勒馬漢家,2
9,馬漢家將,2
10,漢家將賜,2
11,家將賜霍,2
12,將賜霍嫖,2
13,賜霍嫖姚,2
14,十裏一走,2
15,裏一走馬,2
16,一走馬五,2
17,走馬五裏,2
18,馬五裏一,2
19,五裏一揚,2
20,裏一揚鞭,2
21,一揚鞭都,2
22,揚鞭都護,2
23,鞭都護軍,2
24,都護軍書,2
25,護軍書至,2
26,軍書至匈,2
27,書至匈奴,2
28,至匈奴圍,2
29,匈奴圍酒,2
30,奴圍酒泉,2
31,圍酒泉關,2
32,酒泉關山,2
33,泉關山正,2
34,關山正飛,2
35,山正飛雪,2
36,正飛雪烽,2
37,飛雪烽戍,2
38,雪烽戍斷,2
39,烽戍斷無,2
40,戍斷無煙,2
41,玉窗螢影,2
42,窗螢影度,2
43,螢影度金,2
44,影度金殿,2
45,度金殿人,2
46,金殿人聲,2
47,殿人聲絕,2
48,人聲絕秋,2
49,聲絕秋夜,2
50,絕秋夜守,2
51,秋夜守羅,2
52,孤燈耿不,2
53,燈耿不滅,2
54,耿不滅宮,2
55,不滅宮殿,2
56,滅宮殿生,2
57,宮殿生秋,2
58,殿生秋草,2
59,生秋草君,2
60,秋草君王,2
61,草君王恩,2
62,君王恩幸,2
63,王恩幸疏,2
64,恩幸疏那,2
65,幸疏那堪,2
66,疏那堪聞,2
67,那堪聞鳳,2
68,堪聞鳳吹,2
69,聞鳳吹門,2
70,鳳吹門外,2
71,吹門外度,2
72,門外度金,2
73,外度金輿,2
74,度金輿怪,2
75,金輿怪來,2
76,輿怪來妝,2
77,怪來妝閣,2
78,來妝閣閉,2
79,妝閣閉朝,2
80,閣閉朝下,2
81,閉朝下不,2
82,朝下不相,2
83,下不相迎,2
84,不相迎總,2
85,相迎總向,2
86,迎總向春,2
87,總向春園,2
88,向春園裏,2
89,春園裏花,2
90,園裏花間,2
