排名,詞彙,出現次數
1,南至日隔,3
2,奉陪武相,2
3,陪武相芳,1
4,武相芳氣,1
5,相芳氣襲,1
6,芳氣襲猗,1
7,氣襲猗蘭,1
8,襲猗蘭青,1
9,猗蘭青雲,1
10,蘭青雲展,1
11,青雲展舊,1
12,雲展舊歡,1
13,展舊歡仙,1
14,舊歡仙來,1
15,歡仙來紅,1
16,仙來紅燭,1
17,來紅燭下,1
18,紅燭下花,1
19,燭下花發,1
20,下花發彩,1
21,花發彩毫,1
22,發彩毫端,1
23,彩毫端奉,1
24,毫端奉陪,1
25,端奉陪武,1
26,陪武相海,1
27,武相海岳,1
28,相海岳期,1
29,海岳期方,1
30,岳期方遠,1
31,期方遠松,1
32,方遠松筠,1
33,遠松筠歲,1
34,松筠歲正,1
35,筠歲正寒,1
36,歲正寒仍,1
37,正寒仍聞,1
38,寒仍聞言,1
39,仍聞言贈,1
40,聞言贈處,1
41,言贈處一,1
42,贈處一字,1
43,處一字重,1
44,一字重琅,1
45,字重琅玕,1
46,重琅玕南,1
47,琅玕南至,1
48,玕南至日,1
49,至日隔抗,1
50,日隔抗殿,1
51,隔抗殿疏,1
52,抗殿疏龍,1
53,殿疏龍首,1
54,疏龍首高,1
55,龍首高高,1
56,首高高接,1
57,高高接上,1
58,高接上玄,1
59,接上玄節,1
60,上玄節當,1
61,玄節當南,1
62,節當南至,1
63,當南至日,1
64,南至日星,1
65,至日星是,1
66,日星是北,1
67,星是北辰,1
68,是北辰天,1
69,北辰天南,1
70,辰天南至,1
71,天南至日,1
72,至日隔寶,1
73,日隔寶戟,1
74,隔寶戟羅,1
75,寶戟羅仙,1
76,戟羅仙仗,1
77,羅仙仗金,1
78,仙仗金爐,1
79,仗金爐引,1
80,金爐引禦,1
81,爐引禦煙,1
82,引禦煙霏,1
83,禦煙霏微,1
84,煙霏微雙,1
85,霏微雙闕,1
86,微雙闕麗,1
87,雙闕麗容,1
88,闕麗容曳,1
89,麗容曳九,1
90,容曳九門,1
91,曳九門連,1
92,九門連南,1
93,門連南至,1
94,連南至日,1
95,至日隔拂,1
96,日隔拂曙,1
97,隔拂曙祥,1
98,拂曙祥光,1
99,曙祥光滿,1
100,祥光滿分,1
101,光滿分晴,1
102,滿分晴瑞,1
103,分晴瑞色,1
104,晴瑞色鮮,1
105,瑞色鮮一,1
106,色鮮一陽,1
107,鮮一陽今,1
108,一陽今在,1
109,陽今在曆,1
110,今在曆生,1
111,在曆生植,1
112,曆生植仰,1
113,生植仰陶,1
114,植仰陶甄,1
