排名,詞彙,出現次數
1,何當一,2
2,當一夕,2
3,一夕金,2
4,夕金風,2
5,金風發,2
6,風發為,2
7,發為我,2
8,為我掃,2
9,我掃卻,2
10,掃卻天,2
11,卻天下,2
12,天下熱,2
13,紅霞爛,2
14,下熱媧,1
15,熱媧皇,1
16,媧皇遺,1
17,皇遺音,1
18,遺音寄,1
19,音寄玉,1
20,寄玉笙,1
21,玉笙雙,1
22,笙雙成,1
23,雙成傳,1
24,成傳得,1
25,傳得何,1
26,得何淒,1
27,何淒清,1
28,淒清丹,1
29,清丹穴,1
30,丹穴嬌,1
31,穴嬌雛,1
32,嬌雛七,1
33,雛七十,1
34,七十只,1
35,十只一,1
36,只一時,1
37,一時飛,1
38,時飛上,1
39,飛上秋,1
40,上秋天,1
41,秋天鳴,1
42,天鳴水,1
43,鳴水泉,1
44,水泉迸,1
45,泉迸瀉,1
46,迸瀉急,1
47,瀉急相,1
48,急相續,1
49,相續一,1
50,續一束,1
51,一束宮,1
52,束宮商,1
53,宮商裂,1
54,商裂寒,1
55,裂寒玉,1
56,寒玉旖,1
57,玉旖旎,1
58,旖旎香,1
59,旎香風,1
60,香風繞,1
61,風繞指,1
62,繞指生,1
63,指生千,1
64,生千聲,1
65,千聲妙,1
66,聲妙盡,1
67,妙盡神,1
68,盡神仙,1
69,神仙曲,1
70,仙曲曲,1
71,曲曲終,1
72,曲終滿,1
73,終滿席,1
74,滿席悄,1
75,席悄無,1
76,悄無語,1
77,無語巫,1
78,語巫山,1
79,巫山冷,1
80,山冷碧,1
81,冷碧愁,1
82,碧愁雲,1
83,愁雲雨,1
84,雲雨寰,1
85,雨寰海,1
86,寰海沸,1
87,海沸兮,1
88,沸兮爭,1
89,兮爭戰,1
90,爭戰苦,1
91,戰苦風,1
92,苦風雲,1
93,風雲愁,1
94,雲愁兮,1
95,愁兮會,1
96,兮會龍,1
97,會龍虎,1
98,龍虎四,1
99,虎四百,1
100,四百年,1
101,百年漢,1
102,年漢欲,1
103,漢欲開,1
104,欲開基,1
105,開基項,1
106,基項莊,1
107,項莊一,1
108,莊一劍,1
109,一劍何,1
110,劍何虛,1
111,何虛舞,1
112,虛舞殊,1
113,舞殊不,1
114,殊不知,1
115,不知人,1
116,知人心,1
117,人心去,1
118,心去暴,1
119,去暴秦,1
120,暴秦天,1
121,秦天意,1
122,天意歸,1
123,意歸明,1
124,歸明主,1
125,明主項,1
126,主項王,1
127,項王足,1
128,王足底,1
129,足底踏,1
130,底踏漢,1
131,踏漢土,1
132,漢土席,1
133,土席上,1
134,席上相,1
135,上相看,1
136,相看渾,1
137,看渾未,1
138,渾未悟,1
139,未悟陳,1
140,悟陳宮,1
141,陳宮內,1
142,宮內宴,1
143,內宴明,1
144,宴明朝,1
145,明朝日,1
146,朝日玉,1
147,日玉樹,1
148,玉樹新,1
149,樹新妝,1
150,新妝逞,1
151,妝逞嬌,1
152,逞嬌逸,1
153,嬌逸三,1
154,逸三閣,1
155,三閣霞,1
156,閣霞明,1
157,霞明天,1
158,明天上,1
159,天上開,1
160,上開靈,1
161,開靈鼉,1
162,靈鼉振,1
163,鼉振擂,1
164,振擂神,1
165,擂神仙,1
166,神仙出,1
167,仙出天,1
168,出天花,1
169,天花數,1
170,花數朵,1
171,數朵風,1
172,朵風吹,1
173,風吹綻,1
174,吹綻對,1
175,綻對舞,1
176,對舞輕,1
177,舞輕盈,1
178,輕盈瑞,1
179,盈瑞香,1
180,瑞香散,1
181,香散金,1
182,散金管,1
183,金管紅,1
184,管紅弦,1
185,紅弦旖,1
186,弦旖旎,1
187,旖旎隨,1
188,旎隨霓,1
189,隨霓旌,1
190,霓旌玉,1
191,旌玉佩,1
192,玉佩參,1
193,佩參差,1
194,參差轉,1
195,差轉璧,1
196,轉璧月,1
197,璧月夜,1
198,月夜滿,1
199,夜滿樓,1
200,滿樓風,1
201,樓風輕,1
202,風輕蓮,1
203,輕蓮舌,1
204,蓮舌泠,1
205,舌泠泠,1
206,泠泠詞,1
207,泠詞調,1
208,詞調新,1
209,調新當,1
210,新當行,1
211,當行狎,1
212,行狎客,1
213,狎客盡,1
214,客盡持,1
215,盡持祿,1
216,持祿直,1
217,祿直諫,1
218,直諫犯,1
219,諫犯顏,1
220,犯顏無,1
221,顏無一,1
222,無一人,1
223,一人歌,1
224,人歌舞,1
225,歌舞未,1
226,舞未終,1
227,未終樂,1
228,終樂未,1
229,樂未闋,1
230,未闋晉,1
231,闋晉王,1
232,晉王劍,1
233,王劍上,1
234,劍上粘,1
235,上粘腥,1
236,粘腥血,1
237,腥血君,1
238,血君臣,1
239,君臣猶,1
240,臣猶在,1
241,猶在醉,1
242,在醉鄉,1
243,醉鄉中,1
244,鄉中一,1
245,中一面,1
246,一面已,1
247,面已無,1
248,已無陳,1
249,無陳日,1
250,陳日月,1
251,日月聖,1
252,月聖唐,1
253,聖唐禦,1
254,唐禦宇,1
255,禦宇三,1
256,宇三百,1
257,三百祀,1
258,百祀濮,1
259,祀濮上,1
260,濮上桑,1
261,上桑間,1
262,桑間宜,1
263,間宜禁,1
264,宜禁止,1
265,禁止請,1
266,止請停,1
267,請停此,1
268,停此曲,1
269,此曲歸,1
270,曲歸正,1
271,歸正聲,1
272,正聲願,1
273,聲願將,1
274,願將雅,1
275,將雅樂,1
276,雅樂調,1
277,樂調元,1
278,調元氣,1
279,元氣祝,1
280,氣祝融,1
281,祝融南,1
282,融南來,1
283,南來鞭,1
284,來鞭火,1
285,鞭火龍,1
286,火龍火,1
287,龍火旗,1
288,火旗焰,1
289,旗焰焰,1
290,焰焰燒,1
291,焰燒天,1
292,燒天紅,1
293,天紅日,1
294,紅日輪,1
295,日輪當,1
296,輪當午,1
297,當午凝,1
298,午凝不,1
299,凝不去,1
300,不去萬,1
301,去萬國,1
302,萬國如,1
303,國如在,1
304,如在洪,1
305,在洪爐,1
306,洪爐中,1
307,爐中五,1
308,中五嶽,1
309,五嶽翠,1
310,嶽翠幹,1
311,翠幹雲,1
312,幹雲彩,1
313,雲彩滅,1
314,彩滅陽,1
315,滅陽侯,1
316,陽侯海,1
317,侯海底,1
318,海底愁,1
319,底愁波,1
320,愁波竭,1
321,波竭何,1
322,竭何當,1
323,下熱火,1
324,熱火輪,1
325,火輪迸,1
326,輪迸焰,1
327,迸焰燒,1
328,焰燒長,1
329,燒長空,1
330,長空浮,1
331,空浮埃,1
332,浮埃撲,1
333,埃撲面,1
334,撲面愁,1
335,面愁朦,1
336,愁朦朦,1
337,朦朦羸,1
338,朦羸童,1
339,羸童走,1
340,童走馬,1
341,走馬喘,1
342,馬喘不,1
343,喘不進,1
344,不進忽,1
345,進忽逢,1
346,忽逢碧,1
347,逢碧樹,1
348,碧樹含,1
349,樹含清,1
350,含清風,1
351,清風清,1
352,風清風,1
353,清風留,1
354,風留我,1
355,留我移,1
356,我移時,1
357,移時住,1
358,時住滿,1
359,住滿地,1
360,滿地濃,1
361,地濃陰,1
362,濃陰懶,1
363,陰懶前,1
364,懶前去,1
365,前去卻,1
366,去卻歎,1
367,卻歎人,1
368,歎人無,1
369,人無及,1
370,無及物,1
371,及物功,1
372,物功不,1
373,功不似,1
374,不似團,1
375,似團團,1
376,團團道,1
