排名,詞彙,出現次數
1,春,7
2,人,5
3,居,5
4,雨,4
5,後,4
6,亂,4
7,妾,3
8,在,3
9,吹,3
10,社,3
11,日,3
12,家,3
13,初,3
14,花,3
15,過,3
16,曲,3
17,古,2
18,意,2
19,夫,2
20,風,2
21,行,2
22,書,2
23,寒,2
24,到,2
25,無,2
26,散,2
27,得,2
28,晴,2
29,來,2
30,卻,2
31,鄰,2
32,江,2
33,有,2
34,不,2
35,似,2
36,故,2
37,友,2
38,別,2
39,僧,2
40,次,2
41,韻,2
42,和,2
43,盧,2
44,戍,1
45,蕭,1
46,關,1
47,吳,1
48,西,1
49,憂,1
50,一,1
51,信,1
52,千,1
53,淚,1
54,君,1
55,邊,1
56,衣,1
57,鵝,1
58,湖,1
59,山,1
60,下,1
61,稻,1
62,粱,1
63,肥,1
64,豚,1
65,柵,1
66,雞,1
67,棲,1
68,半,1
69,掩,1
70,扉,1
71,桑,1
72,柘,1
73,影,1
74,斜,1
75,扶,1
76,醉,1
77,歸,1
78,前,1
79,見,1
80,間,1
81,蕊,1
82,兼,1
83,葉,1
84,裏,1
85,蛺,1
86,蝶,1
87,飛,1
88,牆,1
89,去,1
90,疑,1
91,色,1
92,憶,1
93,昔,1
94,爭,1
95,遊,1
96,水,1
97,濱,1
98,未,1
99,長,1
100,探,1
101,游,1
102,盡,1
103,空,1
104,池,1
105,直,1
106,至,1
107,深,1
108,笛,1
109,落,1
110,舊,1
111,今,1
112,已,1
113,兒,1
114,侄,1
115,皆,1
116,分,1
117,惆,1
118,悵,1
119,房,1
120,認,1
121,寄,1
122,看,1
123,恨,1
124,餘,1
125,香,1
126,宜,1
127,閒,1
128,靜,1
129,立,1
130,態,1
131,離,1
132,朵,1
133,密,1
134,紅,1
135,相,1
136,照,1
137,欄,1
138,低,1
139,畫,1
140,如,1
141,狂,1
142,任,1
143,最,1
144,共,1
145,野,1
146,疏,1
