排名,詞彙,出現次數
1,岩穴多,1
2,穴多遺,1
3,多遺秀,1
4,遺秀弓,1
5,秀弓車,1
6,弓車屢,1
7,車屢遠,1
8,屢遠招,1
9,遠招周,1
10,招周王,1
11,周王尊,1
12,王尊渭,1
13,尊渭叟,1
14,渭叟潁,1
15,叟潁客,1
16,潁客傲,1
17,客傲唐,1
18,傲唐堯,1
19,唐堯出,1
20,堯出處,1
21,出處天,1
22,處天波,1
23,天波洽,1
24,波洽關,1
25,洽關河,1
26,關河地,1
27,河地勢,1
28,地勢遙,1
29,勢遙瞻,1
30,遙瞻星,1
31,瞻星吳,1
32,星吳郡,1
33,吳郡夜,1
34,郡夜作,1
35,夜作霧,1
36,作霧華,1
37,霧華山,1
38,華山朝,1
39,山朝清,1
40,朝清論,1
41,清論虛,1
42,論虛重,1
43,虛重席,1
44,重席閒,1
45,席閒居,1
46,閒居掛,1
47,居掛一,1
48,掛一瓢,1
49,一瓢漁,1
50,瓢漁歌,1
51,漁歌思,1
52,歌思坐,1
53,思坐酌,1
54,坐酌宸,1
55,酌宸渥,1
56,宸渥寵,1
57,渥寵行,1
58,寵行軺,1
59,行軺春,1
60,軺春為,1
61,春為荷,1
62,為荷裳,1
63,荷裳暖,1
64,裳暖霜,1
65,暖霜因,1
66,霜因葛,1
67,因葛履,1
68,葛履消,1
69,履消層,1
70,消層崖,1
71,層崖懸,1
72,崖懸瀑,1
73,懸瀑溜,1
74,瀑溜萬,1
75,溜萬壑,1
76,萬壑振,1
77,壑振清,1
78,振清飆,1
79,清飆穀,1
80,飆穀鳥,1
81,穀鳥猶,1
82,鳥猶遷,1
83,猶遷木,1
84,遷木場,1
85,木場駒,1
86,場駒正,1
87,駒正食,1
88,正食苗,1
89,食苗謝,1
90,苗謝安,1
91,謝安何,1
92,安何日,1
93,何日起,1
94,日起台,1
95,起台鼎,1
96,台鼎佇,1
97,鼎佇君,1
98,佇君調,1
