排名,詞彙,出現次數
1,不,2504
2,人,1653
3,一,1538
4,無,1527
5,何,1238
6,有,1212
7,日,1171
8,君,1036
9,時,1020
10,來,1019
11,風,995
12,年,976
13,中,964
14,為,941
15,心,866
16,如,864
17,春,845
18,我,761
19,白,760
20,此,751
21,知,741
22,花,735
23,生,733
24,上,721
25,月,715
26,水,700
27,老,698
28,山,696
29,相,681
30,得,658
31,天,654
32,是,644
33,身,638
34,多,628
35,酒,623
36,未,610
37,三,610
38,自,609
39,與,604
40,下,586
41,今,579
42,夜,565
43,去,562
44,十,562
45,行,557
46,頭,533
47,在,531
48,前,516
49,長,512
50,雲,510
51,新,498
52,秋,498
53,事,488
54,處,469
55,聲,466
56,亦,459
57,朝,456
58,歸,435
59,門,431
60,見,431
61,家,422
62,同,417
63,江,413
64,明,410
65,閑,405
66,似,404
67,客,399
68,青,391
69,可,386
70,欲,384
71,開,381
72,道,380
73,深,379
74,東,376
75,盡,369
76,紅,367
77,間,366
78,作,362
79,少,360
80,馬,360
81,高,359
82,醉,358
83,詩,357
84,地,356
85,獨,355
86,思,352
87,後,349
88,回,348
89,南,347
90,清,343
91,已,342
92,病,342
93,誰,340
94,能,339
95,兩,335
96,出,333
97,別,330
98,落,327
99,非,325
100,情,325
101,聞,324
102,歌,320
103,應,320
104,入,320
105,猶,317
106,所,316
107,看,313
108,坐,312
109,千,311
110,成,310
111,寒,309
112,雪,308
113,者,307
114,子,307
115,從,304
116,好,300
117,金,299
118,五,299
119,樹,298
120,將,297
121,莫,296
122,西,296
123,四,296
124,苦,295
125,色,295
126,竹,292
127,遊,292
128,重,291
129,塵,290
130,安,286
131,唯,285
132,衣,283
133,言,283
134,歲,283
135,愁,282
136,小,279
137,雨,278
138,隨,274
139,分,274
140,池,273
141,須,270
142,陽,269
143,之,268
144,樂,266
145,官,266
146,城,264
147,複,264
148,其,263
149,然,263
150,愛,261
151,空,260
152,起,259
153,草,257
154,光,257
155,向,255
156,到,253
157,杯,252
158,萬,248
159,足,247
160,二,246
161,玉,245
162,葉,244
163,過,244
164,書,241
165,名,241
166,裏,240
167,問,238
168,意,237
169,石,237
170,氣,235
171,半,235
172,初,235
173,黃,234
174,且,233
175,百,233
176,晚,231
177,吟,230
178,舊,228
179,平,227
180,枝,225
181,物,222
182,更,222
183,先,221
184,以,221
185,餘,219
186,雖,219
187,故,219
188,還,218
189,難,216
190,路,214
191,外,213
192,香,213
193,眼,211
194,方,211
195,煙,210
196,林,210
197,望,209
198,大,208
199,當,207
200,州,207
201,衰,206
202,滿,206
203,吾,205
204,暮,203
205,樓,203
206,曲,203
207,若,202
208,留,202
209,陰,202
210,豈,201
211,又,201
212,居,201
213,因,201
214,語,199
215,北,198
216,憂,197
217,遠,195
218,松,195
219,綠,195
220,涼,194
221,世,194
222,終,192
223,宿,192
224,合,192
225,食,190
226,火,187
227,早,187
228,憶,186
229,歡,185
230,聽,185
231,手,183
232,暖,182
233,笑,182
234,殘,182
235,臥,181
236,死,180
237,忽,179
238,園,178
239,親,177
240,使,175
241,柳,175
242,鄉,175
243,飛,174
244,共,172
245,遲,170
246,飲,170
247,久,170
248,泉,170
249,始,169
250,散,169
251,鳥,166
252,幾,166
253,逢,165
254,常,165
255,憐,165
256,流,162
257,霜,161
258,紫,160
259,動,159
260,覺,159
261,對,159
262,主,158
263,魚,158
264,和,157
265,弦,157
266,忘,156
267,勝,155
268,貧,155
269,鶴,155
270,景,155
271,數,154
272,雙,153
273,洛,152
274,但,152
275,王,152
276,閒,151
277,興,150
278,辭,150
279,七,149
280,冷,148
281,夢,148
282,六,148
283,文,148
284,經,147
285,靜,145
286,伴,145
287,近,144
288,曾,144
289,朱,143
290,榮,143
291,顏,142
292,離,141
293,送,141
294,於,140
295,發,140
296,至,139
297,容,139
298,宮,139
299,力,139
300,鬢,139
301,往,139
302,蕭,139
303,窗,138
304,貴,137
305,都,137
306,才,137
307,尚,137
308,眠,137
309,虛,136
310,悲,136
311,尋,136
312,車,135
313,古,135
314,口,135
315,喜,135
316,即,134
317,低,134
318,華,134
319,龍,133
320,女,133
321,面,133
322,庭,132
323,波,132
324,海,132
325,邊,132
326,琴,132
327,移,131
328,夫,131
329,露,130
330,絲,130
331,連,130
332,里,130
333,用,129
334,九,129
335,正,129
336,立,129
337,漸,129
338,宜,128
339,及,128
340,碧,127
341,微,127
342,公,126
343,況,126
344,蒼,125
345,命,125
346,疏,125
347,燈,125
348,爾,124
349,泥,124
350,薄,124
351,銷,124
352,仙,124
353,念,123
354,太,123
355,皆,123
356,期,122
357,悠,122
358,亭,122
359,郡,122
360,恩,121
361,暗,121
362,通,120
363,輕,120
364,交,119
365,待,119
366,八,118
367,舟,118
368,寄,117
369,斷,117
370,轉,117
371,卻,116
372,夕,116
373,依,114
374,神,114
375,爭,114
376,堪,114
377,木,113
378,吹,113
379,休,113
380,舞,112
381,床,112
382,易,111
383,教,111
384,晴,110
385,湖,110
386,勞,110
387,形,109
388,堂,109
389,解,109
390,直,109
391,驚,109
392,只,109
393,仍,108
394,住,108
395,國,108
396,野,108
397,昏,108
398,照,108
399,臨,107
400,田,107
401,惜,107
402,芳,107
403,最,107
404,條,106
405,便,106
406,垂,105
407,緣,105
408,引,105
409,管,105
410,狂,105
411,幽,105
412,饑,104
413,土,104
414,由,104
415,士,104
416,閣,104
417,必,103
418,寺,103
419,窮,102
420,兒,102
421,步,102
422,信,102
423,性,101
424,徒,101
425,歎,101
426,計,101
427,沉,100
428,求,100
429,藥,100
430,慵,100
431,會,99
432,台,99
433,桃,99
434,翁,99
435,繞,99
436,賓,99
437,橋,98
438,放,98
439,迎,98
440,沙,97
441,變,96
442,感,96
443,昔,96
444,而,96
445,曉,96
446,關,96
447,勸,95
448,珠,95
449,船,94
450,眉,94
451,節,94
452,勿,94
453,睡,94
454,傷,93
455,影,93
456,羅,93
457,每,93
458,郎,92
459,取,92
460,鏡,92
461,元,92
462,村,92
463,種,92
464,悵,91
465,浮,90
466,化,90
467,賢,90
468,攜,90
469,他,90
470,寂,90
471,傳,89
472,被,89
473,逐,89
474,著,89
475,內,89
476,拂,89
477,飄,89
478,懷,89
479,報,88
480,遙,88
481,章,88
482,斜,88
483,爐,88
484,嗟,87
485,帶,87
486,守,87
487,各,86
488,楊,86
489,錢,86
490,僧,86
491,淚,85
492,張,85
493,銀,85
494,籠,85
