排名,詞彙,出現次數
1,候曉天門辟朝天,1
2,曉天門辟朝天萬,1
3,天門辟朝天萬國,1
4,門辟朝天萬國同,1
5,辟朝天萬國同瑞,1
6,朝天萬國同瑞雲,1
7,天萬國同瑞雲升,1
8,萬國同瑞雲升觀,1
9,國同瑞雲升觀闕,1
10,同瑞雲升觀闕香,1
11,瑞雲升觀闕香氣,1
12,雲升觀闕香氣映,1
13,升觀闕香氣映華,1
14,觀闕香氣映華宮,1
15,闕香氣映華宮日,1
16,香氣映華宮日色,1
17,氣映華宮日色臨,1
18,映華宮日色臨仙,1
19,華宮日色臨仙籞,1
20,宮日色臨仙籞龍,1
21,日色臨仙籞龍顏,1
22,色臨仙籞龍顏對,1
23,臨仙籞龍顏對昊,1
24,仙籞龍顏對昊宮,1
25,籞龍顏對昊宮羽,1
26,龍顏對昊宮羽儀,1
27,顏對昊宮羽儀瞻,1
28,對昊宮羽儀瞻百,1
29,昊宮羽儀瞻百姓,1
30,宮羽儀瞻百姓獻,1
31,羽儀瞻百姓獻壽,1
32,儀瞻百姓獻壽侍,1
33,瞻百姓獻壽侍三,1
34,百姓獻壽侍三公,1
35,姓獻壽侍三公化,1
36,獻壽侍三公化被,1
37,壽侍三公化被君,1
38,侍三公化被君王,1
39,三公化被君王洽,1
40,公化被君王洽恩,1
41,化被君王洽恩沾,1
42,被君王洽恩沾草,1
43,君王洽恩沾草木,1
44,王洽恩沾草木豐,1
45,洽恩沾草木豐自,1
46,恩沾草木豐自欣,1
47,沾草木豐自欣朝,1
48,草木豐自欣朝玉,1
49,木豐自欣朝玉座,1
50,豐自欣朝玉座宴,1
51,自欣朝玉座宴此,1
52,欣朝玉座宴此詠,1
53,朝玉座宴此詠皇,1
54,玉座宴此詠皇風,1
55,座宴此詠皇風一,1
56,宴此詠皇風一詔,1
57,此詠皇風一詔皇,1
58,詠皇風一詔皇城,1
59,皇風一詔皇城四,1
60,風一詔皇城四海,1
61,一詔皇城四海頒,1
62,詔皇城四海頒醜,1
63,皇城四海頒醜戎,1
64,城四海頒醜戎無,1
65,四海頒醜戎無數,1
66,海頒醜戎無數束,1
67,頒醜戎無數束身,1
68,醜戎無數束身還,1
69,戎無數束身還戍,1
70,無數束身還戍樓,1
71,數束身還戍樓吹,1
72,束身還戍樓吹笛,1
73,身還戍樓吹笛人,1
74,還戍樓吹笛人休,1
75,戍樓吹笛人休戰,1
76,樓吹笛人休戰牧,1
77,吹笛人休戰牧野,1
78,笛人休戰牧野嘶,1
79,人休戰牧野嘶風,1
80,休戰牧野嘶風馬,1
81,戰牧野嘶風馬自,1
82,牧野嘶風馬自閑,1
83,野嘶風馬自閑河,1
84,嘶風馬自閑河水,1
85,風馬自閑河水九,1
86,馬自閑河水九盤,1
87,自閑河水九盤收,1
88,閑河水九盤收數,1
89,河水九盤收數曲,1
90,水九盤收數曲天,1
91,九盤收數曲天山,1
92,盤收數曲天山千,1
93,收數曲天山千里,1
94,數曲天山千里鎖,1
95,曲天山千里鎖諸,1
96,天山千里鎖諸關,1
97,山千里鎖諸關西,1
98,千里鎖諸關西邊,1
99,里鎖諸關西邊北,1
100,鎖諸關西邊北塞,1
101,諸關西邊北塞今,1
102,關西邊北塞今無,1
103,西邊北塞今無事,1
104,邊北塞今無事為,1
105,北塞今無事為報,1
106,塞今無事為報東,1
107,今無事為報東南,1
108,無事為報東南夷,1
109,事為報東南夷與,1
110,為報東南夷與蠻,1
111,報東南夷與蠻南,1
112,東南夷與蠻南浦,1
113,南夷與蠻南浦花,1
114,夷與蠻南浦花臨,1
115,與蠻南浦花臨水,1
116,蠻南浦花臨水東,1
117,南浦花臨水東樓,1
118,浦花臨水東樓月,1
119,花臨水東樓月映,1
120,臨水東樓月映風,1
121,水東樓月映風鎮,1
122,東樓月映風鎮劍,1
123,樓月映風鎮劍南,1
124,月映風鎮劍南經,1
125,映風鎮劍南經忠,1
126,風鎮劍南經忠州,1
127,鎮劍南經忠州尋,1
128,劍南經忠州尋樂,1
129,南經忠州尋樂天,1
130,經忠州尋樂天遺,1
131,忠州尋樂天遺跡,1
132,州尋樂天遺跡作,1
133,尋樂天遺跡作見,1
134,樂天遺跡作見紀,1
135,天遺跡作見紀事,1
