排名,詞彙,出現次數
1,子,16
2,花,16
3,枝,15
4,江,14
5,蓮,13
6,人,12
7,拋,12
8,船,11
9,上,11
10,紅,11
11,球,11
12,得,10
13,採,10
14,柳,9
15,吹,9
16,水,9
17,二,9
18,浪,8
19,沙,8
20,回,8
21,樂,8
22,入,7
23,松,7
24,天,7
25,一,7
26,春,6
27,笛,6
28,更,6
29,歸,6
30,細,6
31,歌,6
32,怨,6
33,紇,6
34,淚,6
35,飛,6
36,香,6
37,少,6
38,珠,6
39,竹,6
40,宮,5
41,空,5
42,城,5
43,垂,5
44,頭,5
45,心,5
46,秋,5
47,不,5
48,青,5
49,南,5
50,別,5
51,桃,5
52,金,5
53,千,5
54,摘,5
55,新,5
56,女,4
57,絲,4
58,國,4
59,無,4
60,知,4
61,半,4
62,宿,4
63,眠,4
64,去,4
65,年,4
66,愁,4
67,雨,4
68,風,4
69,夜,4
70,流,4
71,我,4
72,開,4
73,信,4
74,隔,4
75,筵,4
76,葉,4
77,飄,4
78,濕,4
79,十,4
80,小,4
81,貪,4
82,來,4
83,動,4
84,灩,4
85,日,4
86,帶,4
87,繡,4
88,真,4
89,蠟,4
90,燭,4
91,相,4
92,楊,4
93,詞,4
94,淘,4
95,仙,4
96,行,3
97,映,3
98,煙,3
99,向,3
100,玉,3
101,何,3
102,黃,3
103,因,3
104,欲,3
105,鷺,3
106,觜,3
107,是,3
108,起,3
109,古,3
110,感,3
111,興,3
112,此,3
113,經,3
114,光,3
115,朝,3
116,歲,3
117,月,3
118,多,3
119,席,3
120,管,3
121,杏,3
122,橋,3
123,惆,3
124,悵,3
125,蕉,3
126,連,3
127,遲,3
128,晚,3
129,看,3
130,遙,3
131,滿,3
132,幾,3
133,度,3
134,須,3
135,僧,3
136,酒,3
137,山,3
138,萬,3
139,翠,2
140,微,2
141,玄,2
142,宗,2
143,侍,2
144,舞,2
145,如,2
146,今,2
147,綠,2
148,把,2
149,爛,2
150,時,2
151,吳,2
152,王,2
153,殿,2
154,鶯,2
155,長,2
156,叫,2
157,閨,2
158,畔,2
159,西,2
160,灘,2
161,草,2
162,接,2
163,疏,2
164,林,2
165,惡,2
166,罾,2
167,沉,2
168,洲,2
169,非,2
170,舊,2
171,浦,2
172,蠻,2
173,豆,2
174,蔻,2
175,北,2
176,蒲,2
177,艇,2
178,鵁,2
179,鶄,2
180,寒,2
181,使,2
182,生,2
183,為,2
184,地,2
185,家,2
186,言,2
187,昭,2
188,大,2
189,共,2
190,白,2
191,首,2
192,聽,2
193,異,2
194,域,2
195,收,2
196,兵,2
197,頡,2
198,利,2
199,飲,2
200,馬,2
201,胡,2
202,河,2
203,毳,2
204,布,2
205,腥,2
206,膻,2
207,久,2
208,穹,2
209,廬,2
210,雕,2
211,滂,2
212,沱,2
213,送,2
214,祖,2
215,駐,2
216,征,2
217,棹,2
218,帆,2
219,候,2
220,潮,2
221,泣,2
222,鷗,2
223,閣,2
224,塵,2
225,離,2
226,路,2
227,菡,2
228,萏,2
229,頃,2
230,陂,2
231,姑,2
232,戲,2
233,弄,2
234,脫,2
235,裙,2
236,裹,2
237,鴨,2
238,兒,2
239,湖,2
240,端,2
241,被,2
242,羞,2
243,撥,2
244,聲,2
245,輕,2
246,墜,2
247,越,2
248,綃,2
249,翻,2
250,孔,2
251,雀,2
252,蜂,2
253,腰,2
254,分,2
255,數,2
256,正,2
257,索,2
258,饒,2
259,蹙,2
260,沖,2
261,懷,2
262,客,2
263,終,2
264,醉,2
265,觥,2
266,杯,2
267,亂,2
268,排,2
269,勸,2
270,閑,2
271,登,2
272,巍,2
273,載,2
274,野,2
275,句,2
276,事,2
277,牛,2
278,發,2
279,鷓,2
280,鴣,2
281,郎,2
282,應,2
283,兩,2
284,憶,2
285,夢,2
286,瀟,2
287,歷,2
288,熳,1
289,皇,1
290,后,1
291,土,1
292,力,1
293,貴,1
294,賤,1
295,均,1
296,若,1
297,情,1
298,世,1
299,道,1
300,德,1
301,旨,1
302,意,1
303,匡,1
304,文,1
305,明,1
306,集,1
307,四,1
308,百,1
309,卷,1
310,獨,1
311,立,1
312,寄,1
313,姿,1
314,豈,1
315,羨,1
316,朱,1
317,槿,1
318,榮,1
