排名,詞彙,出現次數
1,皮日休,14
2,陸龜蒙,13
3,吾聞古,5
4,天下皆,5
5,聞古聖,4
6,無一事,4
7,征君獨,3
8,古聖王,3
9,其中有,3
10,陸夫子,3
11,大司諫,3
12,日月精,3
13,得之賊,3
14,之賊帝,3
15,太湖公,3
16,貝多紙,3
17,不妨猶,3
18,過重陽,3
19,不知何,3
20,無餘事,3
21,吾何為,2
22,何為者,2
23,千門萬,2
24,門萬戶,2
25,之以侯,2
26,盡日空,2
27,吾愛李,2
28,愛李太,2
29,柱天功,2
30,作羲皇,2
31,不若征,2
32,若征君,2
33,三年魯,2
34,年魯山,2
35,李太白,2
36,樂天獨,2
37,盡日方,2
38,如何一,2
39,何不廣,2
40,若不平,2
41,所以不,2
42,反為夷,2
43,為夷臣,2
44,他巢若,2
45,者爭紛,2
46,是謀生,2
47,三十車,2
48,白蓮吟,2
49,此時一,2
50,爛地軸,2
51,有方丈,2
52,陸先生,2
53,先生不,2
54,既不暇,2
55,當斯時,2
56,萬卷書,2
57,穿林樾,2
58,當中見,2
59,至今千,2
60,千萬祀,2
61,到絕頂,2
62,絕頂似,2
63,泉聲似,2
64,只三尺,2
65,似鳧躍,2
66,濕莎裳,2
67,不知倦,2
68,名雖然,2
69,神仙窟,2
70,半日始,2
71,明月中,2
72,上姑蘇,2
73,水麝風,2
74,到孤園,2
75,褵褷風,2
76,嚴陵灘,2
77,最深處,2
78,三五夕,2
79,月夫人,2
80,來往盡,2
81,和魚子,2
82,掛釣車,2
83,處煙雨,2
84,稱幽人,2
85,綠毛翁,2
86,終身不,2
87,養山禽,2
88,從此共,2
89,此共君,2
90,自不知,2
91,花開不,2
92,不記年,2
93,何事有,2
94,一杯酒,2
95,不廢禪,2
96,石上月,2
97,岸烏紗,2
98,閉門無,2
99,明朝有,2
100,他年如,2
101,白綸巾,2
102,風相引,2
103,正少年,2
104,殷勤莫,2
105,園幽事,2
106,竹屏風,2
107,欲淩空,2
108,春風一,2
109,有利名,2
110,知何事,2
111,獨裴回,2
112,作斷腸,2
113,為當時,2
114,至今猶,2
115,到陸家,2
116,得支公,2
117,病中無,2
118,美祿應,2
119,鋤傴僂,2
120,盡能通,2
121,夢赤城,2
122,草堂空,2
123,七裏灘,2
124,為傖鬼,2
125,燒松子,2
126,何處尋,2
127,還應帶,2
128,非吾事,2
129,向江南,2
130,不奈雲,2
131,應降月,2
132,無別事,2
133,已過重,2
134,華千點,2
135,童呼不,2
136,向人間,2
137,十裏松,2
138,未游滄,2
139,游滄海,2
140,滄海早,2
141,海早知,2
142,早知名,2
143,知名有,2
144,名有骨,2
145,有骨還,2
146,骨還從,2
147,還從肉,2
148,從肉上,2
149,肉上生,2
150,上生莫,2
151,生莫道,2
152,莫道無,2
153,道無心,2
154,無心畏,2
155,心畏雷,2
156,畏雷電,2
157,雷電海,2
158,電海龍,2
159,海龍王,2
160,龍王處,2
161,王處也,2
162,處也橫,2
163,也橫行,2
164,聞古君,1
165,古君子,1
166,君子介,1
167,子介介,1
168,介介勵,1
169,介勵其,1
170,勵其節,1
171,其節入,1
172,節入門,1
173,入門疑,1
174,門疑儲,1
175,疑儲宮,1
176,儲宮撫,1
177,宮撫己,1
178,撫己思,1
179,己思鈇,1
180,思鈇鉞,1
181,鈇鉞志,1
182,鉞志者,1
183,志者若,1
184,者若不,1
185,若不退,1
186,不退佞,1
187,退佞者,1
188,佞者何,1
189,者何由,1
190,何由達,1
191,由達君,1
192,達君臣,1
193,君臣一,1
194,臣一殽,1
195,一殽膳,1
196,殽膳家,1
197,膳家國,1
198,家國共,1
199,國共殘,1
200,共殘殺,1
201,殘殺此,1
202,殺此道,1
203,此道見,1
204,道見於,1
205,見於今,1
206,於今永,1
207,今永思,1
208,永思心,1
209,思心若,1
210,心若裂,1
211,若裂王,1
212,裂王臣,1
213,王臣方,1
214,臣方謇,1
215,方謇謇,1
216,謇謇佐,1
217,謇佐我,1
218,佐我無,1
219,我無玷,1
220,無玷缺,1
