排名,詞彙,出現次數
1,坐,16
2,曉,15
3,花,15
4,秋,14
5,上,13
6,月,12
7,稍,12
8,天,11
9,風,11
10,出,10
11,雲,10
12,初,8
13,京,8
14,還,8
15,江,7
16,海,7
17,時,7
18,樹,7
19,送,7
20,十,7
21,梅,7
22,邑,6
23,南,6
24,遠,6
25,令,6
26,樓,6
27,空,6
28,帝,6
29,年,6
30,國,6
31,生,5
32,林,5
33,下,5
34,人,5
35,陽,5
36,華,5
37,奉,5
38,歲,5
39,巴,5
40,讓,5
41,歌,5
42,皇,5
43,朝,5
44,文,4
45,知,4
46,水,4
47,山,4
48,客,4
49,默,4
50,白,4
51,何,4
52,晚,4
53,紅,4
54,落,4
55,峽,4
56,歸,4
57,前,4
58,太,4
59,為,4
60,雪,4
61,氣,4
62,望,4
63,明,4
64,不,4
65,行,4
66,挽,4
67,戶,4
68,一,4
69,心,4
70,春,4
71,冬,4
72,季,4
73,楚,4
74,中,4
75,和,4
76,李,4
77,獨,3
78,得,3
79,鴻,3
80,日,3
81,仙,3
82,池,3
83,顏,3
84,園,3
85,攀,3
86,洛,3
87,悲,3
88,青,3
89,帆,3
90,與,3
91,懷,3
92,道,3
93,自,3
94,情,3
95,漢,3
96,芳,3
97,連,3
98,入,3
99,無,3
100,子,3
101,清,3
102,萬,3
103,宮,3
104,同,3
105,見,3
106,鄉,3
107,候,3
108,三,3
109,故,3
110,去,3
111,向,3
112,餘,3
113,是,3
114,幸,3
115,玉,3
116,賦,2
117,期,2
118,業,2
119,守,2
120,微,2
121,忝,2
122,漸,2
123,內,2
124,趨,2
125,松,2
126,亭,2
127,雖,2
128,郊,2
129,步,2
130,蒼,2
131,異,2
132,語,2
133,濟,2
134,豈,2
135,善,2
136,世,2
137,涯,2
138,蠻,2
139,回,2
140,喟,2
141,舊,2
142,城,2
143,照,2
144,流,2
145,征,2
146,州,2
147,父,2
148,繼,2
149,修,2
150,伯,2
151,德,2
152,陳,2
153,哉,2
154,未,2
155,且,2
156,憶,2
157,昔,2
158,長,2
159,東,2
160,謝,2
161,庭,2
162,略,2
163,舒,2
164,良,2
165,雨,2
166,颼,2
167,節,2
168,直,2
169,神,2
170,台,2
171,西,2
172,樂,2
173,仗,2
174,漫,2
175,命,2
176,悠,2
177,屬,2
178,離,2
179,里,2
180,逐,2
181,大,2
182,冊,2
183,地,2
184,迎,2
185,馬,2
186,新,2
187,蕭,2
188,條,2
189,古,2
190,此,2
191,有,2
192,君,2
193,別,2
194,發,2
195,今,2
196,應,2
197,播,2
198,開,2
199,虛,2
200,傷,2
201,霜,2
202,髮,2
203,幾,2
204,夢,2
205,在,2
206,憐,2
207,陌,2
208,霞,2
209,猶,2
210,疑,2
211,家,2
212,騎,2
213,蘇,2
214,八,2
215,給,2
216,常,2
217,分,2
218,賢,2
219,詠,2
220,蔥,2
221,星,2
222,正,2
223,溪,2
224,過,2
225,服,2
226,桂,2
227,素,1
228,班,1
229,外,1
230,學,1
231,鵷,1
232,鷺,1
233,間,1
234,傾,1
235,木,1
236,趣,1
237,築,1
238,室,1
239,依,1
240,近,1
241,晨,1
242,晏,1
243,夕,1
244,臥,1
245,閑,1
246,隅,1
247,禽,1
248,舞,1
249,灣,1
250,曙,1
251,霽,1
252,曰,1
253,靜,1
254,非,1
255,寰,1
256,龍,1
257,闕,1
258,甯,1
259,關,1
260,顧,1
261,忘,1
262,網,1
263,余,1
264,觸,1
265,謫,1
266,首,1
267,思,1
268,然,1
269,貞,1
270,艱,1
271,夜,1
272,孤,1
273,虎,1
274,嘯,1
275,猿,1
276,鳴,1
277,架,1
278,赴,1
279,淮,1
280,揚,1
281,族,1
282,盛,1
283,掩,1
284,崔,1
285,齊,1
286,丘,1
287,惜,1
288,千,1
289,載,1
290,儔,1
291,會,1
292,游,1
293,稱,1
294,觴,1
295,阮,1
296,幽,1
297,濃,1
298,禮,1
299,轉,1
300,遒,1
301,高,1
302,薄,1
303,酣,1
304,態,1
305,洲,1
306,接,1
307,席,1
308,複,1
309,軫,1
310,陪,1
311,輈,1
312,兼,1
313,籌,1
314,歡,1
315,已,1
316,暗,1
317,掌,1
318,憲,1
319,持,1
320,邦,1
321,邈,1
322,頭,1
323,惠,1
324,留,1
325,躬,1
326,甸,1
327,猷,1
328,適,1
329,徼,1
330,忽,1
331,浮,1
332,宇,1
333,皆,1
334,安,1
335,投,1
336,忠,1
337,信,1
338,徒,1
339,堅,1
340,酬,1
341,觀,1
342,稽,1
343,昏,1
344,吳,1
345,王,1
346,寐,1
347,周,1
348,排,1
349,翮,1
350,暫,1
351,抒,1
352,憂,1
353,灑,1
354,沾,1
355,淚,1
356,舟,1
357,泰,1
358,玄,1
359,延,1
360,闔,1
361,棺,1
362,追,1
363,羽,1
364,名,1
365,階,1
366,失,1
367,兄,1
368,聞,1
369,主,1
370,遺,1
371,劍,1
372,泣,1
373,平,1
374,馳,1
375,絕,1
376,祖,1
377,恍,1
378,惚,1
379,陵,1
380,廟,1
381,館,1
382,化,1
383,哀,1
384,路,1
385,竹,1
386,韻,1
387,苑,1
388,作,1
389,寧,1
390,從,1
391,遷,1
392,黔,1
393,汭,1
394,窮,1
395,凝,1
396,度,1
397,縱,1
398,似,1
399,河,1
400,好,1
401,倍,1
402,邊,1
403,早,1
404,颯,1
405,驚,1
406,威,1
407,潭,1
408,草,1
409,侵,1
410,覆,1
411,簾,1
412,看,1
413,裏,1
414,泥,1
415,改,1
416,桑,1
417,田,1
418,移,1
