排名,詞彙,出現次數
1,新,3
2,都,3
3,南,3
4,亭,3
5,如,2
6,竹,1
7,徑,1
8,女,1
9,蘿,1
10,蹊,1
11,蓮,1
12,洲,1
13,文,1
14,石,1
15,堤,1
16,靜,1
17,深,1
18,人,1
19,俗,1
20,斷,1
21,尋,1
22,玩,1
23,往,1
24,還,1
25,迷,1
26,碧,1
27,潭,1
28,秀,1
29,初,1
30,月,1
31,素,1
32,林,1
33,驚,1
34,夕,1
35,棲,1
36,褰,1
37,幌,1
38,納,1
39,鳥,1
40,侶,1
41,罷,1
42,琴,1
43,聽,1
44,猿,1
45,啼,1
46,佳,1
47,辰,1
48,改,1
49,宿,1
50,昔,1
51,勝,1
52,寄,1
53,在,1
54,暌,1
55,攜,1
56,長,1
57,懷,1
58,賞,1
59,心,1
60,愛,1
61,玉,1
62,複,1
63,珪,1
