排名,詞彙,出現次數
1,時,5
2,不,5
3,年,5
4,月,4
5,無,4
6,白,4
7,樹,4
8,河,3
9,當,3
10,人,3
11,蘭,3
12,將,3
13,空,3
14,城,3
15,別,3
16,中,3
17,頭,3
18,涼,2
19,在,2
20,此,2
21,秋,2
22,唯,2
23,夜,2
24,客,2
25,生,2
26,離,2
27,露,2
28,下,2
29,滿,2
30,難,2
31,孤,2
32,飛,2
33,移,2
34,影,2
35,行,2
36,三,2
37,回,2
38,夢,2
39,千,2
40,酒,2
41,暮,2
42,團,2
43,扇,2
44,從,2
45,餘,2
46,度,2
47,隔,2
48,逢,2
49,一,2
50,情,2
51,自,2
52,到,2
53,有,2
54,遠,2
55,深,2
56,已,2
57,舊,2
58,日,2
59,心,2
60,撲,2
61,油,2
62,佩,2
63,帶,2
64,事,2
65,天,2
66,猶,2
67,漠,2
68,耿,1
69,牽,1
70,牛,1
71,織,1
72,女,1
73,期,1
74,歡,1
75,娛,1
76,方,1
77,漏,1
78,刻,1
79,竟,1
80,由,1
81,誰,1
82,定,1
83,嫌,1
84,駛,1
85,乞,1
86,遲,1
87,全,1
88,勝,1
89,子,1
90,婦,1
91,十,1
92,載,1
93,泣,1
94,簟,1
95,庭,1
96,聞,1
97,逆,1
98,浪,1
99,徒,1
100,望,1
101,榆,1
102,星,1
103,繞,1
104,棲,1
105,鵲,1
106,窗,1
107,就,1
108,暗,1
109,螢,1
110,宿,1
111,思,1
112,共,1
113,習,1
114,芳,1
115,馨,1
116,五,1
117,近,1
118,未,1
119,成,1
120,里,1
121,去,1
122,醒,1
123,百,1
124,憂,1
125,來,1
126,晚,1
127,看,1
128,槿,1
129,悲,1
130,酸,1
131,食,1
132,梅,1
133,寄,1
134,複,1
135,裴,1
136,欲,1
137,隱,1
138,龍,1
139,質,1
140,仍,1
141,觸,1
142,石,1
143,文,1
144,霏,1
145,微,1
146,依,1
147,碧,1
148,落,1
149,仿,1
150,佛,1
151,誤,1
152,非,1
153,雲,1
154,光,1
155,傾,1
156,分,1
157,如,1
158,作,1
159,霖,1
160,處,1
161,為,1
162,起,1
163,氤,1
164,氳,1
165,累,1
166,的,1
167,信,1
168,每,1
169,邊,1
170,袖,1
171,掩,1
172,淚,1
173,書,1
174,封,1
175,尺,1
176,西,1
177,川,1
178,住,1
179,君,1
180,常,1
181,對,1
182,門,1
183,又,1
184,重,1
185,艱,1
186,久,1
187,外,1
188,往,1
189,還,1
190,改,1
191,法,1
192,稻,1
193,黃,1
194,黍,1
195,野,1
196,連,1
197,山,1
198,澗,1
199,流,1
200,憶,1
201,得,1
202,馮,1
203,翊,1
204,部,1
205,謝,1
206,郎,1
207,相,1
208,引,1
209,上,1
210,樓,1
211,楚,1
212,吳,1
213,鉤,1
214,遊,1
215,多,1
216,筋,1
217,力,1
218,試,1
219,弓,1
220,箭,1
221,並,1
222,州,1
223,雁,1
224,青,1
225,疏,1
226,蟬,1
227,嘶,1
228,寒,1
229,階,1
230,敗,1
231,氣,1
232,手,1
233,漸,1
234,端,1
235,藏,1
236,高,1
237,柳,1
238,背,1
239,斜,1
240,暉,1
241,能,1
242,軫,1
243,愁,1
244,減,1
245,昔,1
246,圍,1
247,畏,1
248,旅,1
249,再,1
250,聲,1
251,萍,1
252,颯,1
253,風,1
254,池,1
255,香,1
256,船,1
257,楊,1
258,花,1
259,春,1
260,玉,1
261,何,1
262,似,1
263,乘,1
264,羊,1
265,入,1
266,市,1
