排名,詞彙,出現次數
1,月,2
2,玉,1
3,京,1
4,人,1
5,去,1
6,秋,1
7,蕭,1
8,索,1
9,畫,1
10,簷,1
11,鵲,1
12,起,1
13,梧,1
14,桐,1
15,落,1
16,欹,1
17,枕,1
18,悄,1
19,無,1
20,言,1
21,和,1
22,殘,1
23,夢,1
24,圓,1
25,背,1
26,燈,1
27,惟,1
28,暗,1
29,泣,1
30,甚,1
31,處,1
32,砧,1
33,聲,1
34,急,1
35,眉,1
36,黛,1
37,小,1
38,山,1
39,攢,1
40,芭,1
41,蕉,1
42,生,1
43,暮,1
44,寒,1
45,清,1
46,風,1
47,明,1
48,夜,1
49,深,1
50,時,1
51,箕,1
52,帚,1
53,盧,1
54,郎,1
55,恨,1
56,已,1
57,遲,1
58,他,1
59,日,1
60,孟,1
61,家,1
62,坡,1
63,上,1
64,約,1
65,再,1
66,來,1
67,相,1
68,見,1
69,是,1
70,佳,1
71,期,1
