排名,詞彙,出現次數
1,不能專,1
2,能專習,1
3,專習禮,1
4,習禮虛,1
5,禮虛心,1
6,虛心強,1
7,心強覓,1
8,強覓階,1
9,覓階一,1
10,階一年,1
11,一年辭,1
12,年辭爵,1
13,辭爵弁,1
14,爵弁半,1
15,弁半歲,1
16,半歲履,1
17,歲履麻,1
18,履麻鞋,1
19,麻鞋瓦,1
20,鞋瓦惡,1
21,瓦惡頻,1
22,惡頻蒙,1
23,頻蒙牆,1
24,蒙牆虛,1
25,牆虛屢,1
26,虛屢被,1
27,屢被叉,1
28,被叉映,1
29,叉映樹,1
30,映樹便,1
31,樹便側,1
32,便側睡,1
33,側睡過,1
34,睡過匱,1
35,過匱即,1
36,匱即放,1
37,即放乖,1
38,放乖歲,1
39,乖歲暮,1
40,歲暮良,1
41,暮良工,1
42,良工畢,1
43,工畢言,1
44,畢言是,1
45,言是越,1
46,是越朋,1
47,越朋儕,1
48,朋儕今,1
49,儕今日,1
50,今日綸,1
51,日綸言,1
52,綸言降,1
53,言降方,1
54,降方知,1
55,方知愚,1
56,知愚計,1
57,愚計喎,1
