排名,詞彙,出現次數
1,今日,2
2,日虜,2
3,虜平,2
4,平將,2
5,將換,2
6,換妾,2
7,妾不,2
8,不如,2
9,如羅,2
10,羅袖,2
11,袖舞,2
12,舞春,2
13,春風,2
14,風連,1
15,連錢,1
16,錢出,1
17,出塞,1
18,塞蹋,1
19,蹋沙,1
20,沙蓬,1
21,蓬豈,1
22,豈比,1
23,比當,1
24,當時,1
25,時禦,1
26,禦史,1
27,史驄,1
28,驄逐,1
29,逐北,1
30,北自,1
31,自諳,1
32,諳深,1
33,深磧,1
34,磧路,1
35,路連,1
36,連嘶,1
37,嘶誰,1
38,誰念,1
39,念靜,1
40,靜邊,1
41,邊功,1
42,功登,1
43,登山,1
44,山每,1
45,每與,1
46,與青,1
47,青雲,1
48,雲合,1
49,合弄,1
50,弄影,1
51,影應,1
52,應知,1
53,知碧,1
54,碧草,1
55,草同,1
56,同今,1
57,風何,1
58,何事,1
59,事明,1
60,明時,1
61,時泣,1
62,泣玉,1
63,玉頻,1
64,頻長,1
65,長安,1
66,安不,1
67,不見,1
68,見杏,1
69,杏園,1
70,園春,1
71,春鳳,1
72,鳳凰,1
73,凰詔,1
74,詔下,1
75,下雖,1
76,雖沾,1
77,沾命,1
78,命鸚,1
79,鸚鵡,1
80,鵡才,1
81,才高,1
82,高卻,1
83,卻累,1
84,累身,1
85,身且,1
86,且盡,1
87,盡綠,1
88,綠醽,1
89,醽銷,1
90,銷積,1
91,積恨,1
92,恨莫,1
93,莫辭,1
94,辭黃,1
95,黃綬,1
96,綬拂,1
97,拂行,1
98,行塵,1
99,塵方,1
100,方城,1
101,城若,1
102,若比,1
103,比長,1
104,長沙,1
105,沙路,1
106,路猶,1
107,猶隔,1
108,隔千,1
109,千山,1
110,山與,1
111,與萬,1
112,萬津,1
