排名,詞彙,出現次數
1,碾驢鞍判,2
2,白菊雖被,1
3,菊雖被風,1
4,雖被風霜,1
5,被風霜競,1
6,風霜競欲,1
7,霜競欲催,1
8,競欲催皎,1
9,欲催皎然,1
10,催皎然顏,1
11,皎然顏色,1
12,然顏色不,1
13,顏色不低,1
14,色不低摧,1
15,不低摧已,1
16,低摧已疑,1
17,摧已疑素,1
18,已疑素手,1
19,疑素手能,1
20,素手能妝,1
21,手能妝出,1
22,能妝出又,1
23,妝出又似,1
24,出又似金,1
25,又似金錢,1
26,似金錢未,1
27,金錢未染,1
28,錢未染來,1
29,未染來香,1
30,染來香散,1
31,來香散自,1
32,香散自宜,1
33,散自宜飄,1
34,自宜飄淥,1
35,宜飄淥酒,1
36,飄淥酒葉,1
37,淥酒葉交,1
38,酒葉交仍,1
39,葉交仍得,1
40,交仍得蔭,1
41,仍得蔭蒼,1
42,得蔭蒼苔,1
43,蔭蒼苔白,1
44,蒼苔白菊,1
45,苔白菊尋,1
46,白菊尋思,1
47,菊尋思閉,1
48,尋思閉戶,1
49,思閉戶中,1
50,閉戶中宵,1
51,戶中宵見,1
52,中宵見應,1
53,宵見應認,1
54,見應認寒,1
55,應認寒窗,1
56,認寒窗雪,1
57,寒窗雪一,1
58,窗雪一堆,1
59,雪一堆句,1
60,一堆句樓,1
61,堆句樓前,1
62,句樓前澹,1
63,樓前澹澹,1
64,前澹澹雲,1
65,澹澹雲頭,1
66,澹雲頭日,1
67,雲頭日簾,1
68,頭日簾外,1
69,日簾外蕭,1
70,簾外蕭蕭,1
71,外蕭蕭雨,1
72,蕭蕭雨腳,1
73,蕭雨腳風,1
74,雨腳風碾,1
75,腳風碾驢,1
76,風碾驢鞍,1
77,驢鞍判鄴,1
78,鞍判鄴城,1
79,判鄴城大,1
80,鄴城大道,1
81,城大道甚,1
82,大道甚寬,1
83,道甚寬何,1
84,甚寬何故,1
85,寬何故駕,1
86,何故駕車,1
87,故駕車碾,1
88,駕車碾鞍,1
89,車碾鞍碾,1
90,碾鞍碾驢,1
91,鞍碾驢鞍,1
92,驢鞍判領,1
93,鞍判領韝,1
94,判領韝驢,1
95,領韝驢漢,1
96,韝驢漢子,1
97,驢漢子科,1
98,漢子科決,1
99,子科決待,1
100,科決待駕,1
101,決待駕車,1
102,待駕車漢,1
103,駕車漢子,1
104,車漢子喜,1
105,漢子喜歡,1
