排名,詞彙,出現次數
1,殊質資,1
2,質資靈,1
3,資靈貺,1
4,靈貺淩,1
5,貺淩空,1
6,淩空發,1
7,空發瑞,1
8,發瑞雲,1
9,瑞雲梢,1
10,雲梢梢,1
11,梢梢含,1
12,梢含樹,1
13,含樹彩,1
14,樹彩鬱,1
15,彩鬱鬱,1
16,鬱鬱動,1
17,鬱動霞,1
18,動霞文,1
19,霞文不,1
20,文不比,1
21,不比因,1
22,比因風,1
23,因風起,1
24,風起全,1
25,起全非,1
26,全非觸,1
27,非觸石,1
28,觸石分,1
29,石分葉,1
30,分葉光,1
31,葉光閑,1
32,光閑泛,1
33,閑泛灩,1
34,泛灩枝,1
35,灩枝杪,1
36,枝杪靜,1
37,杪靜氛,1
38,靜氛氳,1
39,氛氳隱,1
40,氳隱見,1
41,隱見心,1
42,見心無,1
43,心無宰,1
44,無宰裴,1
45,宰裴回,1
46,裴回慶,1
47,回慶自,1
48,慶自君,1
49,自君翻,1
50,君翻飛,1
51,翻飛如,1
52,飛如可,1
53,如可托,1
54,可托長,1
55,托長願,1
56,長願在,1
57,願在橫,1
58,在橫汾,1
59,橫汾月,1
60,汾月閏,1
61,月閏隨,1
62,閏隨寒,1
63,隨寒暑,1
64,寒暑疇,1
65,暑疇人,1
66,疇人定,1
67,人定職,1
68,定職司,1
69,職司餘,1
70,司餘分,1
71,餘分將,1
72,分將考,1
73,將考日,1
74,考日積,1
75,日積算,1
76,積算自,1
77,算自成,1
78,自成時,1
79,成時律,1
80,時律候,1
81,律候行,1
82,候行宜,1
83,行宜表,1
84,宜表陰,1
85,表陰陽,1
86,陰陽運,1
87,陽運不,1
88,運不欺,1
89,不欺氣,1
90,欺氣熏,1
91,氣熏灰,1
92,熏灰管,1
93,灰管驗,1
94,管驗數,1
95,驗數扐,1
96,數扐卦,1
97,扐卦辭,1
98,卦辭推,1
99,辭推六,1
100,推六律,1
101,六律文,1
102,律文明,1
103,文明序,1
104,明序三,1
105,序三年,1
106,三年理,1
107,年理暗,1
108,理暗移,1
109,暗移當,1
110,移當知,1
111,當知歲,1
112,知歲功,1
113,歲功立,1
114,功立唯,1
115,立唯是,1
116,唯是奉,1
117,是奉無,1
118,奉無私,1
