排名,詞彙,出現次數
1,落盡春紅始著花,1
2,盡春紅始著花花,1
3,春紅始著花花時,1
4,紅始著花花時比,1
5,始著花花時比屋,1
6,著花花時比屋事,1
7,花花時比屋事豪,1
8,花時比屋事豪奢,1
9,時比屋事豪奢買,1
10,比屋事豪奢買栽,1
11,屋事豪奢買栽池,1
12,事豪奢買栽池館,1
13,豪奢買栽池館恐,1
14,奢買栽池館恐無,1
15,買栽池館恐無地,1
16,栽池館恐無地看,1
17,池館恐無地看到,1
18,館恐無地看到子,1
19,恐無地看到子孫,1
20,無地看到子孫能,1
21,地看到子孫能幾,1
22,看到子孫能幾家,1
23,到子孫能幾家門,1
24,子孫能幾家門倚,1
25,孫能幾家門倚長,1
26,能幾家門倚長衢,1
27,幾家門倚長衢攢,1
28,家門倚長衢攢繡,1
29,門倚長衢攢繡轂,1
30,倚長衢攢繡轂幄,1
31,長衢攢繡轂幄籠,1
32,衢攢繡轂幄籠輕,1
33,攢繡轂幄籠輕日,1
34,繡轂幄籠輕日護,1
35,轂幄籠輕日護香,1
36,幄籠輕日護香霞,1
37,籠輕日護香霞歌,1
38,輕日護香霞歌鐘,1
39,日護香霞歌鐘滿,1
40,護香霞歌鐘滿座,1
41,香霞歌鐘滿座爭,1
42,霞歌鐘滿座爭歡,1
43,歌鐘滿座爭歡賞,1
44,鐘滿座爭歡賞肯,1
45,滿座爭歡賞肯信,1
46,座爭歡賞肯信流,1
47,爭歡賞肯信流年,1
48,歡賞肯信流年鬢,1
49,賞肯信流年鬢有,1
50,肯信流年鬢有華,1
51,信流年鬢有華當,1
52,流年鬢有華當時,1
53,年鬢有華當時無,1
54,鬢有華當時無德,1
55,有華當時無德禦,1
56,華當時無德禦乾,1
57,當時無德禦乾坤,1
58,時無德禦乾坤廣,1
59,無德禦乾坤廣築,1
60,德禦乾坤廣築徒,1
61,禦乾坤廣築徒勞,1
62,乾坤廣築徒勞萬,1
63,坤廣築徒勞萬古,1
64,廣築徒勞萬古存,1
65,築徒勞萬古存謾,1
66,徒勞萬古存謾役,1
67,勞萬古存謾役生,1
68,萬古存謾役生民,1
69,古存謾役生民防,1
70,存謾役生民防極,1
71,謾役生民防極塞,1
72,役生民防極塞不,1
73,生民防極塞不知,1
74,民防極塞不知血,1
75,防極塞不知血刃,1
76,極塞不知血刃起,1
77,塞不知血刃起中,1
78,不知血刃起中原,1
79,知血刃起中原珠,1
80,血刃起中原珠璣,1
81,刃起中原珠璣旋,1
82,起中原珠璣旋見,1
83,中原珠璣旋見陪,1
84,原珠璣旋見陪陵,1
85,珠璣旋見陪陵寢,1
86,璣旋見陪陵寢社,1
87,旋見陪陵寢社稷,1
88,見陪陵寢社稷何,1
89,陪陵寢社稷何曾,1
90,陵寢社稷何曾保,1
91,寢社稷何曾保子,1
92,社稷何曾保子孫,1
93,稷何曾保子孫降,1
94,何曾保子孫降虜,1
95,曾保子孫降虜至,1
96,保子孫降虜至今,1
97,子孫降虜至今猶,1
98,孫降虜至今猶自,1
99,降虜至今猶自說,1
100,虜至今猶自說冤,1
101,至今猶自說冤聲,1
102,今猶自說冤聲夜,1
103,猶自說冤聲夜夜,1
104,自說冤聲夜夜傍,1
105,說冤聲夜夜傍城,1
106,冤聲夜夜傍城根,1
107,聲夜夜傍城根秋,1
108,夜夜傍城根秋夕,1
109,夜傍城根秋夕蒼,1
110,傍城根秋夕蒼茫,1
111,城根秋夕蒼茫一,1
112,根秋夕蒼茫一雁,1
113,秋夕蒼茫一雁過,1
114,夕蒼茫一雁過西,1
115,蒼茫一雁過西風,1
116,茫一雁過西風白,1
117,一雁過西風白露,1
118,雁過西風白露滿,1
119,過西風白露滿宮,1
120,西風白露滿宮莎,1
121,風白露滿宮莎昨,1
122,白露滿宮莎昨來,1
123,露滿宮莎昨來京,1
124,滿宮莎昨來京洛,1
125,宮莎昨來京洛逢,1
126,莎昨來京洛逢歸,1
127,昨來京洛逢歸客,1
128,來京洛逢歸客猶,1
129,京洛逢歸客猶說,1
130,洛逢歸客猶說軒,1
131,逢歸客猶說軒車,1
132,歸客猶說軒車未,1
133,客猶說軒車未渡,1
134,猶說軒車未渡河,1
135,說軒車未渡河莫,1
136,軒車未渡河莫把,1
137,車未渡河莫把少,1
138,未渡河莫把少年,1
139,渡河莫把少年空,1
140,河莫把少年空倚,1
141,莫把少年空倚賴,1
142,把少年空倚賴須,1
143,少年空倚賴須知,1
144,年空倚賴須知孤,1
145,空倚賴須知孤立,1
146,倚賴須知孤立易,1
147,賴須知孤立易蹉,1
148,須知孤立易蹉跎,1
149,知孤立易蹉跎想,1
150,孤立易蹉跎想君,1
151,立易蹉跎想君懷,1
152,易蹉跎想君懷抱,1
153,蹉跎想君懷抱哀,1
154,跎想君懷抱哀吟,1
155,想君懷抱哀吟夜,1
156,君懷抱哀吟夜銅,1
157,懷抱哀吟夜銅雀,1
158,抱哀吟夜銅雀台,1
159,哀吟夜銅雀台前,1
160,吟夜銅雀台前皓,1
161,夜銅雀台前皓月,1
162,銅雀台前皓月多,1
163,雀台前皓月多葉,1
164,台前皓月多葉落,1
165,前皓月多葉落才,1
166,皓月多葉落才悲,1
167,月多葉落才悲草,1
168,多葉落才悲草又,1
169,葉落才悲草又生,1
170,落才悲草又生看,1
171,才悲草又生看看,1
172,悲草又生看看少,1
173,草又生看看少壯,1
174,又生看看少壯是,1
175,生看看少壯是衰,1
176,看看少壯是衰形,1
177,看少壯是衰形關,1
178,少壯是衰形關中,1
179,壯是衰形關中秋,1
180,是衰形關中秋雨,1
181,衰形關中秋雨書,1
182,形關中秋雨書難,1
183,關中秋雨書難到,1
184,中秋雨書難到江,1
185,秋雨書難到江上,1
186,雨書難到江上春,1
187,書難到江上春寒,1
188,難到江上春寒酒,1
189,到江上春寒酒易,1
190,江上春寒酒易醒,1
191,上春寒酒易醒多,1
192,春寒酒易醒多少,1
193,寒酒易醒多少系,1
194,酒易醒多少系心,1
195,易醒多少系心身,1
196,醒多少系心身未,1
197,多少系心身未達,1
198,少系心身未達尋,1
199,系心身未達尋思,1
200,心身未達尋思舉,1
201,身未達尋思舉目,1
202,未達尋思舉目淚,1
203,達尋思舉目淚堪,1
204,尋思舉目淚堪零,1
205,思舉目淚堪零幾,1
206,舉目淚堪零幾時,1
207,目淚堪零幾時拋,1
208,淚堪零幾時拋得,1
209,堪零幾時拋得歸,1
210,零幾時拋得歸山,1
211,幾時拋得歸山去,1
212,時拋得歸山去松,1
213,拋得歸山去松下,1
214,得歸山去松下看,1
215,歸山去松下看雲,1
216,山去松下看雲讀,1
217,去松下看雲讀道,1
218,松下看雲讀道經,1
219,下看雲讀道經喔,1
220,看雲讀道經喔喔,1
221,雲讀道經喔喔晨,1
222,讀道經喔喔晨雞,1
223,道經喔喔晨雞滿,1
224,經喔喔晨雞滿樹,1
225,喔喔晨雞滿樹霜,1
226,喔晨雞滿樹霜喧,1
227,晨雞滿樹霜喧喧,1
228,雞滿樹霜喧喧曉,1
229,滿樹霜喧喧曉渡,1
230,樹霜喧喧曉渡簇,1
231,霜喧喧曉渡簇舟,1
232,喧喧曉渡簇舟航,1
233,喧曉渡簇舟航數,1
234,曉渡簇舟航數星,1
235,渡簇舟航數星昨,1
236,簇舟航數星昨夜,1
237,舟航數星昨夜寒,1
238,航數星昨夜寒爐,1
239,數星昨夜寒爐火,1
240,星昨夜寒爐火一,1
241,昨夜寒爐火一陣,1
242,夜寒爐火一陣誰,1
243,寒爐火一陣誰家,1
244,爐火一陣誰家臘,1
245,火一陣誰家臘甕,1
246,一陣誰家臘甕香,1
247,陣誰家臘甕香久,1
248,誰家臘甕香久別,1
249,家臘甕香久別羈,1
250,臘甕香久別羈孤,1
251,甕香久別羈孤成,1
252,香久別羈孤成潦,1
253,久別羈孤成潦倒,1
254,別羈孤成潦倒回,1
255,羈孤成潦倒回看,1
256,孤成潦倒回看書,1
257,成潦倒回看書劍,1
258,潦倒回看書劍更,1
259,倒回看書劍更蒼,1
260,回看書劍更蒼黃,1
261,看書劍更蒼黃逢,1
262,書劍更蒼黃逢人,1
263,劍更蒼黃逢人舉,1
